t;VF0;VF1;VF2;
0.000000;7.000000;7.000000;7.000000;
0.100000;7.000000;7.000000;7.000000;
0.200000;7.000000;7.000000;7.000000;
0.300000;7.000000;7.000000;7.000000;
0.400000;7.000000;7.000000;7.000000;
0.500000;7.000000;7.000000;7.000000;
0.600000;7.000000;7.000000;7.000000;
0.700000;7.000000;7.000000;7.000000;
0.800000;7.000000;7.000000;7.000000;
0.900000;7.000000;7.000000;7.000000;
1.000000;7.000000;7.000000;7.000000;
1.100000;7.000000;7.000000;7.000000;
1.200000;7.000000;7.000000;7.000000;
1.300000;7.000000;7.000000;7.000000;
1.400000;7.000000;7.000000;7.000000;
1.500000;7.000000;7.000000;7.000000;
1.600000;7.000000;7.000000;7.000000;
1.700000;7.000000;7.000000;7.000000;
1.800000;7.000000;7.000000;7.000000;
1.900000;7.000000;7.000000;7.000000;
2.000000;7.000000;7.000000;7.000000;
2.100000;7.000000;7.000000;7.000000;
2.200000;7.000000;7.000000;7.000000;
2.300000;7.000000;7.000000;7.000000;
2.400000;7.000000;7.000000;7.000000;
2.500000;7.000000;7.000000;7.000000;
2.600000;7.000000;7.000000;7.000000;
2.700000;7.000000;7.000000;7.000000;
2.800000;7.000000;7.000000;7.000000;
2.900000;7.000000;7.000000;7.000000;
3.000000;7.000000;7.000000;7.000000;
3.100000;7.000000;7.000000;7.000000;
3.200000;7.000000;7.000000;7.000000;
3.300000;7.000000;7.000000;7.000000;
3.400000;7.000000;7.000000;7.000000;
3.500000;7.000000;7.000000;7.000000;
3.600000;7.000000;7.000000;7.000000;
3.700000;7.000000;7.000000;7.000000;
3.800000;7.000000;7.000000;7.000000;
3.900000;7.000000;7.000000;7.000000;
4.000000;7.000000;7.000000;7.000000;
4.100000;7.000000;7.000000;7.000000;
4.200000;7.000000;7.000000;7.000000;
4.300000;7.000000;7.000000;7.000000;
4.400000;7.000000;7.000000;7.000000;
4.500000;7.000000;7.000000;7.000000;
4.600000;7.000000;7.000000;7.000000;
4.700000;7.000000;7.000000;7.000000;
4.800000;7.000000;7.000000;7.000000;
4.905000;7.000000;7.000000;7.000000;
5.005000;7.000000;7.000000;7.000000;
5.105000;7.000000;7.000000;7.000000;
5.205000;7.000000;7.000000;7.000000;
5.305000;7.000000;6.999955;7.000046;
5.405000;7.000000;6.999897;7.000103;
5.505000;7.000000;6.999512;7.000482;
5.605000;6.999356;7.000161;7.000482;
5.705000;6.999056;6.999780;7.001140;
5.805000;6.996747;7.000220;7.002932;
5.905000;6.996747;7.000220;7.002932;
6.005000;6.994386;7.002529;7.002932;
6.105000;6.990725;7.006067;7.002932;
6.205000;6.984160;7.012365;7.002932;
6.305000;6.984160;7.012365;7.002932;
6.405000;6.984160;7.012365;7.002932;
6.505000;6.984160;7.012365;7.002932;
6.605000;6.984160;7.012365;7.002932;
6.705000;6.984160;7.012365;7.002932;
6.805000;6.984160;7.012365;7.002932;
6.905000;6.984160;7.012365;7.002932;
7.005000;6.984160;7.012365;7.002932;
7.105000;6.984160;7.012365;7.002932;
7.205000;6.984160;7.012365;7.002932;
7.305000;6.984160;7.012365;7.002932;
7.405000;6.984160;7.012365;7.002932;
7.505000;6.984160;7.012365;7.002932;
7.605000;6.984160;7.012365;7.002932;
7.705000;6.984160;7.012365;7.002932;
7.805000;6.984160;7.012365;7.002932;
7.905000;6.984160;7.012365;7.002932;
8.005000;6.984160;7.012365;7.002932;
8.105000;6.984160;7.012365;7.002932;
8.205000;6.984160;7.012365;7.002932;
8.305000;6.984160;7.012365;7.002932;
8.405000;6.984160;7.012365;7.002932;
8.500000;6.984160;7.012365;7.002932;
8.600000;6.984160;7.012365;7.002932;
8.700000;6.984160;7.012365;7.002932;
8.800000;6.984160;7.012365;7.002932;
8.900000;6.984160;7.012365;7.002932;
9.000000;6.984160;7.012365;7.002932;
9.100000;6.984160;7.012365;7.002932;
9.200000;6.984160;7.012365;7.002932;
9.300000;6.984160;7.012365;7.002932;
9.400000;6.984160;7.012365;7.002932;
9.500000;6.984157;7.012365;7.002932;
9.600000;6.984146;7.012365;7.002932;
9.700000;6.984136;7.012365;7.002932;
9.800000;6.984127;7.012365;7.002932;
9.900000;6.984122;7.012365;7.002932;
10.000000;6.984117;7.012365;7.002932;
10.100000;6.984111;7.012365;7.002932;
10.200000;6.984106;7.012365;7.002932;
10.300000;6.984101;7.012365;7.002932;
10.400000;6.984095;7.012365;7.002932;
10.500000;6.984090;7.012365;7.002932;
10.600000;6.984085;7.012365;7.002932;
10.700000;6.984079;7.012365;7.002932;
10.800000;6.984073;7.012365;7.002932;
10.900000;6.984066;7.012365;7.002932;
11.000000;6.984060;7.012365;7.002932;
11.100000;6.984056;7.012365;7.002932;
11.200000;6.984055;7.012365;7.002932;
11.300000;6.984054;7.012365;7.002932;
11.400000;6.984051;7.012365;7.002932;
11.500000;6.984047;7.012365;7.002932;
11.600000;6.984044;7.012365;7.002932;
11.700000;6.984044;7.012365;7.002932;
11.800000;6.984044;7.012365;7.002932;
11.900000;6.984044;7.012365;7.002932;
12.000000;6.984044;7.012365;7.002932;
12.100000;6.984044;7.012365;7.002932;
12.200000;6.984044;7.012365;7.002932;
12.300000;6.984044;7.012365;7.002932;
12.400000;6.984044;7.012365;7.002932;
12.500000;6.984044;7.012365;7.002932;
12.600000;6.984044;7.012365;7.002932;
12.700000;6.984044;7.012365;7.002932;
12.800000;6.984044;7.012365;7.002932;
12.900000;6.984044;7.012365;7.002932;
13.000000;6.984044;7.012365;7.002932;
13.100000;6.984044;7.012365;7.002932;
13.200000;6.984044;7.012365;7.002932;
13.300000;6.984044;7.012365;7.002932;
13.400000;6.984044;7.012365;7.002932;
13.500000;6.984044;7.012365;7.002932;
