t;Call;
0.000000;7.000000;
0.100000;7.000000;
0.200000;7.000000;
0.300000;7.000000;
0.400000;7.000000;
0.500000;7.000000;
0.600000;7.000000;
0.700000;7.000000;
0.800000;7.000000;
0.900000;7.000000;
1.000000;7.000000;
1.100000;7.000000;
1.200000;7.000000;
1.300000;7.000000;
1.400000;7.000000;
1.500000;7.000000;
1.600000;7.000000;
1.700000;7.000000;
1.800000;7.000000;
1.900000;7.000000;
2.000000;7.000000;
2.100000;7.000000;
2.200000;7.000000;
2.300000;7.000000;
2.400000;7.000000;
2.500000;7.000000;
2.600000;7.000000;
2.700000;7.000000;
2.800000;7.000000;
2.900000;7.000000;
3.000000;7.000000;
3.100000;7.000000;
3.200000;7.000000;
3.300000;7.000000;
3.400000;7.000000;
3.500000;7.000000;
3.600000;7.000000;
3.700000;7.000000;
3.800000;7.000000;
3.900000;7.000000;
4.000000;7.000000;
4.100000;7.000000;
4.200000;7.000000;
4.300000;7.000000;
4.400000;7.000000;
4.500000;7.000000;
4.600000;7.000000;
4.700000;7.000000;
4.800000;7.000000;
4.905000;7.000000;
5.005000;7.000000;
5.105000;7.000000;
5.205000;7.000000;
5.305000;7.000000;
5.405000;7.000000;
5.505000;6.999998;
5.605000;7.000000;
5.705000;6.999992;
5.805000;6.999966;
5.905000;6.999966;
6.005000;6.999949;
6.105000;6.999908;
6.205000;6.999819;
6.305000;6.999819;
6.405000;6.999819;
6.505000;6.999819;
6.605000;6.999819;
6.705000;6.999819;
6.805000;6.999819;
6.905000;6.999819;
7.005000;6.999819;
7.105000;6.999819;
7.205000;6.999819;
7.305000;6.999819;
7.405000;6.999819;
7.505000;6.999819;
7.605000;6.999819;
7.705000;6.999819;
7.805000;6.999819;
7.905000;6.999819;
8.005000;6.999819;
8.105000;6.999819;
8.205000;6.999819;
8.305000;6.999819;
8.405000;6.999819;
8.500000;6.999819;
8.600000;6.999819;
8.700000;6.999819;
8.800000;6.999819;
8.900000;6.999819;
9.000000;6.999819;
9.100000;6.999819;
9.200000;6.999819;
9.300000;6.999819;
9.400000;6.999819;
9.500000;6.999818;
9.600000;6.999814;
9.700000;6.999811;
9.800000;6.999808;
9.900000;6.999806;
10.000000;6.999804;
10.100000;6.999803;
10.200000;6.999801;
10.300000;6.999799;
10.400000;6.999797;
10.500000;6.999796;
10.600000;6.999794;
10.700000;6.999792;
10.800000;6.999790;
10.900000;6.999788;
11.000000;6.999786;
11.100000;6.999784;
11.200000;6.999784;
11.300000;6.999783;
11.400000;6.999783;
11.500000;6.999781;
11.600000;6.999780;
11.700000;6.999780;
11.800000;6.999780;
11.900000;6.999780;
12.000000;6.999780;
12.100000;6.999780;
12.200000;6.999780;
12.300000;6.999780;
12.400000;6.999780;
12.500000;6.999780;
12.600000;6.999780;
12.700000;6.999780;
12.800000;6.999780;
12.900000;6.999780;
13.000000;6.999780;
13.100000;
