t;y = 0.012 m;y = 0.007 m;y = 0.002 m;
0.000000;0;0;0;
0.100000;12;10;8;
0.200000;12;10;8;
0.300000;12;10;8;
0.400000;12;10;8;
0.500000;12;10;8;
0.600000;12;10;8;
0.700000;12;10;8;
0.800000;12;10;8;
0.900000;12;10;8;
1.000000;12;10;8;
1.100000;12;10;8;
1.200000;12;10;8;
1.300000;12;10;8;
1.400000;12;10;8;
1.500000;12;10;8;
1.600000;12;10;8;
1.700000;12;10;8;
1.800000;12;10;8;
1.900000;12;10;8;
2.000000;12;10;8;
2.100000;12;10;8;
2.200000;12;10;8;
2.300000;12;10;8;
2.400000;12;10;8;
2.500000;12;10;8;
2.600000;12;10;8;
2.700000;12;10;8;
2.800000;12;10;8;
2.900000;12;10;8;
3.000000;12;10;8;
3.100000;12;10;8;
3.200000;12;10;8;
3.300000;12;10;8;
3.400000;12;10;8;
3.500000;12;10;8;
3.600000;12;10;8;
3.700000;12;10;8;
3.800000;12;10;8;
3.900000;12;10;8;
4.000000;12;10;8;
4.100000;12;10;8;
4.200000;12;10;8;
4.300000;12;10;8;
4.400000;12;10;8;
4.500000;12;10;8;
4.600000;12;10;8;
4.700000;12;10;8;
4.800000;12;10;8;
4.905000;12;10;7;
5.005000;0;6;7;
5.105000;0;0;0;
5.205000;0;0;0;
5.305000;0;0;0;
5.405000;0;0;0;
5.505000;0;0;0;
5.605000;0;0;0;
5.705000;0;0;0;
5.805000;0;0;0;
5.905000;0;0;0;
6.005000;0;0;0;
6.105000;0;0;0;
6.205000;0;0;0;
6.305000;0;0;0;
6.405000;0;0;0;
6.505000;0;0;0;
6.605000;0;0;0;
6.705000;0;0;0;
6.805000;0;0;0;
6.905000;0;0;0;
7.005000;0;0;0;
7.105000;0;0;0;
7.205000;0;0;0;
7.305000;0;0;0;
7.405000;0;0;0;
7.505000;0;0;0;
7.605000;0;0;0;
7.705000;0;0;0;
7.805000;0;0;0;
7.905000;0;0;0;
8.005000;0;0;0;
8.105000;0;0;0;
8.205000;0;0;0;
8.305000;0;0;0;
8.405000;0;0;0;
8.500000;0;0;0;
8.600000;0;0;0;
8.700000;0;0;0;
8.800000;0;0;0;
8.900000;0;0;0;
9.000000;0;0;0;
9.100000;0;0;0;
9.200000;0;0;0;
9.300000;0;0;0;
9.400000;0;0;0;
9.500000;0;0;0;
9.600000;0;0;0;
9.700000;0;0;0;
9.800000;0;0;0;
9.900000;0;0;0;
10.000000;0;0;0;
10.100000;0;0;0;
10.200000;0;0;0;
10.300000;0;0;0;
10.400000;0;0;0;
10.500000;0;0;0;
10.600000;0;0;0;
10.700000;0;0;0;
10.800000;0;0;0;
10.900000;0;0;0;
11.000000;0;0;0;
11.100000;0;0;0;
11.200000;0;0;0;
11.300000;0;0;0;
11.400000;0;0;0;
11.500000;0;0;0;
11.600000;0;0;0;
11.700000;0;0;
