t;VF0;VF1;VF2;
0.000000;7.000000;7.000000;7.000000;
0.100000;7.000000;7.000000;7.000000;
0.200000;7.000000;7.000000;7.000000;
0.300000;7.000000;7.000000;7.000000;
0.400000;7.000000;7.000000;7.000000;
0.500000;7.000000;7.000000;7.000000;
0.600000;7.000000;7.000000;7.000000;
0.700000;7.000000;7.000000;7.000000;
0.800000;7.000000;7.000000;7.000000;
0.900000;7.000000;7.000000;7.000000;
1.000000;7.000000;7.000000;7.000000;
1.100000;7.000000;7.000000;7.000000;
1.200000;7.000000;7.000000;7.000000;
1.300000;7.000000;7.000000;7.000000;
1.400000;7.000000;7.000000;7.000000;
1.500000;7.000000;7.000000;7.000000;
1.600000;7.000000;7.000000;7.000000;
1.700000;7.000000;7.000000;7.000000;
1.800000;7.000000;7.000000;7.000000;
1.900000;7.000000;7.000000;7.000000;
2.000000;7.000000;7.000000;7.000000;
2.100000;7.000000;7.000000;7.000000;
2.200000;7.000000;7.000000;7.000000;
2.300000;7.000000;7.000000;7.000000;
2.400000;7.000000;7.000000;7.000000;
2.500000;7.000000;7.000000;7.000000;
2.600000;7.000000;7.000000;7.000000;
2.700000;7.000000;7.000000;7.000000;
2.800000;7.000000;7.000000;7.000000;
2.900000;7.000000;7.000000;7.000000;
3.000000;7.000000;7.000000;7.000000;
3.100000;7.000000;7.000000;7.000000;
3.200000;7.000000;7.000000;7.000000;
3.300000;7.000000;7.000000;7.000000;
3.400000;7.000000;7.000000;7.000000;
3.500000;7.000000;7.000000;7.000000;
3.600000;7.000000;7.000000;7.000000;
3.700000;7.000000;7.000000;7.000000;
3.800000;7.000000;7.000000;7.000000;
3.900000;7.000000;7.000000;7.000000;
4.000000;7.000000;7.000000;7.000000;
4.100000;7.000000;7.000000;7.000000;
4.200000;7.000000;7.000000;7.000000;
4.300000;7.000000;7.000000;7.000000;
4.400000;7.000000;7.000000;7.000000;
4.500000;7.000000;7.000000;7.000000;
4.600000;7.000000;7.000000;7.000000;
4.700000;7.000000;7.000000;7.000000;
4.800000;7.000000;7.000000;7.000000;
4.905000;7.000000;7.000000;6.930000;
5.005000;6.160000;6.720000;6.930010;
5.105000;6.160030;6.300027;6.440072;
5.205000;6.160205;6.300193;6.440264;
5.305000;6.160654;6.230606;6.510675;
5.405000;6.161403;6.161334;6.581276;
5.505000;6.162389;6.022446;6.721949;
5.605000;6.023598;6.163960;6.722635;
5.705000;5.955293;6.165454;6.793420;
5.805000;5.677195;6.307053;6.934064;
5.905000;5.679584;6.308525;6.934312;
6.005000;5.471704;6.520230;6.934581;
6.105000;5.264215;6.731524;6.934869;
6.205000;4.987217;7.012365;6.935175;
6.305000;4.991279;7.012365;6.935498;
6.405000;4.995212;7.012365;6.935835;
6.505000;4.999289;7.012365;6.936185;
6.605000;5.003299;7.012365;6.936548;
6.705000;5.007041;7.012365;6.936921;
6.805000;5.010911;7.012365;6.937305;
6.905000;5.014905;7.012365;6.937697;
7.005000;5.019020;7.012365;6.938098;
7.105000;5.023252;7.012365;6.938505;
7.205000;5.027598;7.012365;6.938919;
7.305000;5.032052;7.012365;6.939324;
7.405000;5.036613;7.012365;6.939679;
7.505000;5.041277;7.012365;6.939944;
7.605000;5.046039;7.012365;6.940073;
7.705000;5.050897;7.012365;6.940077;
7.805000;5.055847;7.012365;6.940077;
7.905000;5.060886;7.012365;6.940077;
8.005000;5.066011;7.012365;6.940077;
8.105000;5.071218;7.012365;6.940077;
8.205000;5.076504;7.012365;6.940077;
8.305000;5.081866;7.012365;6.940077;
8.405000;5.087301;7.012365;6.940077;
8.500000;5.092528;7.012365;6.940077;
8.600000;5.098096;7.012365;6.940077;
8.700000;5.103728;7.012365;6.940077;
8.800000;5.109420;7.012365;6.940077;
8.900000;5.115170;7.012365;6.940077;
9.000000;5.120953;7.012365;6.940077;
9.100000;5.126717;7.012365;6.940077;
9.200000;5.132416;7.012365;6.940077;
9.300000;5.138006;7.012365;6.940077;
9.400000;5.143440;7.012365;6.940077;
9.500000;5.148683;7.012365;6.940077;
9.600000;5.153775;7.012365;6.940077;
9.700000;5.158601;7.012365;6.940077;
9.800000;5.163140;7.012365;6.940077;
9.900000;5.167472;7.012365;6.940077;
10.000000;5.171567;7.012365;6.940077;
10.100000;5.175416;7.012365;6.940077;
10.200000;5.179020;7.012365;6.940077;
10.300000;5.182417;7.012365;6.940077;
10.400000;5.185545;7.012365;6.940077;
10.500000;5.188471;7.012365;6.940077;
10.600000;5.191130;7.012365;6.940077;
10.700000;5.193567;7.012365;6.940077;
10.800000;5.195753;7.012365;6.940077;
10.900000;5.197685;7.012365;6.940077;
11.000000;5.199326;7.012365;6.940077;
11.100000;5.200556;7.012365;6.940077;
11.200000;5.201516;7.012365;6.940077;
11.300000;5.202217;7.012365;6.940077;
11.400000;5.202674;7.012365;6.940077;
11.500000;5.202917;7.012365;6.940077;
11.600000;5.202967;7.012365;6.940077;
11.700000;5.202967;7.012365;6.940077;
11.800000;5.202967;7.012365;6.940077;
11.900000;5.202967;7.012365;6.940077;
12.000000;5.202967;7.012365;6.940077;
12.100000;5.202967;7.012365;6.940077;
12.200000;5.202967;7.012365;6.940077;
12.300000;5.202967;7.012365;6.940077;
12.400000;5.202967;7.012365;6.940077;
12.500000;5.202967;7.012365;6.940077;
12.600000;5.202967;7.012365;6.940077;
12.700000;5.202967;7.012365;6.940077;
12.800000;5.202967;7.012365;6.940077;
12.900000;5.202967;7.012365;6.940077;
13.000000;5.202967;7.012365;6.940077;
13.100000;5.202967;7.012365;6.940077;
13.200000;5.202967;7.012365;6.940077;
13.300000;5.202967;7.012365;6.940077;
13.400000;5.202967;7.012365;6.940077;
13.500000;5.202967;7.012365;6.940077;
