t;y = 0.012 m;y = 0.007 m;y = 0.002 m;
0.000000;7.000000;7.000000;7.000000;
0.100000;7.000000;7.000000;7.000000;
0.200000;7.000000;7.000000;7.000000;
0.300000;7.000000;7.000000;7.000000;
0.400000;7.000000;7.000000;7.000000;
0.500000;7.000000;7.000000;7.000000;
0.600000;7.000000;7.000000;7.000000;
0.700000;7.000000;7.000000;7.000000;
0.800000;7.000000;7.000000;7.000000;
0.900000;7.000000;7.000000;7.000000;
1.000000;7.000000;7.000000;7.000000;
1.100000;7.000000;7.000000;7.000000;
1.200000;7.000000;7.000000;7.000000;
1.300000;7.000000;7.000000;7.000000;
1.400000;7.000000;7.000000;7.000000;
1.500000;7.000000;7.000000;7.000000;
1.600000;7.000000;7.000000;7.000000;
1.700000;7.000000;7.000000;7.000000;
1.800000;7.000000;7.000000;7.000000;
1.900000;7.000000;7.000000;7.000000;
2.000000;7.000000;7.000000;7.000000;
2.100000;7.000000;7.000000;7.000000;
2.200000;7.000000;7.000000;7.000000;
2.300000;7.000000;7.000000;7.000000;
2.400000;7.000000;7.000000;7.000000;
2.500000;7.000000;7.000000;7.000000;
2.600000;7.000000;7.000000;7.000000;
2.700000;7.000000;7.000000;7.000000;
2.800000;7.000000;7.000000;7.000000;
2.900000;7.000000;7.000000;7.000000;
3.000000;7.000000;7.000000;7.000000;
3.100000;7.000000;7.000000;7.000000;
3.200000;7.000000;7.000000;7.000000;
3.300000;7.000000;7.000000;7.000000;
3.400000;7.000000;7.000000;7.000000;
3.500000;7.000000;7.000000;7.000000;
3.600000;7.000000;7.000000;7.000000;
3.700000;7.000000;7.000000;7.000000;
3.800000;7.000000;7.000000;7.000000;
3.900000;7.000000;7.000000;7.000000;
4.000000;7.000000;7.000000;7.000000;
4.100000;7.000000;7.000000;7.000000;
4.200000;7.000000;7.000000;7.000000;
4.300000;7.000000;7.000000;7.000000;
4.400000;7.000000;7.000000;7.000000;
4.500000;7.000000;7.000000;7.000000;
4.600000;7.000000;7.000000;7.000000;
4.700000;7.000000;7.000000;7.000000;
4.800000;7.000000;7.000000;7.000000;
4.905000;7.000000;7.000000;7.000000;
5.005000;7.000000;7.000000;7.000010;
5.105000;7.000034;7.000031;7.000078;
5.205000;7.000233;7.000215;7.000287;
5.305000;7.000744;7.000681;7.000726;
5.405000;7.001594;7.001516;7.001358;
5.505000;7.002714;7.002844;7.002030;
5.605000;7.004184;7.004500;7.002745;
5.705000;7.006227;7.006198;7.003525;
5.805000;7.008882;7.007837;7.004105;
5.905000;7.011832;7.009473;7.004355;
6.005000;7.015005;7.011000;7.004627;
6.105000;7.018953;7.012004;7.004918;
6.205000;7.024249;7.012365;7.005228;
6.305000;7.029971;7.012365;7.005553;
6.405000;7.035509;7.012365;7.005894;
6.505000;7.041252;7.012365;7.006248;
6.605000;7.046900;7.012365;7.006614;
6.705000;7.052170;7.012365;7.006991;
6.805000;7.057621;7.012365;7.007379;
6.905000;7.063247;7.012365;7.007775;
7.005000;7.069043;7.012365;7.008179;
7.105000;7.075003;7.012365;7.008591;
7.205000;7.081123;7.012365;7.009009;
7.305000;7.087398;7.012365;7.009418;
7.405000;7.093821;7.012365;7.009777;
7.505000;7.100389;7.012365;7.010045;
7.605000;7.107097;7.012365;7.010175;
7.705000;7.113939;7.012365;7.010178;
7.805000;7.120912;7.012365;7.010178;
7.905000;7.128009;7.012365;7.010178;
8.005000;7.135227;7.012365;7.010178;
8.105000;7.142561;7.012365;7.010178;
8.205000;7.150006;7.012365;7.010178;
8.305000;7.157558;7.012365;7.010178;
8.405000;7.165213;7.012365;7.010178;
8.500000;7.172575;7.012365;7.010178;
8.600000;7.180417;7.012365;7.010178;
8.700000;7.188349;7.012365;7.010178;
8.800000;7.196366;7.012365;7.010178;
8.900000;7.204464;7.012365;7.010178;
9.000000;7.212610;7.012365;7.010178;
9.100000;7.220728;7.012365;7.010178;
9.200000;7.228755;7.012365;7.010178;
9.300000;7.236628;7.012365;7.010178;
9.400000;7.244282;7.012365;7.010178;
9.500000;7.251667;7.012365;7.010178;
9.600000;7.258838;7.012365;7.010178;
9.700000;7.265635;7.012365;7.010178;
9.800000;7.272028;7.012365;7.010178;
9.900000;7.278129;7.012365;7.010178;
10.000000;7.283897;7.012365;7.010178;
10.100000;7.289318;7.012365;7.010178;
10.200000;7.294395;7.012365;7.010178;
10.300000;7.299179;7.012365;7.010178;
10.400000;7.303585;7.012365;7.010178;
10.500000;7.307706;7.012365;7.010178;
10.600000;7.311450;7.012365;7.010178;
10.700000;7.314882;7.012365;7.010178;
10.800000;7.317961;7.012365;7.010178;
10.900000;7.320683;7.012365;7.010178;
11.000000;7.322994;7.012365;7.010178;
11.100000;7.324726;7.012365;7.010178;
11.200000;7.326079;7.012365;7.010178;
11.300000;7.327066;7.012365;7.010178;
11.400000;7.327710;7.012365;7.010178;
11.500000;7.328053;7.012365;7.010178;
11.600000;7.328123;7.012365;7.010178;
11.700000;7.328123;7.012365;7.010178;
11.800000;7.328123;7.012365;7.010178;
11.900000;7.328123;7.012365;7.010178;
12.000000;7.328123;7.012365;7.010178;
12.100000;7.328123;7.012365;7.010178;
12.200000;7.328123;7.012365;7.010178;
12.300000;7.328123;7.012365;7.010178;
12.400000;7.328123;7.012365;7.010178;
12.500000;7.328123;7.012365;7.010178;
12.600000;7.328123;7.012365;7.010178;
12.700000;7.328123;7.012365;7.010178;
12.800000;7.328123;7.012365;7.010178;
12.900000;7.328123;7.012365;7.010178;
13.000000;7.328123;7.012365;7.010178;
13.100000;7.328123;7.012365;7.010178;
13.200000;7.328123;7.012365;7.010178;
13.300000;7.328123;7.012365;7.010178;
13.400000;7.328123;7.012365;7.010178;
13.500000;
