t;y = 0.012 m;y = 0.007 m;y = 0.002 m;
0.000000;991.000000;991.000000;991.000000;
0.100000;989.000000;989.000000;989.000000;
0.200000;987.000000;987.000000;987.000000;
0.300000;985.000000;985.000000;985.000000;
0.400000;983.000000;983.000000;983.000000;
0.500000;981.000000;981.000000;981.000000;
0.600000;979.000000;979.000000;979.000000;
0.700000;977.000000;977.000000;977.000000;
0.800000;975.000000;975.000000;975.000000;
0.900000;973.000000;973.000000;973.000000;
1.000000;971.000000;971.000000;971.000000;
1.100000;969.000000;969.000000;969.000000;
1.200000;967.000000;967.000000;967.000000;
1.300000;965.000000;965.000000;965.000000;
1.400000;963.000000;963.000000;963.000000;
1.500000;961.000000;961.000000;961.000000;
1.600000;959.000000;959.000000;959.000000;
1.700000;957.000000;957.000000;957.000000;
1.800000;955.000000;955.000000;955.000000;
1.900000;953.000000;953.000000;953.000000;
2.000000;951.000000;951.000000;951.000000;
2.100000;949.000000;949.000000;949.000000;
2.200000;947.000000;947.000000;947.000000;
2.300000;945.000000;945.000000;945.000000;
2.400000;943.000000;943.000000;943.000000;
2.500000;941.000000;941.000000;941.000000;
2.600000;939.000000;939.000000;939.000000;
2.700000;937.000000;937.000000;937.000000;
2.800000;935.000000;935.000000;935.000000;
2.900000;933.000000;933.000000;933.000000;
3.000000;931.000000;931.000000;931.000000;
3.100000;929.000000;929.000000;929.000000;
3.200000;927.000000;927.000000;927.000000;
3.300000;925.000000;925.000000;925.000000;
3.400000;923.000000;923.000000;923.000000;
3.500000;921.000000;921.000000;921.000000;
3.600000;919.000000;919.000000;919.000000;
3.700000;917.000000;917.000000;917.000000;
3.800000;915.000000;915.000000;915.000000;
3.900000;913.000000;913.000000;913.000000;
4.000000;911.000000;911.000000;911.000000;
4.100000;909.000000;909.000000;909.000000;
4.200000;907.000000;907.000000;907.000000;
4.300000;905.000000;905.000000;905.000000;
4.400000;903.000000;903.000000;903.000000;
4.500000;901.000000;901.000000;901.000000;
4.600000;899.000000;899.000000;899.000000;
4.700000;897.000000;897.000000;897.000000;
4.800000;895.000000;895.000000;895.000000;
4.905000;892.900000;892.900000;892.907511;
5.005000;890.910762;890.903587;891.060195;
5.105000;889.781492;889.671839;889.701612;
5.205000;888.782340;888.580366;888.479258;
5.305000;887.761243;887.470034;887.231986;
5.405000;886.728080;886.401220;885.888387;
5.505000;885.674931;885.405582;884.364662;
5.605000;884.643949;884.382143;882.747443;
5.705000;883.674252;883.237037;881.095279;
5.805000;882.786783;881.942102;879.329894;
5.905000;881.882799;880.570408;877.428910;
6.005000;880.997413;879.115955;875.523136;
6.105000;880.187258;877.432578;873.612299;
6.205000;879.401302;875.514463;871.696759;
6.305000;878.586355;873.514463;869.776851;
6.405000;877.828421;871.514463;867.852880;
6.505000;877.063965;869.514463;865.925124;
6.605000;876.302724;867.514463;863.993836;
6.705000;875.520768;865.514463;862.059247;
6.805000;874.725994;863.514463;860.121570;
6.905000;873.918224;861.514463;858.180999;
7.005000;873.097274;859.514463;856.237713;
7.105000;872.262965;857.514463;854.291875;
7.205000;871.415125;855.514463;852.343639;
7.305000;870.553591;853.514463;850.433312;
7.405000;869.678205;851.514463;848.664861;
7.505000;868.788819;849.514463;847.052052;
7.605000;867.885293;847.514463;845.631786;
7.705000;866.967496;845.514463;843.831735;
7.805000;866.035306;843.514463;841.831735;
7.905000;865.088610;841.514463;839.831735;
8.005000;864.127306;839.514463;837.831735;
8.105000;863.151301;837.514463;835.831735;
8.205000;862.160514;835.514463;833.831735;
8.305000;861.154874;833.514463;831.831735;
8.405000;860.134320;831.514463;829.831735;
8.500000;859.150936;829.614463;827.931735;
8.600000;858.101170;827.614463;825.931735;
8.700000;857.036380;825.614463;823.931735;
8.800000;855.956548;823.614463;821.931735;
8.900000;854.858837;821.614463;819.931735;
9.000000;853.789187;819.614463;817.931735;
9.100000;852.830794;817.614463;815.931735;
9.200000;851.982704;815.614463;813.931735;
9.300000;851.256387;813.614463;811.931735;
9.400000;850.672949;811.614463;809.931735;
9.500000;849.959746;809.614463;807.931735;
9.600000;849.307819;807.614463;805.931735;
9.700000;849.470918;805.614463;803.931735;
9.800000;849.306968;803.614463;801.931735;
9.900000;848.924014;801.614463;799.931735;
10.000000;849.356369;799.614463;797.931735;
10.100000;849.328816;797.614463;795.931735;
10.200000;848.948148;795.614463;793.931735;
10.300000;849.523200;793.614463;791.931735;
10.400000;849.252821;791.614463;789.931735;
10.500000;849.396317;789.614463;787.931735;
10.600000;849.104057;787.614463;785.931735;
10.700000;848.680235;785.614463;783.931735;
10.800000;848.387349;783.614463;781.931735;
10.900000;848.133698;781.614463;779.931735;
11.000000;849.408026;779.614463;777.931735;
11.100000;849.421917;777.614463;775.931735;
11.200000;849.285269;775.614463;773.931735;
11.300000;849.149734;773.614463;771.931735;
11.400000;848.922631;771.614463;769.931735;
11.500000;848.150786;769.614463;767.931735;
11.600000;847.095031;767.614463;765.931735;
11.700000;845.095031;765.614463;763.931735;
11.800000;843.095031;763.614463;761.931735;
11.900000;841.095031;761.614463;759.931735;
12.000000;839.095031;759.614463;757.931735;
12.100000;837.095031;757.614463;755.931735;
12.200000;835.095031;755.614463;753.931735;
12.300000;833.095031;753.614463;751.931735;
12.400000;831.095031;751.614463;749.931735;
12.500000;829.095031;749.614463;747.931735;
12.600000;827.095031;747.614463;745.931735;
12.700000;825.095031;745.614463;743.931735;
