t;y = 0.012 m;y = 0.007 m;y = 0.002 m;
0.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
5.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
5.105000;-8.962308082863e-05;-1.421296059442e-04;-6.856035499952e-05;
5.205000;-1.673003664259e-04;-2.644535526584e-04;-1.592108479663e-04;
5.305000;-2.316155223508e-04;-4.196312725091e-04;-1.835562254190e-04;
5.405000;-1.932710530737e-04;-5.853191625304e-04;-1.752933863371e-04;
5.505000;-1.906550790762e-04;-8.074398044601e-04;-1.047432789226e-04;
5.605000;-3.340927338206e-04;-7.711762410420e-04;-1.219554288424e-04;
5.705000;-4.476058387325e-04;-7.151040667670e-04;-8.898887562195e-05;
5.805000;-1.037103561491e-03;-8.963991333275e-04;0.000000000000e+00;
5.905000;-1.033529127947e-03;-1.035447475594e-03;0.000000000000e+00;
6.005000;-6.797053214284e-04;-7.100476334992e-04;0.000000000000e+00;
6.105000;-9.713366484620e-04;-4.800678070237e-04;0.000000000000e+00;
6.205000;-1.754730483832e-03;0.000000000000e+00;0.000000000000e+00;
6.305000;-1.900687418766e-04;0.000000000000e+00;0.000000000000e+00;
6.405000;-1.892757917637e-04;0.000000000000e+00;0.000000000000e+00;
6.505000;-1.888523804434e-04;0.000000000000e+00;0.000000000000e+00;
6.605000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.705000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.805000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.105000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.205000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.305000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.405000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.505000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.605000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.705000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.805000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.105000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.205000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.305000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.405000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
