t;y = 0.012 m;y = 0.007 m;y = 0.002 m;
0.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
5.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
5.105000;6.572359224847e-04;1.279166449914e-03;7.884440812892e-04;
5.205000;1.226869339729e-03;2.380081959706e-03;1.830924746282e-03;
5.305000;1.698513802164e-03;3.395198438203e-03;2.438675559341e-03;
5.405000;1.417321028698e-03;4.292340447529e-03;2.746263045449e-03;
5.505000;1.398137218143e-03;4.959987178162e-03;2.513838691853e-03;
5.605000;2.052283849918e-03;5.655292299381e-03;2.926930289251e-03;
5.705000;2.536432939437e-03;5.244096351897e-03;2.877306977266e-03;
5.805000;4.421335662324e-03;8.067592100646e-03;0.000000000000e+00;
5.905000;4.406097356805e-03;9.319027178217e-03;0.000000000000e+00;
6.005000;2.409863924790e-03;9.433489949140e-03;0.000000000000e+00;
6.105000;2.914009044027e-03;1.152162736240e-02;0.000000000000e+00;
6.205000;4.296061420263e-03;0.000000000000e+00;0.000000000000e+00;
6.305000;4.653404656753e-04;0.000000000000e+00;0.000000000000e+00;
6.405000;4.633991027796e-04;0.000000000000e+00;0.000000000000e+00;
6.505000;4.623624729689e-04;0.000000000000e+00;0.000000000000e+00;
6.605000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.705000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.805000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.105000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.205000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.305000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.405000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.505000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.605000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.705000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.805000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.105000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.205000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.305000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.405000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
