t;y = 0.012 m;y = 0.007 m;y = 0.002 m;
0.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
0.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
1.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
2.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
3.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.100000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.200000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.300000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.400000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
4.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
5.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
5.105000;6.572361008892e-04;1.279166619715e-03;7.884441247863e-04;
5.205000;1.226869656479e-03;2.380082258820e-03;1.830924841504e-03;
5.305000;1.698514219176e-03;3.395198973948e-03;2.438675641246e-03;
5.405000;1.417321325505e-03;4.292341237340e-03;2.746263108342e-03;
5.505000;1.398137466277e-03;4.959988754868e-03;2.513838707378e-03;
5.605000;2.052284479660e-03;5.655293237832e-03;2.926930306163e-03;
5.705000;2.536433868752e-03;5.244097174847e-03;2.877306982929e-03;
5.805000;4.421338889939e-03;8.067592610410e-03;0.000000000000e+00;
5.905000;4.406099950189e-03;9.319027657351e-03;0.000000000000e+00;
6.005000;2.409865794581e-03;9.433490114366e-03;0.000000000000e+00;
6.105000;2.914012979690e-03;1.152162738648e-02;0.000000000000e+00;
6.205000;4.296073080484e-03;0.000000000000e+00;0.000000000000e+00;
6.305000;4.653414247836e-04;0.000000000000e+00;0.000000000000e+00;
6.405000;4.634000261592e-04;0.000000000000e+00;0.000000000000e+00;
6.505000;4.623633632715e-04;0.000000000000e+00;0.000000000000e+00;
6.605000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.705000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.805000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
6.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.105000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.205000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.305000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.405000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.505000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.605000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.705000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.805000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
7.905000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.005000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.105000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.205000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.305000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.405000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.500000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.600000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.700000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.800000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
8.900000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;
