t;TC1;TC2;TC3;TC4;
0.000000;-273.000000;-273.000000;-273.000000;-273.000000;
0.100000;-273.000000;-273.000000;-273.000000;-273.000000;
0.200000;-273.000000;-273.000000;-273.000000;-273.000000;
0.300000;-273.000000;-273.000000;-273.000000;-273.000000;
0.400000;-273.000000;-273.000000;-273.000000;-273.000000;
0.500000;-273.000000;-273.000000;-273.000000;-273.000000;
0.600000;-273.000000;-273.000000;-273.000000;-273.000000;
0.700000;-273.000000;-273.000000;-273.000000;-273.000000;
0.800000;-273.000000;-273.000000;-273.000000;-273.000000;
0.900000;-273.000000;-273.000000;-273.000000;-273.000000;
1.000000;-273.000000;-273.000000;-273.000000;-273.000000;
1.100000;-273.000000;-273.000000;-273.000000;-273.000000;
1.200000;-273.000000;-273.000000;-273.000000;-273.000000;
1.300000;-273.000000;-273.000000;-273.000000;-273.000000;
1.400000;-273.000000;-273.000000;-273.000000;-273.000000;
1.500000;-273.000000;-273.000000;-273.000000;-273.000000;
1.600000;-273.000000;-273.000000;-273.000000;-273.000000;
1.700000;-273.000000;-273.000000;-273.000000;-273.000000;
1.800000;-273.000000;-273.000000;-273.000000;-273.000000;
1.900000;-273.000000;-273.000000;-273.000000;-273.000000;
2.000000;-273.000000;-273.000000;-273.000000;-273.000000;
2.100000;-273.000000;-273.000000;-273.000000;-273.000000;
2.200000;-273.000000;-273.000000;-273.000000;-273.000000;
2.300000;-273.000000;-273.000000;-273.000000;-273.000000;
2.400000;-273.000000;-273.000000;-273.000000;-273.000000;
2.500000;-273.000000;-273.000000;-273.000000;-273.000000;
2.600000;-273.000000;-273.000000;-273.000000;-273.000000;
2.700000;-273.000000;-273.000000;-273.000000;-273.000000;
2.800000;-273.000000;-273.000000;-273.000000;-273.000000;
2.900000;-273.000000;-273.000000;-273.000000;-273.000000;
3.000000;-273.000000;-273.000000;-273.000000;-273.000000;
3.100000;-273.000000;-273.000000;-273.000000;-273.000000;
3.200000;-273.000000;-273.000000;-273.000000;-273.000000;
3.300000;-273.000000;-273.000000;-273.000000;-273.000000;
3.400000;-273.000000;-273.000000;-273.000000;-273.000000;
3.500000;-273.000000;-273.000000;-273.000000;-273.000000;
3.600000;-273.000000;-273.000000;-273.000000;-273.000000;
3.700000;-273.000000;-273.000000;-273.000000;-273.000000;
3.800000;-273.000000;-273.000000;-273.000000;-273.000000;
3.900000;-273.000000;-273.000000;-273.000000;-273.000000;
4.000000;-273.000000;-273.000000;-273.000000;-273.000000;
4.100000;-273.000000;-273.000000;-273.000000;-273.000000;
4.200000;-273.000000;-273.000000;-273.000000;-273.000000;
4.300000;-273.000000;-273.000000;-273.000000;-273.000000;
4.400000;-273.000000;-273.000000;-273.000000;-273.000000;
4.500000;-273.000000;-273.000000;-273.000000;-273.000000;
4.600000;-273.000000;-273.000000;-273.000000;-273.000000;
4.700000;-273.000000;-273.000000;-273.000000;-273.000000;
4.800000;-273.000000;-273.000000;-273.000000;-273.000000;
4.905000;-273.000000;-273.000000;-273.000000;-273.000000;
5.005000;-273.000000;-273.000000;-273.000000;-273.000000;
5.105000;-273.000000;-272.999505;-272.998307;-273.000000;
5.205000;-273.000000;-272.999064;-272.996003;-273.000000;
5.305000;-273.000000;-272.998696;-272.993740;-273.000000;
5.405000;-273.000000;-272.998373;-272.991448;-273.000000;
5.505000;-273.000000;-272.998092;-272.989179;-273.000000;
5.605000;-273.000000;-272.997838;-272.986958;-273.000000;
5.705000;-273.000000;-272.997597;-272.984858;-273.000000;
5.805000;-273.000000;-272.994262;-272.983261;-273.000000;
5.905000;-273.000000;-272.993962;-272.983261;-273.000000;
6.005000;-273.000000;-272.993775;-272.983261;-273.000000;
6.105000;-273.000000;-272.993775;-272.983261;-273.000000;
6.205000;-273.000000;-272.993775;-272.983261;-273.000000;
6.305000;-273.000000;-272.993775;-272.983261;-273.000000;
6.405000;-273.000000;-272.993775;-272.983261;-273.000000;
6.505000;-273.000000;-272.993775;-272.983261;-273.000000;
6.605000;-273.000000;-272.993775;-272.983261;-273.000000;
6.705000;-273.000000;-272.993775;-272.983261;-273.000000;
6.805000;-273.000000;-272.993775;-272.983261;-273.000000;
6.905000;-273.000000;-272.993775;-272.983261;-273.000000;
7.005000;-273.000000;-272.993775;-272.983261;-273.000000;
7.105000;-273.000000;-272.993775;-272.983261;-273.000000;
7.205000;-273.000000;-272.993775;-272.983261;-273.000000;
7.305000;-273.000000;-272.993775;-272.983261;-273.000000;
7.405000;-273.000000;-272.993775;-272.983261;-273.000000;
7.505000;-273.000000;-272.993775;-272.983261;-273.000000;
7.605000;-273.000000;-272.993775;-272.983261;-273.000000;
7.705000;-273.000000;-272.993775;-272.983261;-273.000000;
7.805000;-273.000000;-272.993775;-272.983261;-273.000000;
7.905000;-273.000000;-272.993775;-272.983261;-273.000000;
8.005000;-273.000000;-272.993775;-272.983261;-273.000000;
8.105000;-273.000000;-272.993775;-272.983261;-273.000000;
8.205000;-273.000000;-272.993775;-272.983261;-273.000000;
8.305000;-273.000000;-272.993775;-272.983261;-273.000000;
8.405000;-273.000000;-272.993775;-272.983261;-273.000000;
8.500000;-273.000000;-272.993775;-272.983261;-273.000000;
8.600000;-273.000000;-272.993775;-272.983261;-273.000000;
8.700000;-273.000000;-272.993775;-272.983261;-273.000000;
8.800000;-273.000000;-272.993775;-272.983261;-273.000000;
8.900000;-273.000000;-272.993775;-272.983261;-273.000000;
9.000000;-273.000000;-272.993775;-272.983261;-273.000000;
9.100000;-273.000000;-272.993775;-272.983261;-273.000000;
9.200000;-273.000000;-272.993775;-272.983261;-273.000000;
9.300000;-273.000000;-272.993775;-272.983261;-273.000000;
9.400000;-273.000000;-272.993775;-272.983261;-273.000000;
9.500000;-273.000000;-272.993775;-272.983261;-273.000000;
9.600000;-273.000000;-272.993775;-272.983261;-273.000000;
9.700000;-273.000000;-272.993775;-272.983261;-273.000000;
9.800000;-273.000000;-272.993775;-272.983261;-273.000000;
9.900000;-273.000000;-272.993775;-272.983261;-273.000000;
10.000000;-273.000000;-272.993775;-272.983261;-273.000000;
10.100000;-273.000000;-272.993775;-272.983261;-273.000000;
10.200000;-273.000000;-272.993775;-272.983261;-273.000000;
10.300000;-273.000000;-272.993775;-272.983261;-273.000000;
10.400000;-273.000000;-272.993775;-272.983261;-273.000000;
10.500000;-273.000000;-272.993775;-272.983261;-273.000000;
10.600000;-273.000000;-272.993775;-272.983261;-273.000000;
10.700000;-273.000000;-272.993775;-272.983261;-273.000000;
10.800000;-273.000000;-272.993775;-272.983261;-273.000000;
10.900000;-273.000000;-272.993775;-272.983261;-273.000000;
11.000000;-273.000000;-272.993775;-272.983261;-273.000000;
11.100000;-273.000000;-272.993775;-272.983261;-273.000000;
11.200000;-273.000000;-272.993775;-272.983261;-273.000000;
11.300000;-273.000000;-272.993775;-272.983261;-273.000000;
11.400000;-273.000000;-272.993775;-272.983261;-273.000000;
11.500000;-273.000000;-272.993775;-272.983261;-273.000000;
11.600000;-273.000000;-272.993775;-272.983261;-273.000000;
11.700000;-273.000000;-272.993775;-272.983261;-273.000000;
11.800000;-273.000000;-272.993775;-272.983261;-273.000000;
11.900000;-273.000000;-272.993775;-272.983261;-273.000000;
12.000000;-273.000000;-272.993775;-272.983261;-273.000000;
12.100000;-273.000000;-272.993775;-272.983261;-273.000000;
12.200000;-273.000000;-272.993775;-272.983261;-273.000000;
12.300000;-273.000000;-272.993775;-272.983261;-273.000000;
12.400000;-273.000000;-272.993775;-272.983261;-273.000000;
12.500000;-273.000000;-272.993775;-272.983261;-273.000000;
12.600000;-273.000000;-272.993775;-272.983261;-273.000000;
12.700000;-273.000000;-272.993775;-272.983261;-273.000000;
12.800000;-273.000000;-272.993775;-272.983261;-273.000000;
