t;VF2;VF1;VF0;
0.000000;991.000000;991.000000;991.000000;
1.100000;969.000000;969.000000;969.000000;
2.000000;951.000000;951.000000;951.000000;
3.000000;931.000000;931.000000;931.000000;
4.000000;911.000000;911.000000;911.000000;
5.005000;891.060195;890.903587;890.910762;
6.005000;875.523136;879.115955;880.997413;
7.005000;856.237713;859.514463;873.097274;
8.005000;837.831735;839.514463;864.127306;
9.000000;817.931735;819.614463;853.789187;
10.000000;797.931735;799.614463;849.356369;
11.000000;777.931735;
