t;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;
1.100000;0.000000;0.000000;0.000000;
2.000000;0.000000;0.000000;0.000000;
3.000000;0.000000;0.000000;0.000000;
4.000000;0.000000;0.000000;0.000000;
5.005000;0.000000;0.000000;0.000000;
6.005000;0.000000;-0.000660;-0.000530;
7.005000;0.000000;0.000000;0.000000;
8.005000;0.000000;0.000000;0.000000;
9.000000;0.000000;0.000000;0.000000;
10.000000;0.000000;0.000000;0.000000;
11.000000;0.000000;0.000000;0.000000;
12.000000;0.000000;0.000000;0.000000;
13.000000;
