t;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;
1.100000;0.000000;0.000000;0.000000;
2.000000;0.000000;0.000000;0.000000;
3.000000;0.000000;0.000000;0.000000;
4.000000;0.000000;0.000000;0.000000;
5.005000;0.000466;0.000010;0.000031;
6.005000;0.003333;0.016496;0.046837;
7.005000;0.005410;0.000000;0.099660;
8.005000;0.005718;0.000000;0.131720;
9.000000;0.005718;0.000000;0.159078;
10.000000;0.005718;0.000000;0.168985;
11.000000;0.005718;0.000000;0.171612;
12.000000;0.005718;0.000000;0.171612;
13.000000;
