t;y = 0.118 m;y = 0.114 m;y = 0.111 m;y = 0.107 m;y = 0.103 m;y = 0.099 m;y = 0.096 m;y = 0.092 m;y = 0.088 m;y = 0.084 m;y = 0.081 m;y = 0.077 m;y = 0.073 m;y = 0.069 m;y = 0.066 m;y = 0.062 m;y = 0.058 m;y = 0.054 m;y = 0.051 m;y = 0.047 m;y = 0.043 m;y = 0.039 m;y = 0.036 m;y = 0.032 m;y = 0.028 m;y = 0.024 m;y = 0.021 m;y = 0.017 m;y = 0.013 m;y = 0.009 m;y = 0.006 m;y = 0.002 m;
0.000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0.100000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.200000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.300000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.400000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.500000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.600000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.700000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.800000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
0.900000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.000000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.100000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.200000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.300000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.400000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.500000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.600000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.700000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.800000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
1.900000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.000000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.100000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.200000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.300000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.400000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.500000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.600000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.700000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.800000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
2.900000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
3.000000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
3.100000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
3.200000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
3.300000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
3.400000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
3.500000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
3.600000;10;9;13;10;16;12;14;14;9;9;12;10;11;15;12;4;10;11;11;19;17;9;13;9;8;14;12;12;11;8;10;76;
