t;TC1;TC2;TC3;TC4;
0.000000;676.370171;672.677337;667.258368;-273.000000;
0.100000;676.306671;672.598367;667.322868;-273.000000;
0.200000;676.267245;672.580012;667.358562;-273.000000;
0.300000;676.372471;672.661009;667.276947;-273.000000;
0.400000;676.312971;672.559339;667.247947;-273.000000;
0.500000;676.284868;672.459390;667.004597;-273.000000;
0.600000;676.281413;672.566266;667.113932;-273.000000;
0.700000;676.149905;672.426006;666.969862;-273.000000;
0.800000;676.221284;672.363641;666.919826;-273.000000;
0.900000;676.061789;672.484031;667.293497;-273.000000;
1.000000;676.124839;672.406542;666.895871;-273.000000;
1.100000;676.139826;672.510131;667.141268;-273.000000;
1.200000;676.165582;672.410988;667.020268;-273.000000;
1.300000;676.218726;672.476993;667.106535;-273.000000;
1.400000;676.281861;672.580544;667.126235;-273.000000;
1.500000;676.204171;672.512693;666.963309;-273.000000;
1.600000;676.285197;672.429439;666.801847;-273.000000;
1.700000;676.193597;672.363427;667.037200;-273.000000;
1.800000;676.195447;672.359917;666.832812;-273.000000;
1.900000;676.285021;672.530516;666.863632;-273.000000;
2.000000;676.240287;672.411385;666.891338;-273.000000;
2.100000;676.230411;672.455633;666.706226;-273.000000;
2.200000;676.367479;672.523260;666.860897;-273.000000;
2.300000;676.212055;672.513719;666.726691;-273.000000;
2.400000;676.212276;672.510528;666.621403;-273.000000;
2.500000;676.175550;672.568408;666.824632;-273.000000;
2.600000;676.191261;672.418597;666.582509;-273.000000;
2.700000;676.184845;672.453669;666.700747;-273.000000;
2.800000;676.202587;672.545907;666.675285;-273.000000;
2.900000;676.195771;672.340117;666.590094;-273.000000;
3.000000;676.255955;672.510757;666.639532;-273.000000;
3.100000;676.102645;672.433680;666.586479;-273.000000;
3.200000;676.147647;672.518442;666.364821;-273.000000;
3.300000;676.090755;672.541269;666.509641;-273.000000;
3.400000;676.183718;672.424873;666.401544;-273.000000;
3.500000;676.171303;672.465371;666.425868;-273.000000;
3.600000;676.176629;672.481054;666.422929;-273.000000;
3.700000;676.078479;672.424143;666.128347;-273.000000;
3.800000;676.149800;672.411900;666.226874;-273.000000;
3.900000;676.137145;672.507143;666.121312;-273.000000;
4.000000;676.165913;672.395102;665.913318;-273.000000;
4.102000;676.126691;672.456668;665.855584;-273.000000;
4.202000;676.119684;672.426518;665.659472;-273.000000;
4.302000;676.188938;672.408533;665.472755;-273.000000;
4.402000;676.085432;672.538872;665.613029;-273.000000;
4.502000;676.192014;672.414803;665.246315;-273.000000;
4.602000;676.193396;672.490142;665.270381;-273.000000;
4.702000;676.138754;672.546057;664.983905;-273.000000;
4.802000;676.175180;672.482035;664.830426;-273.000000;
4.902000;676.055518;672.571090;664.814251;-273.000000;
5.002000;676.135438;672.458425;664.522967;-273.000000;
5.102000;676.129664;672.406654;664.398134;-273.000000;
5.202000;676.145058;672.394578;664.147192;-273.000000;
5.302000;676.124359;672.441565;663.801918;-273.000000;
5.402000;676.162348;672.532082;663.653204;-273.000000;
5.502000;676.168336;672.408822;663.465989;-273.000000;
5.602000;676.159533;672.424086;663.136107;-273.000000;
5.702000;676.105186;672.411832;662.944896;-273.000000;
5.802000;676.126358;672.285819;662.577406;-273.000000;
5.902000;676.220822;672.339295;662.177792;-273.000000;
6.002000;676.111426;672.434844;661.999511;-273.000000;
6.102000;676.076002;672.479175;661.813299;-273.000000;
6.202000;676.016036;672.338569;661.496313;-273.000000;
6.302000;676.161522;672.347064;661.055874;-273.000000;
6.402000;676.110611;672.407463;660.978312;-273.000000;
6.502000;676.137461;672.286395;660.701158;-273.000000;
6.602000;676.089192;672.195938;660.239446;-273.000000;
6.702000;676.128661;672.285530;660.019260;-273.000000;
6.802000;676.038479;672.248428;659.557876;-273.000000;
6.902000;676.090811;672.143162;659.369187;-273.000000;
7.002000;676.132462;672.321456;659.148902;-273.000000;
7.102000;676.003876;672.250893;658.632987;-273.000000;
7.202000;676.076564;672.096043;658.606216;-273.000000;
7.302000;675.975851;672.088694;658.311186;-273.000000;
7.402000;675.896574;672.063622;657.923448;-273.000000;
7.502000;675.973709;672.076983;657.705816;-273.000000;
7.602000;675.936920;672.067768;657.259268;-273.000000;
7.702000;675.951176;672.005812;657.044194;-273.000000;
7.802000;676.010360;672.072210;657.001020;-273.000000;
7.902000;675.862284;671.912354;656.457807;-273.000000;
8.002000;675.895466;672.016138;656.209926;-273.000000;
8.102000;675.848633;671.966296;656.151482;-273.000000;
8.202000;675.715504;671.805843;655.651469;-273.000000;
8.302000;675.893702;671.812250;655.548927;-273.000000;
8.402000;675.876906;671.777384;655.234126;-273.000000;
8.502000;675.823862;671.659774;654.842920;-273.000000;
8.602000;675.897545;671.878151;654.691516;-273.000000;
8.702000;675.792707;671.661011;654.270595;-273.000000;
8.802000;675.776576;671.627367;654.157815;-273.000000;
8.902000;675.839253;671.606846;653.884776;-273.000000;
9.002000;675.669161;671.501764;653.490872;-273.000000;
9.102000;675.764688;671.482008;653.289129;-273.000000;
9.202000;675.690260;671.495602;653.013645;-273.000000;
9.302000;675.740724;671.506407;652.612255;-273.000000;
9.400000;675.770561;671.463727;652.576994;-273.000000;
9.500000;675.715145;671.366375;652.197621;-273.000000;
9.600000;675.560058;671.347803;651.893415;-273.000000;
9.700000;675.759642;671.332411;651.711926;-273.000000;
9.800000;675.700392;671.133371;651.376721;-273.000000;
9.900000;675.649116;671.203783;651.136271;-273.000000;
10.000000;675.601179;671.096343;650.984412;-273.000000;
10.100000;675.604779;670.996077;650.479597;-273.000000;
10.200000;675.600771;671.080140;650.368900;-273.000000;
10.300000;675.539074;671.018003;650.082765;-273.000000;
10.400000;675.538021;671.018226;649.800824;-273.000000;
10.500000;675.528437;670.961896;649.547832;-273.000000;
10.600000;675.445305;670.682298;649.323741;-273.000000;
10.700000;675.540582;670.706301;649.170453;-273.000000;
10.800000;675.379792;670.683733;648.786144;-273.000000;
10.900000;675.454774;670.622256;648.521903;-273.000000;
11.000000;675.506816;670.693453;648.300859;-273.000000;
11.100000;675.453974;670.639368;648.014412;-273.000000;
11.200000;675.482382;670.430594;647.641165;-273.000000;
11.300000;675.437047;670.565774;647.549912;-273.000000;
11.400000;675.279421;670.337479;647.269359;-273.000000;
11.500000;675.319597;670.274189;647.167106;-273.000000;
11.600000;675.230932;670.267679;646.773703;-273.000000;
11.700000;675.344366;670.092731;646.578121;-273.000000;
11.800000;675.345192;670.115934;646.443926;-273.000000;
11.900000;675.202618;670.063611;646.184524;-273.000000;
12.000000;675.164518;670.065801;646.099947;-273.000000;
12.100000;675.181571;670.090400;645.836521;-273.000000;
12.200000;675.178155;669.865109;645.546782;-273.000000;
12.300000;675.175703;669.961962;645.394312;-273.000000;
12.400000;675.213421;669.845173;645.017621;-273.000000;
12.500000;675.155511;669.752162;644.914588;-273.000000;
