t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000125;0.000126;0.000129;0.000149;5.890365;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.480082;6.964361;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;2.257852;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;2.714492;6.952862;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;1.897032;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;2.761985;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;3.641025;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;1.539456;6.988215;7.000000;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;1.772045;7.000000;6.976431;6.952862;6.976431;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.016190;5.711005;6.988756;7.000000;6.988215;6.988215;6.964646;7.000000;7.000000;
220.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.392692;6.425376;7.012192;7.000000;7.000000;7.000000;
240.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.000163;0.000157;0.000154;0.344507;5.873700;6.988215;
260.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.000163;0.000157;0.000154;0.000154;0.000149;0.000145;
280.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.000163;0.000157;0.000154;0.000154;0.000149;0.000145;
300.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.000163;0.000157;0.000154;0.000154;0.000149;0.000145;
320.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.000163;0.000157;0.000154;0.000154;0.000149;0.000145;
340.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.000163;0.000157;0.000154;0.000154;0.000149;0.000145;
360.000000;0.000125;0.000126;0.000129;0.000149;0.000137;0.000136;0.000152;0.000148;0.000151;0.000161;0.000169;0.000164;0.000161;0.000164;0.000172;0.000177;0.000168;0.000162;0.000163;0.000165;0.000172;0.000176;0.000169;0.000162;0.000156;0.000158;0.000163;0.000157;0.000154;0.000154;0.000149;0.000145;
