t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.217100;7.215386;7.342374;8.045400;6.906589;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;7.491316;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;7.129657;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;7.097275;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;7.151484;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;7.065664;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;7.003444;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;7.212223;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;7.263026;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;7.957507;6.966303;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;7.280448;7.000022;7.000000;7.000000;7.000000;7.000000;
240.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;8.298035;8.198990;8.148794;7.271347;6.999531;7.000000;
260.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;8.298035;8.198990;8.148794;8.082035;7.943379;7.822850;
280.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;8.298035;8.198990;8.148794;8.082035;7.943379;7.822850;
300.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;8.298035;8.198990;8.148794;8.082035;7.943379;7.822850;
320.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;8.298035;8.198990;8.148794;8.082035;7.943379;7.822850;
340.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;8.298035;8.198990;8.148794;8.082035;7.943379;7.822850;
360.000000;7.217100;7.215386;7.342374;8.045400;7.932681;8.179715;8.054044;7.945190;8.180282;8.522654;8.645693;8.683499;8.424022;8.487655;8.793528;8.861617;8.699998;8.409223;8.090129;8.544045;8.704921;8.861833;8.605336;8.256348;8.200957;8.280605;8.298035;8.198990;8.148794;8.082035;7.943379;7.822850;
