t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.312806;7.297949;7.540061;8.328251;6.884221;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;7.594162;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;8.133506;8.225024;8.647347;7.138452;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;8.133506;8.225024;8.647347;8.989696;9.320387;7.102823;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;8.133506;8.225024;8.647347;8.989696;9.320387;9.214607;8.983865;7.216456;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;8.133506;8.225024;8.647347;8.989696;9.320387;9.214607;8.983865;9.038297;9.551976;7.082777;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;8.133506;8.225024;8.647347;8.989696;9.320387;9.214607;8.983865;9.038297;9.551976;9.669666;9.370103;6.974708;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;8.133506;8.225024;8.647347;8.989696;9.320387;9.214607;8.983865;9.038297;9.551976;9.669666;9.370103;8.956604;8.954551;7.306303;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.312806;7.297949;7.540061;8.328251;8.129068;8.519376;8.133506;8.225024;8.647347;8.989696;9.320387;9.214607;8.983865;9.038297;9.551976;9.669666;9.370103;8.956604;8.954551;9.074282;9.463793;7.325084;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
