t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;935.189320;936.025961;936.862602;937.699242;938.535883;939.372523;939.859357;940.502923;941.146489;941.790055;942.433621;943.186469;943.755531;944.324594;944.893656;945.462719;945.973714;946.479429;946.985143;947.490857;947.996571;948.473845;948.730918;948.987990;949.245063;949.502135;949.723393;949.927321;950.131250;950.335179;950.539107;950.743036;
20.000000;856.583328;864.145984;871.708641;879.271297;886.833953;894.396609;901.765250;906.647750;911.530250;916.412750;921.295250;925.050865;927.951802;930.852740;933.753677;936.654615;938.344030;939.688851;941.033673;942.378494;943.723315;944.937464;945.486247;946.035030;946.583813;947.132595;947.591705;947.818759;948.045813;948.272866;948.499920;948.726973;
40.000000;846.757937;852.669812;858.581687;864.493562;870.405437;876.317312;882.288346;887.251801;892.215257;897.178713;902.142169;906.399979;910.139354;913.878729;917.618104;921.357479;924.053949;926.414753;928.775557;931.136360;933.497164;935.603951;936.863655;938.123359;939.383062;940.642766;941.779634;942.535973;943.292313;944.048652;944.804991;945.561330;
60.000000;840.657641;845.150922;849.644203;854.137484;858.630766;863.124047;867.727945;873.157393;878.586842;884.016290;889.445739;893.949462;897.784983;901.620503;905.456024;909.291545;912.332649;915.081756;917.830863;920.579970;923.329077;925.796622;927.474352;929.152082;930.829812;932.507543;934.167071;935.317786;936.468500;937.619214;938.769929;939.920643;
80.002000;832.230682;836.234667;840.238651;844.242635;848.246620;852.250604;856.468001;862.459508;868.451015;874.442523;880.434030;885.092127;888.854211;892.616294;896.378377;900.140461;903.174761;905.987796;908.800832;911.613868;914.426904;917.082980;918.897980;920.712980;922.527980;924.342980;926.084496;927.429853;928.775210;930.120567;931.465924;932.811281;
100.002000;822.447513;826.441419;830.435326;834.429232;838.423138;842.417044;846.697026;852.843386;858.989747;865.136107;871.282467;876.191953;880.178411;884.164870;888.151328;892.137786;895.195287;897.989484;900.783680;903.577877;906.372073;909.020813;910.887128;912.753444;914.619760;916.486076;918.310912;919.703234;921.095555;922.487876;923.880198;925.272519;
120.002000;812.629565;816.695815;820.762065;824.828315;828.894565;832.960815;837.200754;843.470092;849.739430;856.008769;862.278107;867.551311;872.014749;876.478186;880.941624;885.405061;888.516549;891.202174;893.887799;896.573424;899.259049;901.814770;903.643093;905.471415;907.299737;909.128060;910.824131;912.198238;913.572345;914.946452;916.320559;917.694666;
140.002000;803.187893;807.305940;811.423987;815.542034;819.660081;823.778128;828.100256;834.479116;840.857977;847.236837;853.615697;859.218207;864.234978;869.251748;874.268519;879.285290;882.547697;885.142875;887.738054;890.333233;892.928411;895.295993;897.045368;898.794743;900.544118;902.293493;904.071773;905.420701;906.769630;908.118559;909.467487;910.816416;
160.000000;794.487984;798.565953;802.643922;806.721891;810.799859;814.877828;819.303121;825.814335;832.325548;838.836761;845.347974;851.195274;856.465170;861.735066;867.004962;872.274858;875.646330;878.522848;881.399366;884.275884;887.152402;889.787852;891.376964;892.966076;894.555187;896.144299;897.683482;898.928304;900.173125;901.417946;902.662768;903.907589;
180.000000;785.858367;789.921102;793.983836;798.046570;802.109305;806.172039;810.472673;816.899401;823.326129;829.752857;836.179585;842.159833;847.774833;853.389833;859.004833;864.619833;868.425464;871.818679;875.211893;878.605107;881.998321;885.093230;886.504612;887.915993;889.327375;890.738757;892.106768;893.214446;894.322125;895.429804;896.537482;897.645161;
