t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.273124;0.273124;0.273127;0.273143;5.858213;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.500743;6.778356;6.988675;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.273139;0.273134;0.273139;2.300567;6.920726;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.273139;0.273134;0.273139;0.273153;0.273158;2.219586;6.842234;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.273139;0.273134;0.273139;0.273153;0.273158;0.273161;0.273159;1.517548;6.902925;6.988675;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.273139;0.273134;0.273139;0.273153;0.273158;0.273161;0.273159;0.273158;0.273162;2.873932;6.943375;6.977350;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.273139;0.273134;0.273139;0.273153;0.273158;0.273161;0.273159;0.273158;0.273162;0.273165;0.273161;2.737669;6.769013;6.954700;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.273139;0.273134;0.273139;0.273153;0.273158;0.273161;0.273159;0.273158;0.273162;0.273165;0.273161;0.273157;0.273159;0.990891;6.500692;6.954700;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.273124;0.273124;0.273127;0.273143;0.273140;0.273143;0.273139;0.273134;0.273139;0.273153;0.273158;0.273161;0.273159;0.273158;0.273162;0.273165;0.273161;0.273157;0.273159;0.273163;0.273164;1.812492;5.939899;6.886751;6.932051;6.920726;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
