t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.355529;7.395213;7.550286;8.466801;6.868659;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;7.788515;7.005023;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;8.242937;7.944998;8.257571;7.234704;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;8.242937;7.944998;8.257571;9.061399;9.371095;7.366695;7.000802;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;8.242937;7.944998;8.257571;9.061399;9.371095;9.549089;9.464198;7.592423;7.004924;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;8.242937;7.944998;8.257571;9.061399;9.371095;9.549089;9.464198;9.385133;9.597987;7.201042;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;8.242937;7.944998;8.257571;9.061399;9.371095;9.549089;9.464198;9.385133;9.597987;9.823779;9.579158;7.280461;7.018859;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;8.242937;7.944998;8.257571;9.061399;9.371095;9.549089;9.464198;9.385133;9.597987;9.823779;9.579158;9.310653;9.466175;7.887776;7.048181;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.355529;7.395213;7.550286;8.466801;8.344509;8.504445;8.242937;7.944998;8.257571;9.061399;9.371095;9.549089;9.464198;9.385133;9.597987;9.823779;9.579158;9.310653;9.466175;9.677425;9.753058;7.588668;7.142670;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
