t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000123;0.000124;0.000125;0.000143;5.834848;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.346300;6.987697;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;2.217673;6.976431;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;2.596182;6.964646;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;1.980370;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;2.847700;6.976431;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;3.557880;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;0.000151;0.000148;1.744414;6.988215;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;0.000151;0.000148;0.000153;0.000161;1.810400;6.976431;6.988215;6.952862;6.976431;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;0.000151;0.000148;0.000153;0.000161;0.000160;0.000156;0.014837;5.599727;6.988215;6.976431;7.000000;6.988215;6.988215;7.000000;7.000000;
220.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;0.000151;0.000148;0.000153;0.000161;0.000160;0.000156;0.000148;0.000148;0.000146;0.418076;6.607122;7.000000;7.000000;7.000000;7.000000;
240.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;0.000151;0.000148;0.000153;0.000161;0.000160;0.000156;0.000148;0.000148;0.000146;0.000151;0.000147;0.000151;0.171972;6.550488;6.988215;
260.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;0.000151;0.000148;0.000153;0.000161;0.000160;0.000156;0.000148;0.000148;0.000146;0.000151;0.000147;0.000151;0.000146;0.000142;0.000137;
280.000000;0.000123;0.000124;0.000125;0.000143;0.000132;0.000139;0.000136;0.000136;0.000145;0.000151;0.000157;0.000154;0.000151;0.000154;0.000160;0.000161;0.000159;0.000151;0.000148;0.000153;0.000161;0.000160;0.000156;0.000148;
