t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.314999;7.347211;7.403895;8.471653;6.863167;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;7.618603;6.999481;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;7.159226;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;7.106600;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;7.216807;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;7.107286;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;6.974854;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;8.955261;8.815752;7.297055;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;8.955261;8.815752;9.101388;9.578689;7.315494;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;8.955261;8.815752;9.101388;9.578689;9.516851;9.240881;8.813023;7.032216;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;8.955261;8.815752;9.101388;9.578689;9.516851;9.240881;8.813023;8.801508;8.657487;7.760541;7.008269;7.000000;7.000000;7.000000;7.000000;
240.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;8.955261;8.815752;9.101388;9.578689;9.516851;9.240881;8.813023;8.801508;8.657487;8.957869;8.741710;8.994158;7.857795;6.998183;7.000000;
260.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;8.955261;8.815752;9.101388;9.578689;9.516851;9.240881;8.813023;8.801508;8.657487;8.957869;8.741710;8.994158;8.661752;8.450317;8.160864;
280.000000;7.314999;7.347211;7.403895;8.471653;7.837594;8.275464;8.080206;8.098286;8.607105;8.967092;9.349831;9.143431;8.958355;9.159802;9.479096;9.564125;9.421320;8.955261;8.815752;9.101388;9.578689;9.516851;9.240881;8.813023;
