t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.314959;7.346472;7.560973;8.424088;6.869636;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;7.711100;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;7.129965;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;7.064405;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;7.186584;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;7.097869;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;6.986860;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;8.885347;8.920544;7.289226;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;8.885347;8.920544;9.192960;9.346385;7.329880;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;8.885347;8.920544;9.192960;9.346385;9.513641;9.232754;8.065401;7.012502;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;8.885347;8.920544;9.192960;9.346385;9.513641;9.232754;8.825743;8.700100;8.942840;7.541167;6.998918;7.000000;7.000000;7.000000;7.000000;
240.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;8.885347;8.920544;9.192960;9.346385;9.513641;9.232754;8.825743;8.700100;8.942840;8.908667;8.709808;8.604378;7.448428;6.998540;7.000000;
260.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;8.885347;8.920544;9.192960;9.346385;9.513641;9.232754;8.825743;8.700100;8.942840;8.908667;8.709808;8.604378;8.579009;8.384214;8.138939;
280.000000;7.314959;7.346472;7.560973;8.424088;8.267646;8.510649;8.569017;8.316036;8.574303;9.074499;9.385063;9.109142;9.072163;9.080525;9.456516;9.674927;9.355301;8.885347;8.920544;9.192960;9.346385;9.513641;9.232754;8.825743;
