t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000124;0.000124;0.000128;0.000145;5.601496;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.160883;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;2.177533;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;2.549908;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;1.751263;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;2.681499;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;3.828048;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;1.802358;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;1.879656;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.217035;6.426003;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.772228;7.000000;7.000000;7.000000;7.000000;7.000000;
240.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.000155;0.000153;0.000151;0.627465;6.775315;7.000000;
260.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.000155;0.000153;0.000151;0.000149;0.000146;0.000141;
280.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.000155;0.000153;0.000151;0.000149;0.000146;0.000141;
300.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.000155;0.000153;0.000151;0.000149;0.000146;0.000141;
320.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.000155;0.000153;0.000151;0.000149;0.000146;0.000141;
340.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.000155;0.000153;0.000151;0.000149;0.000146;0.000141;
360.000000;0.000124;0.000124;0.000128;0.000145;0.000145;0.000152;0.000142;0.000144;0.000154;0.000162;0.000170;0.000153;0.000149;0.000149;0.000161;0.000178;0.000167;0.000160;0.000157;0.000152;0.000154;0.000163;0.000152;0.000151;0.000151;0.000154;0.000155;0.000153;0.000151;0.000149;0.000146;0.000141;
