t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.336683;7.363758;7.615316;8.586675;6.860389;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;7.963702;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;7.146156;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;7.077782;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;7.325706;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;7.174822;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;6.953702;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;9.489378;9.340121;7.332883;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;9.489378;9.340121;9.013109;9.147651;7.443438;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;9.489378;9.340121;9.013109;9.147651;9.657406;9.053820;8.057431;6.952725;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;9.489378;9.340121;9.013109;9.147651;9.657406;9.053820;8.981232;8.990666;9.150090;7.645057;7.000000;7.000000;7.000000;7.000000;7.000000;
240.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;9.489378;9.340121;9.013109;9.147651;9.657406;9.053820;8.981232;8.990666;9.150090;9.203750;9.096934;8.981499;7.606409;6.999195;7.000000;
260.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;9.489378;9.340121;9.013109;9.147651;9.657406;9.053820;8.981232;8.990666;9.150090;9.203750;9.096934;8.981499;8.840940;8.676132;8.402576;
280.000000;7.336683;7.363758;7.615316;8.586675;8.603483;9.039108;8.436956;8.562674;9.134090;9.621401;10.116528;9.077018;8.875052;8.869613;9.587355;10.586323;9.937712;9.489378;9.340121;9.013109;9.147651;9.657406;9.053820;8.981232;8.990666;9.150090;9.203750;9.096934;8.981499;8.840940;8.676132;8.402576;
