t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.241833;0.241542;0.216957;0.158829;0.028110;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.147045;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.099422;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.083787;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.104770;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.138145;0.133440;0.078810;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.138145;0.133440;0.127520;0.131421;0.061411;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.138145;0.133440;0.127520;0.131421;0.139848;0.142490;0.105254;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.138145;0.133440;0.127520;0.131421;0.139848;0.142490;0.139651;0.134799;0.095913;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
200.000000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.138145;0.133440;0.127520;0.131421;0.139848;0.142490;0.139651;0.134799;0.129929;0.136879;0.140657;0.010787;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
220.000000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.138145;0.133440;0.127520;0.131421;0.139848;0.142490;0.139651;0.134799;0.129929;0.136879;0.144911;0.149818;0.148752;0.129672;0.000000;0.000000;0.000000;0.000000;0.000000;
240.000000;0.241833;0.241542;0.216957;0.158829;0.159337;0.153407;0.151065;0.154271;0.150718;0.142185;0.134233;0.133866;0.138958;0.138145;0.133440;0.127520;0.131421;0.139848;0.142490;0.139651;0.134799;0.129929;0.136879;0.144911;0.149818;0.148752;0.144471;0.147135;0.150136;0.139802;0.004580;0.000000;
