t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
10.000000;0.000124;0.000124;1.031264;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000124;0.000124;0.000127;0.000144;5.651524;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
30.002000;0.000124;0.000124;0.000127;0.000144;0.000140;2.622066;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.224723;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
50.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;3.944208;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;2.267031;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
70.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;2.394198;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;2.598465;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
90.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;2.415464;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;1.719812;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
110.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;1.710301;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;2.560007;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
130.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;3.617815;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;0.000165;3.682544;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
150.002000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;0.000165;0.000158;2.476434;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;0.000165;0.000158;0.000159;1.580046;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
170.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;0.000165;0.000158;0.000159;0.000162;0.985377;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;0.000165;0.000158;0.000159;0.000162;0.000173;1.743991;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
190.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;0.000165;0.000158;0.000159;0.000162;0.000173;0.000175;1.674668;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;0.000124;0.000124;0.000127;0.000144;0.000140;0.000149;0.000148;0.000148;0.000152;0.000162;0.000164;0.000167;0.000162;0.000167;0.000174;0.000182;0.000165;0.000158;0.000159;0.000162;0.000173;0.000175;0.000163;0.098207;6.230545;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
