t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
10.000000;7.347997;7.390449;7.122920;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.347997;7.390449;7.538558;8.559386;6.865041;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
30.002000;7.347997;7.390449;7.538558;8.559386;8.322319;7.111905;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;7.852076;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
50.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;6.972797;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;7.162853;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
70.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;7.146500;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;7.112850;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
90.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;7.067911;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;7.245167;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
110.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;7.256564;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;7.105815;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
130.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;6.843891;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;6.944226;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
150.002000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;7.106290;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;7.332401;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
170.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;7.601480;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;7.347025;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
190.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;7.260968;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;9.696835;8.333564;6.904745;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
210.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;9.696835;9.272583;9.089035;7.082699;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;9.696835;9.272583;9.089035;9.186106;7.649598;7.000000;7.000000;7.000000;7.000000;7.000000;
230.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;9.696835;9.272583;9.089035;9.186106;9.388749;9.166413;6.991435;7.000000;7.000000;7.000000;
240.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;9.696835;9.272583;9.089035;9.186106;9.388749;9.166413;9.046736;9.061790;7.060162;7.000000;
250.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;9.696835;9.272583;9.089035;9.186106;9.388749;9.166413;9.046736;9.061790;8.734991;7.467535;
260.000000;7.347997;7.390449;7.538558;8.559386;8.322319;8.834424;8.764338;8.787965;9.024184;9.606868;9.719024;9.946625;9.616242;9.924864;10.353405;10.796193;9.785009;9.386958;9.422473;9.617108;10.270787;10.385527;9.696835;9.272583;9.089035;9.186106;9.388749;9.166413;9.046736;9.061790;8.734991;8.454782;
