t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
10.000000;0.236402;0.236267;0.180148;0.000020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.236402;0.236267;0.217435;0.160622;0.024197;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
30.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.097866;0.000307;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.145757;0.000811;0.000022;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
50.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.062583;0.000468;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.098160;0.000200;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
70.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.089732;0.000290;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.080354;0.000427;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
90.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.092910;0.000543;0.000029;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.100712;0.000306;0.000027;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
110.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.100356;0.000086;0.000062;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.076104;0.000098;0.000057;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
130.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.061850;0.000445;0.000092;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.068771;0.000603;0.000076;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
150.002000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.093419;0.000374;0.000150;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.111973;0.000301;0.000081;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
170.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.106861;0.001272;0.000301;0.000367;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.105367;0.002260;0.000527;0.000257;0.000185;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
190.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.127686;0.118442;0.012812;0.001622;0.000198;0.000260;0.000042;0.000000;0.000000;0.000000;0.000000;
200.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.127686;0.130899;0.133245;0.060982;0.001933;0.000131;0.000714;0.000233;0.000069;-0.000006;0.000000;
210.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.127686;0.130899;0.133550;0.138218;0.123966;0.023773;0.000866;0.000548;0.000444;0.000072;0.000158;
220.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.127686;0.130899;0.133550;0.138218;0.137590;0.131975;0.083691;0.002479;0.002170;0.000330;0.000000;
230.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.127686;0.130899;0.133550;0.138218;0.137590;0.131976;0.133110;0.121615;0.016354;0.000000;0.000000;
240.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.127686;0.130899;0.133550;0.138218;0.137590;0.131976;0.133110;0.138434;0.144797;0.067320;0.000240;
250.000000;0.236402;0.236267;0.217435;0.160622;0.160970;0.154588;0.152328;0.156149;0.153137;0.144358;0.136613;0.134943;0.138841;0.139339;0.135459;0.129075;0.131376;0.137181;0.139804;0.138431;0.135623;0.127686;0.130899;0.133550;0.138218;0.137590;0.131976;0.133110;0.138434;0.144796;0.150120;0.147281;
