t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;935.189320;936.025961;936.862602;937.699242;938.535883;939.372523;939.859357;940.502923;941.146489;941.790055;942.433621;943.186469;943.755531;944.324594;944.893656;945.462719;945.973714;946.479429;946.985143;947.490857;947.996571;948.473845;948.730918;948.987990;949.245063;949.502135;949.723393;949.927321;950.131250;950.335179;950.539107;950.743036;
10.000000;855.903227;867.007680;878.112133;889.216586;900.321039;911.425492;921.823529;925.308824;928.794118;932.279412;935.764706;937.919569;939.379986;940.840403;942.300819;943.761236;944.559110;945.217949;945.876789;946.535628;947.194467;947.725842;947.976895;948.227947;948.479000;948.730053;948.955821;949.144036;949.332250;949.520464;949.708679;949.896893;
20.000000;856.583328;864.145984;871.708641;879.271297;886.833953;894.396609;901.765250;906.647750;911.530250;916.412750;921.295250;925.050865;927.951802;930.852740;933.753677;936.654615;938.344030;939.688851;941.033673;942.378494;943.723315;944.937464;945.486247;946.035030;946.583813;947.132595;947.591705;947.818759;948.045813;948.272866;948.499920;948.726973;
30.002000;850.453061;857.114624;863.776186;870.437749;877.099311;883.760874;890.381887;895.448358;900.514828;905.581299;910.647769;914.760354;918.259208;921.758062;925.256917;928.755771;931.036513;933.013477;934.990441;936.967405;938.944370;940.685966;941.583301;942.480637;943.377973;944.275308;945.204250;945.653446;946.102643;946.551839;947.001035;947.450232;
40.000000;846.757937;852.669812;858.581687;864.493562;870.405437;876.317312;882.288346;887.251801;892.215257;897.178713;902.142169;906.399979;910.139354;913.878729;917.618104;921.357479;924.053949;926.414753;928.775557;931.136360;933.497164;935.603951;936.863655;938.123359;939.383062;940.642766;941.779634;942.535973;943.292313;944.048652;944.804991;945.561330;
50.000000;844.062289;849.134867;854.207445;859.280023;864.352602;869.425180;874.467353;879.630882;884.794412;889.957941;895.121471;899.493479;903.307854;907.122229;910.936604;914.750979;917.614009;920.234455;922.854902;925.475348;928.095795;930.559901;932.059309;933.558717;935.058125;936.557533;938.020009;939.000098;939.980187;940.960277;941.940366;942.920455;
60.000000;840.657641;845.150922;849.644203;854.137484;858.630766;863.124047;867.727945;873.157393;878.586842;884.016290;889.445739;893.949462;897.784983;901.620503;905.456024;909.291545;912.332649;915.081756;917.830863;920.579970;923.329077;925.796622;927.474352;929.152082;930.829812;932.507543;934.167071;935.317786;936.468500;937.619214;938.769929;939.920643;
70.000000;836.603797;840.767391;844.930984;849.094578;853.258172;857.421766;861.751952;867.471474;873.190996;878.910518;884.630040;889.134764;892.914347;896.693931;900.473514;904.253097;907.378705;910.183973;912.989241;915.794509;918.599777;921.222293;922.988049;924.753806;926.519562;928.285319;930.087018;931.357196;932.627375;933.897554;935.167732;936.437911;
80.002000;832.230682;836.234667;840.238651;844.242635;848.246620;852.250604;856.468001;862.459508;868.451015;874.442523;880.434030;885.092127;888.854211;892.616294;896.378377;900.140461;903.174761;905.987796;908.800832;911.613868;914.426904;917.082980;918.897980;920.712980;922.527980;924.342980;926.084496;927.429853;928.775210;930.120567;931.465924;932.811281;
90.002000;827.338617;831.295492;835.252367;839.209242;843.166117;847.122992;851.295539;857.426127;863.556715;869.687304;875.817892;880.623231;884.436356;888.249481;892.062606;895.875731;898.891662;901.711572;904.531483;907.351394;910.171304;912.856790;914.736231;916.615672;918.495112;920.374553;922.187793;923.565025;924.942258;926.319490;927.696722;929.073954;
100.002000;822.447513;826.441419;830.435326;834.429232;838.423138;842.417044;846.697026;852.843386;858.989747;865.136107;871.282467;876.191953;880.178411;884.164870;888.151328;892.137786;895.195287;897.989484;900.783680;903.577877;906.372073;909.020813;910.887128;912.753444;914.619760;916.486076;918.310912;919.703234;921.095555;922.487876;923.880198;925.272519;
