t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.237466;0.238533;0.219106;0.161826;0.022099;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.143622;0.000585;0.000022;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.099880;0.000065;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.080941;0.000234;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.102121;0.000176;0.000027;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.077912;0.000000;0.000027;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.064830;0.000321;0.000076;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.111474;0.000000;0.000037;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.102062;0.000390;0.000246;0.000120;0.000136;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
200.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138114;0.035791;0.000324;0.000000;0.000494;0.000054;0.000036;-0.000003;0.000000;
220.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.136082;0.044038;0.002490;0.000668;0.000327;0.000000;
240.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.137299;0.139066;0.143967;0.147982;0.049155;0.000240;
260.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.137299;0.139066;0.143967;0.147980;0.151985;0.155268;
280.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.137299;0.139066;0.143967;0.147980;0.151985;0.155268;
300.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.137299;0.139066;0.143967;0.147980;0.151985;0.155268;
320.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.137299;0.139066;0.143967;0.147980;0.151985;0.155268;
340.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.137299;0.139066;0.143967;0.147980;0.151985;0.155268;
360.000000;0.237466;0.238533;0.219106;0.161826;0.162771;0.157147;0.154210;0.156397;0.153102;0.144286;0.136211;0.135670;0.139735;0.139808;0.134483;0.128310;0.131725;0.138928;0.141171;0.138849;0.134560;0.127935;0.134345;0.138413;0.144423;0.141599;0.137299;0.139066;0.143967;0.147980;0.151985;0.155268;
