t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000124;0.000124;0.000128;0.000147;5.703176;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.312243;6.952309;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.000147;0.000146;0.000149;2.263342;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.000147;0.000146;0.000149;0.000159;0.000166;2.640374;6.917508;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.000147;0.000146;0.000149;0.000159;0.000166;0.000163;0.000162;1.920880;6.976431;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.000147;0.000146;0.000149;0.000159;0.000166;0.000163;0.000162;0.000161;0.000168;2.891678;7.000000;6.964646;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.000147;0.000146;0.000149;0.000159;0.000166;0.000163;0.000162;0.000161;0.000168;0.000174;0.000171;3.397531;6.976431;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.000147;0.000146;0.000149;0.000159;0.000166;0.000163;0.000162;0.000161;0.000168;0.000174;0.000171;0.000161;0.000160;1.412533;6.988215;6.976431;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000124;0.000124;0.000128;0.000147;0.000144;0.000150;0.000147;0.000146;0.000149;0.000159;0.000166;0.000163;0.000162;0.000161;0.000168;0.000174;0.000171;0.000161;0.000160;0.000163;0.000169;1.505740;6.885246;6.964646;6.964646;6.905724;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
