t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.356580;7.342019;7.602534;8.719099;6.857665;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;7.728008;6.999443;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;7.228091;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;7.129009;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;7.267532;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;7.186849;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;7.056411;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;7.491471;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;7.516048;7.039305;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;8.899867;7.154535;7.039529;7.005617;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;8.912252;7.225347;7.069168;7.015769;7.013546;7.000000;
240.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;9.667642;9.621898;9.388672;9.174460;7.082893;7.000000;
260.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;9.667642;9.621898;9.388672;9.174460;8.864975;8.497181;
280.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;9.667642;9.621898;9.388672;9.174460;8.864975;8.497181;
300.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;9.667642;9.621898;9.388672;9.174460;8.864975;8.497181;
320.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;9.667642;9.621898;9.388672;9.174460;8.864975;8.497181;
340.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;9.667642;9.621898;9.388672;9.174460;8.864975;8.497181;
360.000000;7.356580;7.342019;7.602534;8.719099;8.554908;8.893530;8.758390;8.665065;8.852543;9.472645;9.864768;9.699675;9.602403;9.580894;9.992320;10.356768;10.167315;9.542427;9.481880;9.690692;10.046220;10.243161;9.829575;9.559647;9.403697;9.360875;9.667642;9.621898;9.388672;9.174460;8.864975;8.497181;
