t;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;935.607641;937.280922;938.954203;940.181140;941.468272;942.901938;944.040062;945.178188;946.226571;947.238000;948.249429;948.859454;949.373599;949.825357;950.233214;950.641071;
20.000000;860.364656;875.489969;890.615281;904.206500;913.971500;923.600396;929.402271;935.204146;939.016440;941.706083;944.395726;945.760638;946.858204;947.705232;948.159339;948.613446;
40.000000;849.713875;861.537625;873.361375;884.770074;894.696985;904.530292;912.009042;919.487792;925.234351;929.955958;934.677565;937.493507;940.012914;942.157804;943.670482;945.183161;
60.000000;842.904281;851.890844;860.877406;870.442669;881.301566;892.031701;899.702743;907.373785;913.707202;919.205417;924.703631;928.313217;931.668678;934.742429;937.043857;939.345286;
80.002000;834.232674;842.240643;850.248612;859.463754;871.446769;883.211086;890.735252;898.259419;904.581279;910.207350;915.833421;919.805480;923.435480;926.757174;929.447889;932.138603;
100.002000;824.444466;832.432279;840.420091;849.770206;862.062927;874.198724;882.171641;890.144557;896.592385;902.180778;907.769171;911.820286;915.552918;919.007073;921.791716;924.576359;
120.002000;814.662690;822.795190;830.927690;840.335423;852.874099;865.319593;874.246468;883.173343;889.859362;895.230612;900.601862;904.557254;908.213899;911.511184;914.259399;917.007613;
140.002000;805.246917;813.483011;821.719104;831.289686;844.047407;856.709821;866.743363;876.776905;883.845286;889.035643;894.226000;897.920055;901.418805;904.746237;907.444094;910.141951;
160.000000;796.526969;804.682906;812.838844;822.558728;835.581154;848.560326;859.100118;869.639910;877.084589;882.837625;888.590661;892.171520;895.349743;898.305893;900.795536;903.285179;
180.000000;787.889734;796.015203;804.140672;813.686037;826.539493;839.352333;850.582333;861.812333;870.122071;876.908500;883.694929;887.210303;890.033066;892.660607;894.875964;897.091321;
200.000000;779.581234;787.661703;795.742172;805.177191;817.811162;830.502750;842.255250;854.007750;863.364714;871.439000;879.513286;883.087349;885.710967;888.074536;889.976321;891.878107;
220.000000;772.033328;779.935984;787.838641;797.035868;809.485426;821.932243;834.089535;846.246826;856.298536;865.046750;873.794964;878.223954;881.723099;884.468607;885.923964;887.379321;
240.000000;765.665562;773.368687;781.071812;790.045368;802.119926;814.112556;826.339222;838.565889;848.893006;858.153542;867.414077;873.376105;878.646632;882.605536;883.517321;884.429107;
260.000000;759.709922;767.149766;774.589609;783.336985;795.103603;806.920535;818.906576;830.892618;841.558292;851.384542;861.210792;867.959257;874.071164;878.948071;880.881643;882.815214;
280.000000;754.191000;761.461000;768.731000;777.268809;788.664838;800.169347;811.849764;823.530181;834.214018;844.565625;854.917232;862.300513;869.004329;874.794393;878.479036;882.163679;
300.000000;749.114344;756.179031;763.243719;771.484015;782.607397;793.847604;805.295729;816.743854;827.648768;838.367875;849.086982;856.782092;863.853803;870.285268;875.236161;880.187054;
320.000000;744.259234;751.149703;758.040172;766.114750;776.937250;787.768882;798.985340;810.201799;821.241923;832.044958;842.847994;850.870941;858.481270;865.649857;871.492714;877.335571;
340.000000;739.843141;746.581422;753.319703;761.224132;771.754574;782.258375;793.249625;804.240875;814.978798;825.650583;836.322369;844.936395;853.120868;860.857732;867.366839;873.875946;
360.000000;735.731547;742.322641;748.913734;756.664360;767.002228;777.326139;788.040306;798.754472;809.321958;819.828208;830.334458;839.360447;848.020184;856.165179;862.989107;869.813036;
