t;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.148490;7.537535;6.949146;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.148490;7.537535;7.554124;7.020554;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.148490;7.537535;7.554124;7.614344;7.200294;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.148490;7.537535;7.554124;7.614344;7.820939;7.204165;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.249546;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.286039;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.158355;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.277799;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;7.360700;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;6.957015;7.000000;7.000000;7.000000;
220.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.028226;7.000000;7.000000;
240.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.856756;7.374240;7.052485;
260.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.856756;7.750964;7.650654;
280.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.856756;7.750964;7.650654;
300.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.856756;7.750964;7.650654;
320.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.856756;7.750964;7.650654;
340.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.856756;7.750964;7.650654;
360.000000;7.148490;7.537535;7.554124;7.614344;7.820939;8.045263;7.736110;7.935990;7.973722;7.945380;8.103785;7.893833;7.814798;7.856756;7.750964;7.650654;
