t;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.300000;0.300000;0.035354;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.300000;0.300000;0.300000;0.159596;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.300000;0.300000;0.300000;0.300000;0.264646;0.001010;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.243434;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.267677;0.002020;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.260606;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.231313;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.269697;0.002020;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.274747;0.001010;0.003030;0.000000;0.000000;0.000000;
200.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.030303;0.000000;0.002020;0.000000;
220.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.154545;0.000000;0.001010;
240.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.293939;0.074747;
260.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
280.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
300.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
320.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
340.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
360.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
