t;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000239;0.000252;6.136014;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000239;0.000252;0.000248;3.311018;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000239;0.000252;0.000248;0.000252;0.892287;6.976431;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000239;0.000252;0.000248;0.000252;0.000257;1.394674;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.749727;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.924086;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;1.605333;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.703953;6.952862;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.611126;6.976431;6.929293;7.000000;7.000000;7.000000;
200.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;6.268489;7.000000;6.952862;7.000000;
220.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;3.353443;7.000000;6.976431;
240.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;0.000257;0.221202;5.332466;
260.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;0.000257;0.000255;0.000251;
280.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;0.000257;0.000255;0.000251;
300.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;0.000257;0.000255;0.000251;
320.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;0.000257;0.000255;0.000251;
340.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;0.000257;0.000255;0.000251;
360.000000;0.000239;0.000252;0.000248;0.000252;0.000257;0.000261;0.000258;0.000264;0.000260;0.000262;0.000264;0.000259;0.000256;0.000257;0.000255;0.000251;
