t;y = 0.116 m;y = 0.109 m;y = 0.101 m;y = 0.094 m;y = 0.086 m;y = 0.079 m;y = 0.071 m;y = 0.064 m;y = 0.056 m;y = 0.049 m;y = 0.041 m;y = 0.034 m;y = 0.026 m;y = 0.019 m;y = 0.011 m;y = 0.004 m;
0.000000;677.641071;677.233214;676.825357;676.373599;675.859454;675.249429;674.238000;673.226571;672.178188;671.040062;669.901938;668.468272;667.181140;665.954203;664.280922;662.607641;
0.100000;677.650071;677.242214;676.834357;676.310099;675.795954;675.168429;674.157000;673.145571;672.100688;670.962562;669.824438;668.532772;667.245640;665.839703;664.166422;662.493141;
0.200000;677.512714;677.104143;676.695571;676.270507;675.781230;675.293190;674.250333;673.207476;672.032507;670.904799;669.777090;668.549390;667.282551;665.500688;663.648813;661.796938;
0.300000;677.616411;677.196232;676.776054;676.375849;675.869204;675.246649;674.227542;673.208435;672.168569;671.046486;669.924403;668.522309;667.197456;665.555547;663.311328;661.067109;
0.400000;677.552911;677.132732;676.712554;676.316349;675.809704;675.137149;674.118042;673.098935;672.072569;670.950486;669.828403;668.493309;667.168456;665.284047;663.039828;660.795609;
0.500000;677.532750;677.150250;676.767750;676.288539;675.737882;675.078060;674.058417;673.038774;671.931771;670.761146;669.590521;668.211184;666.927581;664.827375;662.363625;659.899875;
0.600000;677.523446;677.144339;676.765232;676.284796;675.777362;675.318214;674.257500;673.196786;672.001083;670.798583;669.596083;668.329228;667.036360;664.681188;661.914313;659.147438;
0.700000;677.457411;677.052232;676.647054;676.152868;675.708395;675.176315;674.092208;673.008101;671.904500;670.719500;669.534500;668.224140;666.889801;664.275359;661.203016;658.130672;
0.800000;677.528875;677.102625;676.676375;676.224395;675.757816;675.114119;674.034833;672.955548;671.835563;670.656187;669.476813;668.158346;666.840772;664.152563;660.731937;657.311312;
0.900000;677.450946;677.006839;676.562732;676.064763;675.618711;675.195369;674.123583;673.051798;671.986035;670.862493;669.738951;668.549434;667.213331;663.976406;660.129844;656.283281;
1.000000;677.410571;676.967714;676.524857;676.127888;675.670586;674.962899;673.936292;672.909685;671.943153;670.803569;669.663986;668.154088;666.815559;663.598000;659.378000;655.158000;
1.100000;677.517768;677.083304;676.648839;676.143092;675.653224;675.148476;674.131333;673.114190;671.960806;670.776639;669.592472;668.365272;667.063140;663.400828;658.806297;654.211766;
1.200000;677.460786;677.024357;676.587929;676.168586;675.717993;675.190131;674.116917;673.043702;671.858042;670.701792;669.545542;668.244272;666.942140;663.132484;658.168891;653.205297;
1.300000;677.447732;677.037196;676.626661;676.221842;675.754474;675.118857;674.056000;672.993143;672.005590;670.845382;669.685174;668.356044;667.026779;662.754187;657.387313;652.020437;
1.400000;677.366750;677.014250;676.661750;676.285112;675.797414;675.227756;674.203292;673.178827;672.033340;670.835632;669.637924;668.382794;667.046029;662.941906;656.820344;650.698781;
1.500000;677.449518;677.067554;676.685589;676.207599;675.693454;675.106506;674.074542;673.042577;672.015389;670.813722;669.612056;668.264449;666.880257;662.423297;655.971578;649.519859;
1.600000;677.549464;677.148393;676.747321;676.288691;675.764678;675.171661;674.128625;673.085589;671.850882;670.681924;669.512965;668.096559;666.719206;662.201234;655.395141;648.589047;
1.700000;677.537571;677.114714;676.691857;676.197191;675.658178;675.059042;674.000292;672.941542;671.859951;670.753910;669.647868;668.348500;666.953500;662.024906;654.853344;647.681781;
1.800000;677.522000;677.112000;676.702000;676.199066;675.656303;674.975649;673.926542;672.877435;671.889201;670.745660;669.602118;668.182265;666.746676;661.658953;654.138172;646.617391;
1.900000;677.603607;677.216821;676.830036;676.288474;675.770579;675.220940;674.170583;673.120226;672.000354;670.827229;669.654104;668.191728;666.778860;661.412641;653.519984;645.627328;
2.000000;677.414268;677.039804;676.665339;676.243704;675.731138;675.077583;674.025083;672.972583;671.902049;670.728090;669.554132;668.252610;666.804449;661.177484;652.918891;644.660297;
2.100000;677.534429;677.157286;676.780143;676.233737;675.734789;675.220446;674.158125;673.095804;671.899118;670.758076;669.617035;668.135096;666.615022;660.757844;652.111906;643.465969;
2.200000;677.498696;677.127089;676.755482;676.370776;675.876171;675.213149;674.149042;673.084935;672.032035;670.923493;669.814951;668.307184;666.768581;660.539391;651.519234;642.499078;
2.300000;677.449054;677.078161;676.707268;676.215493;675.699770;675.086679;674.052750;673.018821;672.043986;670.879403;669.714819;668.175051;666.634243;660.178188;650.811312;641.444437;
2.400000;677.572518;677.160554;676.748589;676.215467;675.736849;675.132006;674.115042;673.098077;671.971667;670.781667;669.591667;668.058566;666.529669;659.934000;650.174000;640.414000;
2.500000;677.462875;677.031625;676.600375;676.178625;675.717375;675.235744;674.205208;673.174673;672.030847;670.890431;669.750014;668.293728;666.730860;659.656484;649.527891;639.399297;
2.600000;677.470036;677.036107;676.602179;676.194612;675.691914;675.061071;674.017500;672.973929;671.925486;670.805903;669.686319;668.066949;666.487757;659.334016;648.847609;638.361203;
2.700000;677.536071;677.128214;676.720357;676.188257;675.676480;675.049649;674.030542;673.011435;671.951972;670.822806;669.693639;668.185809;666.605956;659.122422;648.239453;637.356484;
2.800000;677.507429;677.080286;676.653143;676.205954;675.700888;675.228583;674.176083;673.123583;672.036618;670.910576;669.784535;668.153919;666.580904;658.779297;647.537578;636.295859;
2.900000;677.665446;677.201339;676.737232;676.199099;675.699954;675.002452;673.943167;672.883881;671.851250;670.703750;669.556250;668.065618;666.495912;658.486609;646.896766;635.306922;
3.000000;677.607054;677.156161;676.705268;676.259243;675.766020;675.256649;674.207542;673.158435;671.952403;670.835319;669.718236;668.157978;666.542610;658.287016;646.330609;634.374203;
3.100000;677.526696;677.095089;676.663482;676.105757;675.638980;674.984071;673.940500;672.896929;672.002458;670.863708;669.724958;668.151787;666.486566;657.934641;645.611984;633.289328;
3.200000;677.448804;677.005411;676.562018;676.150566;675.712803;675.201649;674.182542;673.163435;671.947382;670.793424;669.639465;667.964963;666.262684;657.477641;644.784984;632.092328;
3.300000;677.421411;676.981232;676.541054;676.093743;675.645520;675.134607;674.094250;673.053893;672.075326;670.943035;669.810743;668.088426;666.408868;657.310812;644.257687;631.204562;
3.400000;677.391161;676.978482;676.565804;676.186914;675.707507;675.112714;674.067000;673.021286;671.893653;670.739069;669.584486;667.972243;666.301287;656.995594;643.592156;630.188719;
3.500000;677.554375;677.128125;676.701875;676.174559;675.686072;675.089976;674.057833;673.025690;671.961424;670.821215;669.681007;668.023522;666.323890;656.709844;642.963906;629.217969;
3.600000;677.525393;677.062179;676.598964;676.179901;675.689046;675.104756;674.080292;673.055827;671.967021;670.833896;669.700771;668.083412;666.316941;656.430828;642.371297;628.311766;
