t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.341524;7.376118;7.603812;8.384594;6.886720;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;7.772155;6.998304;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;7.166489;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;7.114779;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;7.287129;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;7.105488;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;7.026251;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;7.380291;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;7.440158;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;8.261518;7.055674;7.007634;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
220.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;8.648226;7.024579;7.017157;7.000000;7.000000;7.000000;
240.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;9.641186;9.357945;9.043387;7.708455;7.011141;7.000000;
260.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;9.641186;9.357945;9.043387;8.902049;8.631512;8.452529;
280.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;9.641186;9.357945;9.043387;8.902049;8.631512;8.452529;
300.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;9.641186;9.357945;9.043387;8.902049;8.631512;8.452529;
320.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;9.641186;9.357945;9.043387;8.902049;8.631512;8.452529;
340.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;9.641186;9.357945;9.043387;8.902049;8.631512;8.452529;
360.000000;7.341524;7.376118;7.603812;8.384594;8.578024;8.839719;8.396123;8.498393;9.006351;9.576156;9.920525;9.916385;9.406542;9.576449;10.140969;10.266077;9.984820;9.561996;9.291389;9.639330;9.917683;10.354122;9.862322;9.313890;9.228767;9.393760;9.641186;9.357945;9.043387;8.902049;8.631512;8.452529;
