t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.241096;0.240999;0.219067;0.160364;0.024754;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.145368;0.000678;0.000022;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.099708;0.000200;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.082343;0.000419;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.102128;0.000062;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.077219;0.000103;0.000002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.065352;0.000140;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.107716;0.000000;0.000137;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.096005;0.000174;0.000105;0.000258;0.000142;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
200.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.138050;0.027625;0.000714;0.000131;0.000203;0.000142;0.000091;-0.000006;0.000000;
220.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.137314;0.021530;0.000000;0.000000;0.000000;0.000000;
240.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.139025;0.143855;0.149009;0.141471;0.014482;0.000241;
260.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.139025;0.143855;0.149009;0.151842;0.155662;0.159291;
280.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.139025;0.143855;0.149009;0.151842;0.155662;0.159291;
300.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.139025;0.143855;0.149009;0.151842;0.155662;0.159291;
320.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.139025;0.143855;0.149009;0.151842;0.155662;0.159291;
340.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.139025;0.143855;0.149009;0.151842;0.155662;0.159291;
360.000000;0.241096;0.240999;0.219067;0.160364;0.160207;0.154804;0.152259;0.155552;0.151551;0.143013;0.134619;0.133582;0.139477;0.139474;0.134174;0.128273;0.131706;0.139111;0.142389;0.139892;0.135383;0.129790;0.134308;0.141250;0.144388;0.142087;0.139025;0.143855;0.149009;0.151842;0.155662;0.159291;
