t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.241332;0.241131;0.219060;0.160451;0.024277;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.145893;0.000000;0.000022;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.152046;0.156562;0.152498;0.100156;0.000133;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.152046;0.156562;0.152498;0.143858;0.135569;0.083543;0.000348;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.152046;0.156562;0.152498;0.143858;0.135569;0.134341;0.139579;0.102584;0.000062;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.152046;0.156562;0.152498;0.143858;0.135569;0.134341;0.139579;0.139378;0.134160;0.078258;0.000127;0.000002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.152046;0.156562;0.152498;0.143858;0.135569;0.134341;0.139579;0.139378;0.134160;0.127881;0.130508;0.066362;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.152046;0.156562;0.152498;0.143858;0.135569;0.134341;0.139579;0.139378;0.134160;0.127881;0.130508;0.138652;0.140735;0.108238;0.000000;0.000159;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.241332;0.241131;0.219060;0.160451;0.160722;0.154138;0.152046;0.156562;0.152498;0.143858;0.135569;0.134341;0.139579;0.139378;0.134160;0.127881;0.130508;0.138652;0.140735;0.138494;0.133623;0.098629;0.000000;0.000223;0.000158;0.000066;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
