t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000123;0.000124;0.000128;0.000147;5.738519;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.300025;7.000000;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;2.289833;6.964646;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;2.735033;6.929293;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;1.851682;6.976431;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;2.870495;6.952862;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;3.819562;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;1.801877;7.000000;6.952862;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;0.000161;0.000165;1.903277;7.000000;6.976431;6.929293;6.917508;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;0.000161;0.000165;0.000172;0.000165;0.112542;5.344209;6.976431;6.976431;6.976431;6.941077;6.964646;6.976431;7.000000;
220.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;0.000161;0.000165;0.000172;0.000165;0.000155;0.000156;0.000160;0.059782;5.703170;7.009962;7.000000;7.000000;7.000000;
240.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;0.000161;0.000165;0.000172;0.000165;0.000155;0.000156;0.000160;0.000162;0.000158;0.000152;0.201267;6.319873;7.000000;
260.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;0.000161;0.000165;0.000172;0.000165;0.000155;0.000156;0.000160;0.000162;0.000158;0.000152;0.000151;0.000147;0.000141;
280.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;0.000161;0.000165;0.000172;0.000165;0.000155;0.000156;0.000160;0.000162;0.000158;0.000152;0.000151;0.000147;0.000141;
300.000000;0.000123;0.000124;0.000128;0.000147;0.000144;0.000149;0.000148;0.000146;0.000152;0.000158;0.000164;0.000165;0.000162;0.000162;0.000170;0.000175;0.000168;0.000160;0.000156;0.000161;0.000165;0.000172;0.000165;0.000155;0.000156;0.000160;0.000162;0.000158;0.000152;0.000151;0.000147;0.000141;
