t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.334582;7.380662;7.599733;8.717640;6.844739;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;7.748476;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;8.771060;8.695890;9.016412;7.158740;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;8.771060;8.695890;9.016412;9.365473;9.747882;7.156870;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;8.771060;8.695890;9.016412;9.365473;9.747882;9.777408;9.594505;7.284102;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;8.771060;8.695890;9.016412;9.365473;9.747882;9.777408;9.594505;9.631423;10.076540;7.134200;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;8.771060;8.695890;9.016412;9.365473;9.747882;9.777408;9.594505;9.631423;10.076540;10.399495;9.991764;7.002531;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;8.771060;8.695890;9.016412;9.365473;9.747882;9.777408;9.594505;9.631423;10.076540;10.399495;9.991764;9.499803;9.295620;7.330926;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.334582;7.380662;7.599733;8.717640;8.556356;8.821401;8.771060;8.695890;9.016412;9.365473;9.747882;9.777408;9.594505;9.631423;10.076540;10.399495;9.991764;9.499803;9.295620;9.563340;9.778272;7.437808;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
