t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000124;0.000124;0.000128;0.000146;5.852423;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.337738;7.000000;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.000148;0.000147;0.000150;2.180022;6.964646;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.000148;0.000147;0.000150;0.000160;0.000166;2.683578;6.929293;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.000148;0.000147;0.000150;0.000160;0.000166;0.000165;0.000160;1.818110;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.000148;0.000147;0.000150;0.000160;0.000166;0.000165;0.000160;0.000163;0.000174;2.685265;6.976431;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.000148;0.000147;0.000150;0.000160;0.000166;0.000165;0.000160;0.000163;0.000174;0.000177;0.000169;3.491660;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.000148;0.000147;0.000150;0.000160;0.000166;0.000165;0.000160;0.000163;0.000174;0.000177;0.000169;0.000160;0.000158;1.594937;7.000000;6.976431;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000124;0.000124;0.000128;0.000146;0.000135;0.000150;0.000148;0.000147;0.000150;0.000160;0.000166;0.000165;0.000160;0.000163;0.000174;0.000177;0.000169;0.000160;0.000158;0.000163;0.000171;1.770593;7.000000;6.976431;6.941077;6.941077;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
