t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;7.331751;7.366913;7.531446;8.916286;6.828710;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.015224;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.692634;8.763580;8.939859;7.202138;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.692634;8.763580;8.939859;9.634607;9.923109;7.093561;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.692634;8.763580;8.939859;9.634607;9.923109;9.625387;9.221543;7.264591;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.692634;8.763580;8.939859;9.634607;9.923109;9.625387;9.221543;9.597942;10.175342;7.111506;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.692634;8.763580;8.939859;9.634607;9.923109;9.625387;9.221543;9.597942;10.175342;10.608195;10.003137;6.940727;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.692634;8.763580;8.939859;9.634607;9.923109;9.625387;9.221543;9.597942;10.175342;10.608195;10.003137;9.486777;8.836883;7.341147;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;7.331751;7.366913;7.531446;8.916286;8.594853;8.553991;8.692634;8.763580;8.939859;9.634607;9.923109;9.625387;9.221543;9.597942;10.175342;10.608195;10.003137;9.486777;8.836883;9.754395;9.332616;7.369095;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
