t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.241763;0.241290;0.216388;0.158322;0.027607;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.146590;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.150807;0.154561;0.151499;0.098956;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.150807;0.154561;0.151499;0.142976;0.134587;0.082960;0.000203;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.150807;0.154561;0.151499;0.142976;0.134587;0.134414;0.139247;0.104008;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.150807;0.154561;0.151499;0.142976;0.134587;0.134414;0.139247;0.138707;0.133541;0.078545;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.150807;0.154561;0.151499;0.142976;0.134587;0.134414;0.139247;0.138707;0.133541;0.127286;0.131063;0.063132;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.150807;0.154561;0.151499;0.142976;0.134587;0.134414;0.139247;0.138707;0.133541;0.127286;0.131063;0.139352;0.142033;0.105871;0.000000;0.000074;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.241763;0.241290;0.216388;0.158322;0.159097;0.153089;0.150807;0.154561;0.151499;0.142976;0.134587;0.134414;0.139247;0.138707;0.133541;0.127286;0.131063;0.139352;0.142033;0.139612;0.134765;0.092509;0.000000;0.000000;0.000107;0.000049;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
