t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000124;0.000124;0.000126;0.000148;5.760435;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.361863;7.000000;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;2.069699;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;2.737174;6.952862;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;1.700673;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;2.624617;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;3.386518;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;1.655837;7.000000;6.988215;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;1.797282;7.000000;6.976431;6.964646;6.964646;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.098015;6.088315;6.988215;7.000000;6.988215;7.000000;6.964646;6.988215;7.000000;
220.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.591772;6.827758;7.000000;7.000000;7.000000;7.000000;
240.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.000160;0.000154;0.000152;0.769600;6.846722;7.000000;
260.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.000160;0.000154;0.000152;0.000149;0.000146;0.000141;
280.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.000160;0.000154;0.000152;0.000149;0.000146;0.000141;
300.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.000160;0.000154;0.000152;0.000149;0.000146;0.000141;
320.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.000160;0.000154;0.000152;0.000149;0.000146;0.000141;
340.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.000160;0.000154;0.000152;0.000149;0.000146;0.000141;
360.000000;0.000124;0.000124;0.000126;0.000148;0.000139;0.000149;0.000147;0.000147;0.000150;0.000163;0.000159;0.000159;0.000162;0.000167;0.000172;0.000181;0.000167;0.000162;0.000159;0.000166;0.000173;0.000174;0.000164;0.000154;0.000154;0.000148;0.000160;0.000154;0.000152;0.000149;0.000146;0.000141;
