t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
20.000000;0.000118;0.000118;0.000118;0.000118;5.974747;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
40.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.306397;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
60.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;2.250842;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
80.002000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;3.063973;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
100.002000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;1.779461;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
120.002000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;2.875421;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
140.002000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;3.735690;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
160.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;1.567340;7.000000;6.988215;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
180.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;1.979798;6.858586;6.988215;7.000000;6.976431;7.000000;7.000000;7.000000;7.000000;7.000000;7.000000;
200.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.035354;3.099327;6.835017;7.000000;6.964646;7.000000;6.976431;7.000000;7.000000;
220.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;4.372054;7.000000;7.000000;7.000000;7.000000;
240.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.424242;6.457912;7.000000;
260.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;
280.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;
300.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;
320.000000;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;0.000118;
