t;y = 0.118 m;y = 0.114 m;y = 0.111 m;y = 0.107 m;y = 0.103 m;y = 0.099 m;y = 0.096 m;y = 0.092 m;y = 0.088 m;y = 0.084 m;y = 0.081 m;y = 0.077 m;y = 0.073 m;y = 0.069 m;y = 0.066 m;y = 0.062 m;y = 0.058 m;y = 0.054 m;y = 0.051 m;y = 0.047 m;y = 0.043 m;y = 0.039 m;y = 0.036 m;y = 0.032 m;y = 0.028 m;y = 0.024 m;y = 0.021 m;y = 0.017 m;y = 0.013 m;y = 0.009 m;y = 0.006 m;y = 0.002 m;
0.000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0.100000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.200000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.300000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.400000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.500000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.600000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.700000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.800000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
0.900000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.000000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.100000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.200000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.300000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.400000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.500000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.600000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.700000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.800000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
1.900000;10;10;15;11;17;13;16;14;13;12;13;12;14;17;15;7;12;12;14;23;24;13;14;10;9;14;16;12;13;9;12;74;
