t	La
0	0	0
0.01	2.51327412287183	2.79252680319093
0.02	5.30580092606276	5.58505360638186
0.03	8.09832772925369	8.37758040957279
0.04	10.8908545324446	11.1701072127637
0.05	13.6833813356355	13.9626340159546
0.06	16.4759081388265	16.7551608191456
0.07	19.2684349420174	19.5476876223365
0.0800000000000001	22.0609617452083	22.3402144255274
0.0900000000000001	24.8534885483993	25.1327412287184
0.1	27.6460153515902	27.9252680319093
0.11	30.4385421547812	30.7177948351002
0.12	33.2310689579721	33.5103216382912
0.13	36.0235957611631	36.3028484414821
0.14	38.816122564354	39.095375244673
0.15	41.5747796117636	41.8879020478639
0.16	44.3673064149546	44.6804288510549
0.17	47.1598332181455	47.4729556542458
0.18	49.9523600213365	50.2654824574367
0.19	52.7448868245274	53.0580092606277
0.2	55.5374136277184	55.8505360638186
0.21	58.3299404309092	58.6430628670095
0.22	61.1224672341002	61.4355896702004
0.23	62.6959304779485	64.2281164733914
0.24	65.4884572811394	67.0206432765823
0.25	68.2809840843304	69.8131700797732
0.26	71.0735108875212	72.6056968829642
0.27	73.8660376907121	75.3982236861551
0.28	76.658564493903	78.190750489346
0.29	79.451091297094	80.9832772925369
0.3	82.2139820639762	83.7758040957279
0.31	85.0065088671672	86.5683308989188
0.32	87.799035670358	89.3608577021097
0.33	90.5915624735489	92.1533845053007
0.34	93.3840892767398	94.9459113084916
0.35	95.6938509483288	97.7384381116825
0.36	98.4863777515197	100.530964914873
0.37	101.278904554711	103.323491718064
0.38	104.071431357902	106.116018521255
0.39	106.863958161092	108.908545324446
0.4	109.656484964283	111.701072127637
0.41	112.449011767474	114.493598930828
0.42	115.241538570665	117.286125734019
0.43	118.034065373856	120.07865253721
0.44	120.533622611282	122.871179340401
0.45	123.323637352345	125.663706143592
0.46	126.116164155536	128.456232946783
0.47	128.908690958726	131.248759749974
0.48	131.501561206465	134.041286553165
0.49	134.015088128063	136.833813356356
0.5	136.807614931254	139.626340159546
0.51	139.600141734445	142.418866962737
0.52	142.392668537636	145.211393765928
0.53	145.185195340827	148.003920569119
0.54	147.977722144017	150.79644737231
0.55	150.770248947208	153.588974175501
0.56	153.496580049234	156.381500978692
0.57	155.996408588678	159.174027781883
0.58	158.788935391868	161.966554585074
0.59	161.581462195059	164.759081388265
0.6	164.365743919068	167.551608191456
0.61	167.158270722259	170.344134994647
0.62	169.95079752545	173.136661797838
0.63	172.408253820885	175.929188601029
0.64	175.200780624076	178.721715404219
0.65	177.993307427267	181.51424220741
0.66	180.717970411058	184.306769010601
0.67	183.510497214249	187.099295813792
0.68	186.30302401744	189.891822616983
0.690000000000001	188.869968759908	192.684349420174
0.700000000000001	191.662495563099	195.476876223365
0.710000000000001	194.45502236629	198.269403026556
0.720000000000001	197.247549169481	201.061929829747
0.730000000000001	200.040075972672	203.854456632938
0.740000000000001	202.832602775863	206.646983436129
0.750000000000001	205.615139000838	209.43951023932
0.760000000000001	208.407665804029	212.232037042511
0.770000000000001	211.063447867041	215.024563845702
0.780000000000001	213.820835475638	217.817090648893
0.790000000000001	216.518162651067	220.609617452083
0.800000000000001	219.310689454258	223.402144255274
0.810000000000001	222.103216257449	226.194671058465
0.820000000000001	224.674406540364	228.987197861656
0.830000000000001	227.466933343555	231.779724664847
0.840000000000001	230.259460146746	234.572251468038
0.850000000000001	233.051986949937	237.364778271229
0.860000000000001	235.844513753128	240.15730507442
0.870000000000001	238.652983374209	242.949831877611
0.880000000000001	241.4455101774	245.742358680802
0.890000000000001	244.23803698059	248.534885483993
0.900000000000001	246.825672786253	251.327412287184
0.910000000000001	249.618199589444	254.119939090375
0.920000000000001	252.227104498786	256.912465893566
0.930000000000001	255.019631301977	259.704992696756
0.940000000000001	257.812158105168	262.497519499947
0.950000000000001	260.604684908359	265.290046303138
