t	fs
0	0	0
0.01	0	8.88888888888889E-07
0.02	2.38177059938776E-07	3.55555555555556E-06
0.03	9.52708239755103E-07	8E-06
0.04	2.14359353944898E-06	1.42222222222222E-05
0.05	3.81083295902041E-06	2.22222222222222E-05
0.06	5.9544264984694E-06	3.2E-05
0.07	8.57437415779593E-06	4.35555555555556E-05
0.08	1.1670675937E-05	5.68888888888889E-05
0.09	1.52433318360817E-05	7.2E-05
0.1	1.92923418550408E-05	8.88888888888889E-05
0.11	2.38177059938776E-05	0.000107555555555556
0.12	2.88194242525919E-05	0.000128
0.13	3.42974966311837E-05	0.000150222222222222
0.14	4.02519231296531E-05	0.000174222222222222
0.15	4.66827037480001E-05	0.0002
0.16	5.35898384862246E-05	0.000227555555555556
0.17	6.09733273443266E-05	0.000256888888888889
0.18	6.88331703223062E-05	0.000288
0.19	7.71693674201634E-05	0.000320888888888889
0.2	8.59819186378981E-05	0.000355555555555556
0.21	9.52708239755104E-05	0.000392
0.22	9.80296049406921E-05	0.000430222222222222
0.23	0.000146936962331671	0.000470222222222223
0.24	0.000157057177645735	0.000512
0.25	0.000168128381231947	0.000555555555555556
0.26	0.000180150573090307	0.000600888888888889
0.27	0.000193123753220815	0.000648
0.28	0.000241873745467202	0.000696888888888889
0.29	0.00026591351744714	0.000747555555555556
0.3	0.000291973549522697	0.0008
0.31	0.000320053841693873	0.000854222222222223
0.32	0.000350154393960668	0.000910222222222223
0.33	0.000382275206323081	0.000968000000000001
0.34	0.000416416278781112	0.00102755555555556
0.35	0.000452577611334763	0.00108888888888889
0.36	0.000490759203984031	0.001152
0.37	0.000530961056728919	0.00121688888888889
0.38	0.000605753593177249	0.00128355555555556
0.39	0.000659312036507878	0.001352
0.4	0.000716060967341303	0.00142222222222222
0.41	0.000776000385677526	0.00149422222222222
0.42	0.000827438268383785	0.001568
0.43	0.000901602870638886	0.00164355555555556
0.44	0.000948511938032231	0.00172088888888889
0.45	0.000998205279936964	0.0018
0.46	0.00105068289635309	0.00188088888888889
0.47	0.0011059447872806	0.00196355555555556
0.48	0.00113482959607648	0.002048
0.49	0.00121450789951434	0.00213422222222222
0.5	0.00125678326509179	0.00222222222222222
0.51	0.00130175052709736	0.002312
0.52	0.00134940968553105	0.00240355555555556
0.53	0.00139976074039286	0.00249688888888889
0.54	0.00150319830425284	0.002592
0.55	0.00156807717458078	0.00268888888888889
