t	La
0	0	0
0.01	0	2.51415744421884
0.02	1.30142365790023	5.02831488843767
0.03	2.60284731580045	7.54247233265651
0.04	3.90427097370068	10.0566297768753
0.05	5.20569463160091	12.5707872210942
0.06	6.50711828950113	15.084944665313
0.07	7.80854194740136	17.5991021095319
0.08	9.10996560530158	20.1132595537507
0.09	10.4113892632018	22.6274169979695
0.1	11.712812921102	25.1415744421884
0.11	13.0142365790023	27.6557318864072
0.12	13.7350073686247	30.169889330626
0.13	13.7350073686247	32.6840467748449
0.14	27.4700147372493	35.1982042190637
0.15	27.4700147372493	37.7123616632825
0.16	27.4700147372493	40.2265191075014
0.17	27.4700147372493	42.7406765517202
0.18	27.4700147372493	45.2548339959391
0.19	41.205022105874	47.7689914401579
0.2	41.205022105874	50.2831488843767
0.21	41.205022105874	52.7973063285956
0.22	41.205022105874	55.3114637728144
0.23	41.205022105874	57.8256212170332
0.24	41.205022105874	60.3397786612521
0.25	41.205022105874	62.8539361054709
0.26	41.205022105874	65.3680935496897
0.27	54.9400294744986	67.8822509939086
0.28	54.9400294744986	70.3964084381274
0.29	54.9400294744986	72.9105658823463
0.3	68.6750368431233	75.4247233265651
0.31	68.6750368431233	77.938880770784
0.32	68.6750368431233	80.4530382150028
0.33	68.6750368431233	82.9671956592216
0.34	68.6750368431233	85.4813531034405
0.35	68.6750368431233	87.9955105476593
0.36	68.6750368431233	90.5096679918781
0.37	82.4100442117479	93.023825436097
0.38	82.4100442117479	95.5379828803158
0.39	82.4100442117479	98.0521403245346
0.4	82.4100442117479	100.566297768753
0.41	82.4100442117479	103.080455212972
0.42	82.4100442117479	105.594612657191
0.43	96.1450515803726	108.10877010141
0.44	96.1450515803726	110.622927545629
0.45	96.1450515803726	113.137084989848
0.46	109.880058948997	115.651242434067
0.47	109.880058948997	118.165399878285
0.48	109.880058948997	120.679557322504
0.49	109.880058948997	123.193714766723
0.5	109.880058948997	125.707872210942
0.51	109.880058948997	128.222029655161
0.52	109.880058948997	130.736187099379
0.53	109.880058948997	133.250344543598
0.54	123.615066317622	135.764501987817
0.55	123.615066317622	138.278659432036
0.56	123.615066317622	140.792816876255
0.57	123.615066317622	143.306974320474
0.58	123.615066317622	145.821131764693
0.59	137.350073686247	148.335289208911
0.6	137.350073686247	150.84944665313
0.61	137.350073686247	153.363604097349
0.62	151.085081054871	155.877761541568
0.63	151.085081054871	158.391918985787
0.64	151.085081054871	160.906076430006
0.65	151.085081054871	163.420233874224
0.66	151.085081054871	165.934391318443
0.67	151.085081054871	168.448548762662
0.68	151.085081054871	170.962706206881
0.69	151.085081054871	173.4768636511
0.7	151.085081054871	175.991021095319
0.71	151.085081054871	178.505178539537
0.72	164.820088423496	181.019335983756
0.73	164.820088423496	183.533493427975
0.74	178.555095792121	186.047650872194
0.75	178.555095792121	188.561808316413
0.76	178.555095792121	191.075965760632
0.77	178.555095792121	193.59012320485
0.78	178.555095792121	196.104280649069
0.79	178.555095792121	198.618438093288
0.8	192.290103160745	201.132595537507
0.810000000000001	192.290103160745	203.646752981726
0.820000000000001	192.290103160745	206.160910425945
0.830000000000001	192.290103160745	208.675067870164
0.840000000000001	192.290103160745	211.189225314382
0.850000000000001	192.290103160745	213.703382758601
0.860000000000001	192.290103160745	216.21754020282
0.870000000000001	206.02511052937	218.731697647039
0.880000000000001	206.02511052937	221.245855091258
0.890000000000001	206.02511052937	223.760012535477
0.900000000000001	206.02511052937	226.274169979695
0.910000000000001	219.760117897994	228.788327423914
0.920000000000001	219.760117897994	231.302484868133
