t	Cl	Cl	Cl
0	5	5	5
0.0001	5	5	5
0.0002	5	5	5
0.0003	5	5	5
0.0004	5	5	5
0.0005	5	5	5
0.0006	5	5	5
0.0007	5	5	5
0.0008	5	5	5
0.0009	5	5	5
0.001	5	5	5
0.0011	5	5	5
0.0012	5	5	5
0.0013	5	5	5
0.0014	5	5	5
0.0015	5	5	5
0.0016	5	5	5
0.0017	5	5	5
0.0018	5	5	5
0.0019	5	5	5
0.002	5	5	5
0.0021	5	5	5
0.0022	5	5	5
0.0023	5	5	5
0.0024	5.00002633026727	5.00000002633013	5.00000000002633
0.0025	5.00002749512609	5.00000002750025	5.0000000000275
0.0026	5.00002751826301	5.00000002752288	5.00000000002752
0.0027	5.0000275423268	5.00000002754641	5.00000000002755
0.0028	5.00002756731745	5.00000002757085	5.00000000002757
0.0029	5.00002759323496	5.00000002759619	5.00000000002759
0.003	5.00002762007933	5.00000002762244	5.00000000002762
0.0031	5.00002764785055	5.00000002764959	5.00000000002765
0.0032	5.00002767654865	5.00000002767765	5.00000000002768
0.0033	5.00002770617362	5.00000002770661	5.0000000000277
0.0034	5.00002773672546	5.00000002773648	5.00000000002773
0.0035	5.0000277682042	5.00000002776726	5.00000000002776
0.0036	5.00002780060983	5.00000002779893	5.0000000000278
0.0037	5.00002783394236	5.00000002783152	5.00000000002783
0.0038	5.00002786820182	5.00000002786501	5.00000000002786
0.0039	5.00002790338821	5.00000002789941	5.0000000000279
0.004	5.00002793950155	5.00000002793471	5.00000000002793
0.0041	5.00002797654186	5.00000002797092	5.00000000002797
0.0042	5.00002801450917	5.00000002800804	5.000000000028
0.0043	5.00002805340349	5.00000002804606	5.00000000002804
0.0044	5.00002809322484	5.00000002808498	5.00000000002808
0.0045	5.00002813397326	5.00000002812482	5.00000000002812
0.0046	5.00002817564876	5.00000002816556	5.00000000002816
0.0047	5.0000282182514	5.0000000282072	5.0000000000282
0.0048	5.00002826178118	5.00000002824975	5.00000000002824
0.0049	5.00002830623816	5.00000002829321	5.00000000002829
0.005	5.00002835162236	5.00000002833757	5.00000000002833
0.0051	5.00002839793383	5.00000002838284	5.00000000002838
0.0052	5.00002844517261	5.00000002842902	5.00000000002842
0.0053	5.00002849333874	5.00000002847611	5.00000000002847
0.0054	5.00002854990949	5.0000000285241	5.00000000002852
0.0055	5.00003671404814	5.00000002860302	5.00000000002859
0.0056	5.00003676088152	5.00000003716015	5.00000000003715
0.0057	5.00003680856793	5.00000003720649	5.0000000000372
0.0058	5.00003685710744	5.00000003725367	5.00000000003724
0.0059	5.00003690650011	5.00000003730167	5.00000000003729
0.006	5.000036956746	5.00000003735051	5.00000000003734
0.0061	5.00003700784521	5.00000003740017	5.00000000003739
0.0062	5.00003705979779	5.00000003745067	5.00000000003744
0.0063	5.00003711260383	5.00000003750199	5.00000000003749
0.0064	5.00003716626342	5.00000003755414	5.00000000003754
0.0065	5.00003722077664	5.00000003760713	5.0000000000376
0.0066	5.00003727614359	5.00000003766094	5.00000000003765
0.0067	5.00003733236435	5.00000003771559	5.0000000000377
0.0068	5.00003738943902	5.00000003777107	5.00000000003776
0.00690000000000001	5.00003744736771	5.00000003782737	5.00000000003782
0.00700000000000001	5.00003750615052	5.00000003788451	5.00000000003787
0.00710000000000001	5.00003756578756	5.00000003794248	5.00000000003793
0.00720000000000001	5.00003762627894	5.00000003800128	5.00000000003799
0.00730000000000001	5.00003768762478	5.00000003806091	5.00000000003805
0.00740000000000001	5.00003774982519	5.00000003812137	5.00000000003811
0.00750000000000001	5.00003781288031	5.00000003818267	5.00000000003817
0.00760000000000001	5.00003787679026	5.00000003824479	5.00000000003823
0.00770000000000001	5.00003794155518	5.00000003830775	5.0000000000383
0.00780000000000001	5.00003800717519	5.00000003837154	5.00000000003836
0.00790000000000001	5.00003807365045	5.00000003843617	5.00000000003842
0.00800000000000001	5.0000381409811	5.00000003850163	5.00000000003849
0.00810000000000001	5.00003820916729	5.00000003856791	5.00000000003855
0.00820000000000001	5.00003827820917	5.00000003863504	5.00000000003862
0.00830000000000001	5.0000383481069	5.00000003870299	5.00000000003869
0.0084	5.00003841886066	5.00000003877178	5.00000000003876
0.0085	5.0000384904706	5.00000003884141	5.00000000003883
0.0086	5.0000385629369	5.00000003891186	5.0000000000389
0.0087	5.00003863625974	5.00000003898316	5.00000000003897
0.0088	5.0000387104393	5.00000003905528	5.00000000003904
0.0089	5.00003878547578	5.00000003912824	5.00000000003911
0.009	5.00003886136936	5.00000003920204	5.00000000003919
