t	Rg	Rg	Rg
0	0	0	0
0.0001	0	0	0
0.0002	0	0	0
0.0003	0	0	0
0.0004	0	0	0
0.0005	0	0	0
0.0006	0	0	0
0.0007	0	0	0
0.0008	0	0	0
0.0009	0	0	0
0.001	0	0	0
0.0011	0	0	0
0.0012	0	0	0
0.0013	0	0	0
0.0014	0	0	0
0.0015	0	0	0
0.0016	0	0	0
0.0017	0	0	0
0.0018	0	0	0
0.0019	0	0	0
0.002	0	0	0
0.0021	0	0	0
0.0022	0	0	0
0.0023	0	0	0
0.0024	1.7391304347798E-06	1.7391304347798E-06	1.7391304347798E-06
0.0025	1.7391304347798E-06	1.7391304347798E-06	1.7391304347798E-06
0.0026	1.73913326048774E-06	1.73913327326707E-06	1.73913327327987E-06
0.0027	1.73913636475004E-06	1.73913639117568E-06	1.73913639120214E-06
0.0028	1.7391397629436E-06	1.73913980391575E-06	1.73913980395677E-06
0.0029	1.73914347067861E-06	1.7391435271318E-06	1.73914352718831E-06
0.003	1.73914750379358E-06	1.73914757669774E-06	1.73914757677071E-06
0.0031	1.73915187835064E-06	1.73915196871227E-06	1.7391519688027E-06
0.0032	1.73915661063114E-06	1.73915671949443E-06	1.73915671960336E-06
0.0033	1.73916171713144E-06	1.73916184557949E-06	1.73916184570799E-06
0.0034	1.73916721455894E-06	1.73916736371497E-06	1.73916736386417E-06
0.0035	1.73917311982836E-06	1.73917329085694E-06	1.73917329102799E-06
0.0036	1.73917945005809E-06	1.73917964416642E-06	1.73917964436052E-06
0.0037	1.73918622256683E-06	1.73918644100602E-06	1.73918644122441E-06
0.0038	1.73919345487034E-06	1.73919369893672E-06	1.73919369918069E-06
0.0039	1.73920116467828E-06	1.73920143571475E-06	1.73920143598564E-06
0.004	1.73920936989132E-06	1.73920966928869E-06	1.73920966958787E-06
0.0041	1.73921808859823E-06	1.7392184177966E-06	1.7392184181255E-06
0.0042	1.73922733907321E-06	1.73922769956335E-06	1.73922769992345E-06
0.0043	1.73923713977322E-06	1.73923753309803E-06	1.73923753349085E-06
0.0044	1.73924750933555E-06	1.73924793709143E-06	1.73924793751857E-06
0.0045	1.73925846657532E-06	1.7392589304137E-06	1.73925893087679E-06
0.0046	1.73927003048324E-06	1.73927053211199E-06	1.73927053261272E-06
0.0047	1.73928222022332E-06	1.73928276140828E-06	1.73928276194839E-06
0.0048	1.73929505513076E-06	1.73929563769721E-06	1.73929563827852E-06
0.0049	1.73930855470983E-06	1.73930918054407E-06	1.73930918116843E-06
0.005	1.73932273863193E-06	1.73932340968274E-06	1.73932341035209E-06
0.0051	1.73933762673356E-06	1.73933834501386E-06	1.73933834573019E-06
0.0052	1.73935323901457E-06	1.7393540066029E-06	1.73935400736827E-06
0.0053	1.73936959563623E-06	1.73937041467842E-06	1.73937041549494E-06
0.0054	1.73938671691958E-06	1.73938758963029E-06	1.73938759050016E-06
0.0055	1.73938671691958E-06	1.73940555200807E-06	1.73940555293353E-06
0.0056	1.73940541855095E-06	1.73940555200807E-06	1.73940555293353E-06
0.0057	1.73942494653686E-06	1.73942515150529E-06	1.73942515250255E-06
0.0058	1.73944532182314E-06	1.73944560101869E-06	1.73944560209042E-06
0.0059	1.73946656550753E-06	1.73946692172061E-06	1.7394669228696E-06
0.006	1.73948869883821E-06	1.7394891349354E-06	1.73948913616449E-06
0.0061	1.73951174321238E-06	1.73951226213799E-06	1.73951226345011E-06
0.0062	1.73953572017493E-06	1.73953632495255E-06	1.7395363263507E-06
0.0063	1.73956065141702E-06	1.73956134515115E-06	1.7395613466384E-06
0.0064	1.73958655877486E-06	1.73958734465244E-06	1.73958734623196E-06
0.0065	1.7396134642284E-06	1.73961434552047E-06	1.73961434719549E-06
0.0066	1.7396413899001E-06	1.7396423699634E-06	1.73964237173726E-06
0.0067	1.73967035805373E-06	1.73967144033236E-06	1.73967144220847E-06
0.0068	1.73970039109321E-06	1.73970157912026E-06	1.73970158110211E-06
0.00690000000000001	1.73973151156145E-06	1.73973280896066E-06	1.73973281105185E-06
0.00700000000000001	1.73976374213926E-06	1.73976515262671E-06	1.73976515483091E-06
0.00710000000000001	1.73979710564423E-06	1.73979863303002E-06	1.739798635351E-06
0.00720000000000001	1.73983162502971E-06	1.73983327321964E-06	1.73983327566126E-06
0.00730000000000001	1.73986732338374E-06	1.73986909638104E-06	1.73986909894727E-06
0.00740000000000001	1.73990422392806E-06	1.73990612583511E-06	1.73990612852999E-06
0.00750000000000001	1.73994235001709E-06	1.73994438503715E-06	1.73994438786485E-06
0.00760000000000001	1.73998172513703E-06	1.73998389757599E-06	1.73998390054075E-06
0.00770000000000001	1.74002237290483E-06	1.74002468717297E-06	1.74002469027915E-06
0.00780000000000001	1.74006431706735E-06	1.74006677768109E-06	1.74006678093316E-06
0.00790000000000001	1.74010758150039E-06	1.74011019308409E-06	1.74011019648662E-06
0.00800000000000001	1.74015219020786E-06	1.74015495749562E-06	1.74015496105326E-06
0.00810000000000001	1.74019816732087E-06	1.7402010951583E-06	1.74020109887585E-06
0.00820000000000001	1.74024553709693E-06	1.74024863044298E-06	1.74024863432533E-06
0.00830000000000001	1.74029432391906E-06	1.74029758784788E-06	1.74029759190004E-06
0.0084	1.74034455229505E-06	1.74034799199777E-06	1.74034799622485E-06
0.0085	1.74039624685661E-06	1.74039986764322E-06	1.74039987205046E-06
0.0086	1.74044943235863E-06	1.74045323965982E-06	1.74045324425258E-06
0.0087	1.74050413367837E-06	1.74050813304744E-06	1.74050813783119E-06
0.0088	1.74056037581476E-06	1.74056457292945E-06	1.74056457790978E-06
0.0089	1.74061818388765E-06	1.74062258455204E-06	1.74062258973468E-06
0.009	1.74067758313707E-06	1.74068219328351E-06	1.7406821986743E-06
0.0091	1.74073859892253E-06	1.74074342461354E-06	1.74074343021845E-06
0.0092	1.74080125672236E-06	1.74080630415253E-06	1.74080630997766E-06
0.0093	1.740865582133E-06	1.74087085763095E-06	1.74087086368253E-06
0.0094	1.74093160086833E-06	1.74093711089863E-06	1.74093711718304E-06
0.0095	1.74099933875901E-06	1.74100508992418E-06	1.74100509644791E-06
0.0096	1.74106882175189E-06	1.7410748207943E-06	1.74107482756398E-06
0.0097	1.74114007590929E-06	1.74114632971319E-06	1.74114633673559E-06
0.0098	1.74121312740846E-06	1.74121964300192E-06	1.74121965028397E-06
0.0099	1.74128800254092E-06	1.74129478709787E-06	1.74129479464662E-06
0.01	1.74136472771187E-06	1.74137178855407E-06	1.74137179637673E-06
0.0101	1.74144332943963E-06	1.7414506740387E-06	1.74145068214261E-06
0.0102	1.74152383435501E-06	1.74153147033447E-06	1.74153147872712E-06
0.0103	1.74160626920079E-06	1.74161420433805E-06	1.74161421302711E-06
0.0104	1.74169066083113E-06	1.74169890305959E-06	1.74169891205285E-06
0.0105	1.74177703621102E-06	1.7417855936221E-06	1.74178560292751E-06
0.0106	1.74186542241575E-06	1.74187430326096E-06	1.74187431288664E-06
0.0107	1.74195584663037E-06	1.74196505932339E-06	1.7419650692776E-06
0.0108	1.74204833614918E-06	1.74205788926793E-06	1.7420578995591E-06
0.0109	1.74214291837517E-06	1.74215282066394E-06	1.74215283130066E-06
0.011	1.74223962081958E-06	1.7422498811911E-06	1.74224989218213E-06
