t	fg	fg	fg
0	0	0	0
0.0001	0	0	0
0.0002	0	0	0
0.0003	0	0	0
0.0004	0	0	0
0.0005	0	0	0
0.0006	0	0	0
0.0007	0	0	0
0.0008	0	0	0
0.0009	0	0	0
0.001	0	0	0
0.0011	0	0	0
0.0012	0	0	0
0.0013	0	0	0
0.0014	0	0	0
0.0015	0	0	0
0.0016	0	0	0
0.0017	0	0	0
0.0018	0	0	0
0.0019	0	0	0
0.002	0	0	0
0.0021	0	0	0
0.0022	0	0	0
0.0023	0	0	0
0.0024	5.26602572302966E-06	5.26602572302966E-09	5.26602572302966E-12
0.0025	5.49881539454324E-06	5.49986667984348E-09	5.49986773251088E-12
0.0026	5.4988410628346E-06	5.49989246436193E-09	5.49989351714573E-12
0.0027	5.498869261562E-06	5.49992078720664E-09	5.49992184011471E-12
0.0028	5.4989001304341E-06	5.49995178838917E-09	5.49995284142968E-12
0.0029	5.49893381128339E-06	5.4999856100547E-09	5.49998666323612E-12
0.003	5.49897044802151E-06	5.50002239643765E-09	5.50002344976878E-12
0.0031	5.49901018659731E-06	5.50006229381996E-09	5.50006334730992E-12
0.0032	5.4990531749572E-06	5.50010545049178E-09	5.50010650415002E-12
0.0033	5.49909956300777E-06	5.50015201671427E-09	5.5001530705506E-12
0.0034	5.49914950258046E-06	5.50020214468455E-09	5.50020319870915E-12
0.0035	5.49920314739802E-06	5.50025598850239E-09	5.50025704272579E-12
0.0036	5.49926065304274E-06	5.50031370413868E-09	5.5003147585718E-12
0.0037	5.4993221769263E-06	5.50037544940544E-09	5.50037650405961E-12
0.0038	5.49938787826103E-06	5.50044138392736E-09	5.50044243881428E-12
0.0039	5.4994579180326E-06	5.50051166911465E-09	5.50051272424647E-12
0.004	5.49953245897398E-06	5.50058646813721E-09	5.5005875235265E-12
0.0041	5.49961166554059E-06	5.50066594590001E-09	5.50066700155977E-12
0.0042	5.4996957038866E-06	5.5007502690195E-09	5.50075132496321E-12
0.0043	5.49978474184224E-06	5.50083960580121E-09	5.50084066204279E-12
0.0044	5.49987894889217E-06	5.50093412621821E-09	5.50093518277206E-12
0.0045	5.49997849615472E-06	5.50103400189056E-09	5.50103505877159E-12
0.0046	5.50008355636203E-06	5.50113940606564E-09	5.50114046328927E-12
0.0047	5.50019430384106E-06	5.50125051359933E-09	5.50125157118147E-12
0.0048	5.50031091449533E-06	5.5013675009379E-09	5.50136855889502E-12
0.0049	5.50043356578747E-06	5.50149054610072E-09	5.50149160444982E-12
0.005	5.50056243672243E-06	5.50161982866365E-09	5.50162088742231E-12
0.0051	5.50069770783137E-06	5.50175552974312E-09	5.50175658892947E-12
0.0052	5.50083956115628E-06	5.50189783198081E-09	5.50189889161358E-12
0.0053	5.50098818023504E-06	5.502046919529E-09	5.50204797962753E-12
0.0054	5.50263917655117E-06	5.50220297803646E-09	5.50220403862071E-12
0.0055	7.1297093782019E-06	5.50837186486005E-09	5.50782788564358E-12
0.0056	7.12987931070683E-06	7.21400477301924E-09	7.21346607285471E-12
0.0057	7.13005675570371E-06	7.21418286911406E-09	7.2136441696033E-12
0.0058	7.13024190402409E-06	7.21436869329666E-09	7.21382999446429E-12
0.0059	7.13043494791927E-06	7.21456243850159E-09	7.21402374037289E-12
0.006	7.13063608104917E-06	7.21476429908626E-09	7.21422560168721E-12
0.0061	7.13084549847148E-06	7.21497447082037E-09	7.21443577417764E-12
0.0062	7.13106339663142E-06	7.2151931508757E-09	7.21465445501667E-12
0.0063	7.13128997335175E-06	7.21542053781633E-09	7.2148818427691E-12
0.0064	7.13152542782327E-06	7.21565683158924E-09	7.21511813738267E-12
0.0065	7.13176996059567E-06	7.21590223351534E-09	7.21536354017903E-12
0.0066	7.13202377356879E-06	7.21615694628079E-09	7.21561825384511E-12
0.0067	7.13228706998416E-06	7.21642117392877E-09	7.21588248242487E-12
0.0068	7.132560054417E-06	7.21669512185152E-09	7.21615643131136E-12
0.00690000000000001	7.13284293276843E-06	7.21697899678278E-09	7.21644030723913E-12
0.00700000000000001	7.13313591225815E-06	7.21727300679053E-09	7.216734318277E-12
0.00710000000000001	7.13343920141734E-06	7.21757736127007E-09	7.2170386738211E-12
0.00720000000000001	7.1337530100819E-06	7.21789227093736E-09	7.21735358458827E-12
0.00730000000000001	7.13407754938602E-06	7.21821794782274E-09	7.21767926260971E-12
0.00740000000000001	7.13441303175602E-06	7.21855460526492E-09	7.21801592122501E-12
0.00750000000000001	7.13475967090446E-06	7.2189024579052E-09	7.21836377507642E-12
0.00760000000000001	7.13511768182464E-06	7.21926172168209E-09	7.21872304010334E-12
0.00770000000000001	7.13548728078521E-06	7.21963261382611E-09	7.21909393353724E-12
0.00780000000000001	7.1358686853252E-06	7.22001535285489E-09	7.21947667389672E-12
0.00790000000000001	7.13626211424924E-06	7.22041015856857E-09	7.21987148098288E-12
0.00800000000000001	7.13666778762306E-06	7.22081725204541E-09	7.22027857587497E-12
0.00810000000000001	7.13708592676925E-06	7.22123685563769E-09	7.22069818092628E-12
0.00820000000000001	7.13751675426328E-06	7.22166919296785E-09	7.22113051976026E-12
0.00830000000000001	7.1379604939297E-06	7.22211448892487E-09	7.22157581726696E-12
0.0084	7.1384173708387E-06	7.22257296966091E-09	7.22203429959959E-12
0.0085	7.1388876113028E-06	7.2230448625882E-09	7.22250619417144E-12
0.0086	7.13937144287386E-06	7.2235303963761E-09	7.22299172965297E-12
0.0087	7.13986909434022E-06	7.22402980094846E-09	7.22349113596914E-12
0.0088	7.14038079572418E-06	7.22454330748121E-09	7.22400464429701E-12
0.0089	7.14090677827965E-06	7.22507114840009E-09	7.22453248706347E-12
0.009	7.14144727448996E-06	7.22561355737874E-09	7.22507489794332E-12
0.0091	7.14200251806604E-06	7.22617076933685E-09	7.22563211185743E-12
0.0092	7.14257274394466E-06	7.22674302043869E-09	7.22620436497127E-12
0.0093	7.143158188287E-06	7.22733054809171E-09	7.22679189469351E-12
0.0094	7.14375908847734E-06	7.22793359094543E-09	7.22739493967491E-12
0.0095	7.14437568312201E-06	7.22855238889055E-09	7.22801373980742E-12
0.0096	7.14500821204858E-06	7.22918718305821E-09	7.22864853622346E-12
0.0097	7.14565691630514E-06	7.22983821581952E-09	7.22929957129543E-12
0.0098	7.14632203815991E-06	7.23050573078523E-09	7.22996708863539E-12
0.0099	7.14700382110098E-06	7.23118997280564E-09	7.23065133309498E-12
0.01	7.14770250983624E-06	7.23189118797072E-09	7.23135255076552E-12
0.0101	7.14841835029358E-06	7.2326096236104E-09	7.23207098897831E-12
0.0102	7.14915158962118E-06	7.23334552829507E-09	7.23280689630513E-12
0.0103	7.1499024761881E-06	7.23409915183628E-09	7.23356052255894E-12
0.0104	7.15067125958498E-06	7.23487074528763E-09	7.23433211879476E-12
0.0105	7.151458190625E-06	7.23566056094583E-09	7.23512193731077E-12
0.0106	7.15226352134496E-06	7.23646885235203E-09	7.23593023164957E-12
0.0107	7.15308750500663E-06	7.23729587429322E-09	7.23675725659966E-12
0.0108	7.1539303960982E-06	7.23814188280395E-09	7.2376032681971E-12
0.0109	7.15479245033602E-06	7.23900713516813E-09	7.23846852372733E-12
0.011	7.15567392466642E-06	7.23989188992111E-09	7.23935328172724E-12
