t	fg2D	fg2D	fg2D
0	0	0	0
0.0001	0	0	0
0.0002	0	0	0
0.0003	0	0	0
0.0004	0	0	0
0.0005	0	0	0
0.0006	0	0	0
0.0007	0	0	0
0.0008	0	0	0
0.0009	0	0	0
0.001	0	0	0
0.0011	0	0	0
0.0012	0	0	0
0.0013	0	0	0
0.0014	0	0	0
0.0015	0	0	0
0.0016	0	0	0
0.0017	0	0	0
0.0018	0	0	0
0.0019	0	0	0
0.002	0	0	0
0.0021	0	0	0
0.0022	0	0	0
0.0023	0	0	0
0.0024	0.00030268343282286	3.0268343282286E-06	3.0268343282286E-08
0.0025	0.000311539242722852	3.11578948995049E-06	3.11578988752254E-08
0.0026	0.000311540212225464	3.11579922825549E-06	3.11579962587089E-08
0.0027	0.000311541277302015	3.11580992521882E-06	3.11581032288046E-08
0.0028	0.00031154244322885	3.1158216337149E-06	3.11582203142582E-08
0.0029	0.000311543715362442	3.11583440742313E-06	3.11583480518645E-08
0.003	0.000311545099137701	3.11584830081099E-06	3.11584869862996E-08
0.0031	0.000311546600066374	3.11586336911818E-06	3.11586376699618E-08
0.0032	0.000311548223735539	3.11587966834169E-06	3.11588006628221E-08
0.0033	0.000311549975806181	3.11589725522161E-06	3.11589765322827E-08
0.0034	0.000311551862011845	3.11591618722777E-06	3.11591658530432E-08
0.0035	0.000311553888157356	3.11593652254702E-06	3.11593692069735E-08
0.0036	0.000311556060117608	3.11595832007122E-06	3.11595871829937E-08
0.0037	0.000311558383836405	3.11598163938573E-06	3.11598203769586E-08
0.0038	0.000311560865325365	3.11600654075851E-06	3.11600693915496E-08
0.0039	0.000311563510662871	3.11603308512972E-06	3.11603348361696E-08
0.004	0.000311566325993069	3.1160613341018E-06	3.11606173268447E-08
0.0041	0.000311569317524913	3.11609134992994E-06	3.11609174861284E-08
0.0042	0.000311572491531251	3.11612319551306E-06	3.11612359430116E-08
0.0043	0.00031157585434795	3.1161569343851E-06	3.11615733328353E-08
0.0044	0.000311579412373054	3.11619263070669E-06	3.11619302972077E-08
0.0045	0.000311583172065984	3.11623034925718E-06	3.1162307483924E-08
0.0046	0.000311587139946763	3.11627015542699E-06	3.11627055468905E-08
0.0047	0.000311591322595273	3.11631211521025E-06	3.11631251460501E-08
0.0048	0.000311595726650548	3.11635629519776E-06	3.11635669473129E-08
0.0049	0.000311600358810082	3.11640276257013E-06	3.11640316224872E-08
0.005	0.000311605225829174	3.11645158509134E-06	3.11645198492146E-08
0.0051	0.000311610334520291	3.11650283110238E-06	3.11650323109072E-08
0.0052	0.000311615691752457	3.1165565695152E-06	3.11655696966869E-08
0.0053	0.000311621304450662	3.11661286980691E-06	3.11661327013266E-08
0.0054	0.000311683652023748	3.11667180201411E-06	3.11667220251949E-08
0.0055	0.000370437164836954	3.11900090604908E-06	3.11879555806391E-08
0.0056	0.00037044305091748	3.73351256168935E-06	3.73332669462229E-08
0.0057	0.000370449197163954	3.73357400895221E-06	3.73338814364028E-08
0.0058	0.000370455610179741	3.73363812204467E-06	3.73345225856269E-08
0.0059	0.000370462296616868	3.7337049674635E-06	3.73351910588815E-08
0.006	0.000370469263175614	3.73377461219105E-06	3.73358875260092E-08
0.0061	0.000370476516604108	3.73384712369132E-06	3.73366126616691E-08
0.0062	0.000370484063697943	3.73392256990616E-06	3.7337367145299E-08
0.0063	0.000370491911299804	3.73400101925162E-06	3.73381516610789E-08
0.0064	0.000370500066299107	3.73408254061443E-06	3.73389668978956E-08
0.0065	0.000370508535631655	3.73416720334854E-06	3.73398135493085E-08
0.0066	0.000370517326279299	3.73425507727187E-06	3.73406923135167E-08
0.0067	0.000370526445269617	3.73434623266312E-06	3.73416038933273E-08
0.0068	0.000370535899675597	3.7344407402587E-06	3.73425489961246E-08
0.00690000000000001	0.000370545696615342	3.73453867124979E-06	3.73435283338409E-08
0.00700000000000001	0.000370555843251772	3.73464009727945E-06	3.73445426229275E-08
0.00710000000000001	0.000370566346792349	3.73474509043992E-06	3.73455925843272E-08
0.00720000000000001	0.0003705772144888	3.7348537232699E-06	3.73466789434483E-08
0.00730000000000001	0.000370588453636858	3.73496606875205E-06	3.73478024301382E-08
0.00740000000000001	0.000370600071576011	3.73508220031051E-06	3.73489637786594E-08
0.00750000000000001	0.000370612075689257	3.73520219180847E-06	3.73501637276655E-08
0.00760000000000001	0.000370624473402869	3.73532611754597E-06	3.73514030201782E-08
0.00770000000000001	0.000370637272186169	3.73545405225762E-06	3.73526824035653E-08
0.00780000000000001	0.000370650479551312	3.73558607111052E-06	3.73540026295196E-08
0.00790000000000001	0.000370664103053074	3.7357222497022E-06	3.73553644540385E-08
0.00800000000000001	0.000370678150288654	3.73586266405868E-06	3.73567686374042E-08
0.00810000000000001	0.000370692628897475	3.73600739063257E-06	3.73582159441652E-08
0.00820000000000001	0.000370707546561005	3.73615650630128E-06	3.7359707143118E-08
0.00830000000000001	0.000370722911002569	3.73631008836525E-06	3.73612430072896E-08
0.0084	0.000370738729987186	3.73646821454634E-06	3.73628243139213E-08
0.0085	0.000370755011321399	3.7366309629862E-06	3.73644518444525E-08
0.0086	0.00037077176285312	3.73679841224476E-06	3.73661263845057E-08
0.0087	0.000370788992471479	3.7369706412988E-06	3.73678487238718E-08
0.0088	0.000370806708106679	3.73714772954053E-06	3.73696196564961E-08
0.0089	0.000370824917729858	3.73732975677628E-06	3.73714399804656E-08
0.009	0.000370843629352963	3.73751680322525E-06	3.7373310497996E-08
0.0091	0.000370862851028616	3.73770894951833E-06	3.73752320154199E-08
0.0092	0.000370882590850005	3.73790627669695E-06	3.73772053431754E-08
0.0093	0.000370902856950766	3.738108866212E-06	3.73792312957958E-08
0.0094	0.000370923657504879	3.73831679992286E-06	3.7381310691899E-08
0.0095	0.000370945000726565	3.73853016009641E-06	3.73834443541782E-08
0.0096	0.000370966894870196	3.73874902940617E-06	3.73856331093932E-08
0.0097	0.000370989348230202	3.73897349093144E-06	3.73878777883617E-08
0.0098	0.000371012369140988	3.73920362815656E-06	3.73901792259518E-08
0.0099	0.000371035965976859	3.73943952497014E-06	3.73925382610748E-08
0.01	0.000371060147151949	3.73968126566443E-06	3.73949557366783E-08
0.0101	0.000371084921120147	3.73992893493472E-06	3.73974324997402E-08
0.0102	0.000371110296375046	3.74018261787872E-06	3.73999694012635E-08
0.0103	0.000371136281449879	3.74044239999616E-06	3.74025672962707E-08
0.0104	0.000371162884917473	3.74070836718823E-06	3.74052270437997E-08
0.0105	0.000371190115390201	3.74098060575726E-06	3.74079495068995E-08
0.0106	0.000371217981519944	3.74125920240634E-06	3.74107355526272E-08
0.0107	0.000371246491998053	3.74154424423905E-06	3.74135860520445E-08
0.0108	0.000371275655555322	3.74183581875917E-06	3.74165018802158E-08
0.0109	0.000371305480961962	3.74213401387053E-06	3.74194839162056E-08
0.011	0.000371335977027579	3.74243891787686E-06	3.7422533043078E-08
0.0111	0.00037136715260116	3.74275061948167E-06	3.74256501478947E-08
0.0112	0.000371399016571063	3.74306920778822E-06	3.74288361217154E-08
0.0113	0.000371431577865012	3.74339477229954E-06	3.74320918595972E-08
0.0114	0.000371464845450093	3.74372740291845E-06	3.74354182605957E-08
