t	fs	fs	fs
0	0	0	0
0.0001	0	0	0
0.0002	0	0	0
0.0003	0	0	0
0.0004	0	0	0
0.0005	0	0	0
0.0006	0	0	0
0.0007	0	0	0
0.0008	0	0	0
0.0009	0	0	0
0.001	0	0	0
0.0011	0	0	0
0.0012	0	0	0
0.0013	0	0	0
0.0014	0	0	0
0.0015	0	0	0
0.0016	0	0	0
0.0017	0	0	0
0.0018	0	0	0
0.0019	0	0	0
0.002	0	0	0
0.0021	0	0	0
0.0022	0	0	0
0.0023	0	0	0
0.0024	5.26602572302966E-06	5.26602572302966E-09	5.26602572302966E-12
0.0025	5.26602572302966E-06	5.26602572302966E-09	5.26602572302966E-12
0.0026	5.27128174728858E-06	5.27116660333946E-09	5.27115463862283E-12
0.0027	5.27674577837714E-06	5.27651063956262E-09	5.27648622612835E-12
0.0028	5.28241774158616E-06	5.28205776537196E-09	5.28202045769135E-12
0.0029	5.28829756260937E-06	5.28780791493435E-09	5.28775727194848E-12
0.003	5.29438516755482E-06	5.2937610230397E-09	5.29369660834382E-12
0.0031	5.30068048295655E-06	5.29991702492152E-09	5.29983836602425E-12
0.0032	5.30718343578611E-06	5.30627585646836E-09	5.3061825258745E-12
0.0033	5.31389395346441E-06	5.31283745407484E-09	5.31272898602814E-12
0.0034	5.32081196387323E-06	5.31960175478197E-09	5.31947773186015E-12
0.0035	5.32793739536732E-06	5.3265686961586E-09	5.32642870715921E-12
0.0036	5.33527017678602E-06	5.33373821645025E-09	5.33358180869294E-12
0.0037	5.34281023746538E-06	5.34111025455112E-09	5.34093702872208E-12
0.0038	5.3505575072501E-06	5.34868474986825E-09	5.348494263207E-12
0.0039	5.35851191650561E-06	5.35646164258149E-09	5.35625345705677E-12
0.004	5.36667339613021E-06	5.36444087351054E-09	5.36421460959624E-12
0.0041	5.37504187756723E-06	5.3726223841807E-09	5.37237761572932E-12
0.0042	5.38361729281733E-06	5.38100611672714E-09	5.38074242346025E-12
0.0043	5.39239957445081E-06	5.38959201401565E-09	5.38930903935647E-12
0.0044	5.40138865561995E-06	5.39838001971833E-09	5.39807735744906E-12
0.0045	5.41058447007156E-06	5.40737007809498E-09	5.40704732901825E-12
0.0046	5.41998695215944E-06	5.41656213430171E-09	5.41621890647652E-12
0.0047	5.42959603685698E-06	5.42595613410423E-09	5.42559204338869E-12
0.0048	5.43941165976977E-06	5.43555202413597E-09	5.43516669449195E-12
0.0049	5.44943375714824E-06	5.44534975185519E-09	5.44494281571593E-12
0.005	5.45966226590056E-06	5.45534926536139E-09	5.45492036420275E-12
0.0051	5.47009712360545E-06	5.46555051373842E-09	5.46509929832714E-12
0.0052	5.48073826852498E-06	5.47595344680411E-09	5.47547957771653E-12
0.0053	5.4915856396176E-06	5.48655801518829E-09	5.48606109218051E-12
0.0054	5.50263917655117E-06	5.49736417041767E-09	5.4968438736539E-12
0.0055	5.50263917655117E-06	5.50837186486005E-09	5.50782788564358E-12
0.0056	5.51339418002575E-06	5.50837186486005E-09	5.50782788564358E-12
0.0057	5.5243385730426E-06	5.51902676070152E-09	5.5184585898848E-12
0.0058	5.53547230576912E-06	5.52986571685693E-09	5.52927301582271E-12
0.0059	5.54679532918663E-06	5.54088869660749E-09	5.54027119080368E-12
0.006	5.55830759510502E-06	5.5520956640855E-09	5.55145303399402E-12
0.0061	5.57000905617731E-06	5.56348658439549E-09	5.56281852019326E-12
0.0062	5.58189966591434E-06	5.57506142374504E-09	5.57436762556734E-12
0.0063	5.59397937869961E-06	5.58682014934899E-09	5.58610032766739E-12
0.0064	5.60624814980405E-06	5.59876272938439E-09	5.5980166054485E-12
0.0065	5.61870593540082E-06	5.61088913306247E-09	5.61011643928862E-12
0.0066	5.63135269258051E-06	5.62319933076732E-09	5.62239981100751E-12
0.0067	5.64418837936593E-06	5.63569329389023E-09	5.63486664110686E-12
0.0068	5.6572129547274E-06	5.64837099490478E-09	5.64751697619052E-12
0.00690000000000001	5.67042637859769E-06	5.66123240738215E-09	5.66035080251867E-12
0.00700000000000001	5.68382861188761E-06	5.67427750607205E-09	5.67336804226157E-12
0.00710000000000001	5.69741961650089E-06	5.68750626685543E-09	5.6865686828591E-12
0.00720000000000001	5.71119935534984E-06	5.70091866675998E-09	5.69995278080155E-12
0.00730000000000001	5.72516779237069E-06	5.71451468390739E-09	5.71352026010543E-12
0.00740000000000001	5.73932489253906E-06	5.72829429773335E-09	5.72727111294395E-12
0.00750000000000001	5.75367062188549E-06	5.74225748872969E-09	5.74120533310775E-12
0.00760000000000001	5.76820494751117E-06	5.75640423873773E-09	5.7553229160249E-12
0.00770000000000001	5.78292783760362E-06	5.77073453075525E-09	5.76962385878107E-12
0.00780000000000001	5.79783926145225E-06	5.78524834909502E-09	5.78410808699942E-12
0.00790000000000001	5.81293918946446E-06	5.79994567918252E-09	5.79877567335063E-12
0.00800000000000001	5.82822759318127E-06	5.81482650786475E-09	5.81362654499484E-12
0.00810000000000001	5.84370444529344E-06	5.82989082320622E-09	5.82866077994184E-12
0.00820000000000001	5.85936971965736E-06	5.84513861465538E-09	5.8438783069719E-12
0.00830000000000001	5.87522339131127E-06	5.86056987290925E-09	5.85927913167744E-12
0.0084	5.89126543649128E-06	5.87618459000504E-09	5.87486326145376E-12
0.0085	5.90749583264745E-06	5.89198275933686E-09	5.89063070552026E-12
0.0086	5.9239145584604E-06	5.90796437575311E-09	5.90658139428806E-12
0.0087	5.94052159385719E-06	5.92412943533239E-09	5.92271542041499E-12
0.0088	5.95731692002821E-06	5.94047793572303E-09	5.93903279872202E-12
0.0089	5.97430051944306E-06	5.95700987591727E-09	5.95553346247337E-12
0.009	5.99147237586759E-06	5.97372525634902E-09	5.97221742846946E-12
0.0091	6.00883247437998E-06	5.9906240788258E-09	5.98908471546607E-12
0.0092	6.02638080138792E-06	6.00770634671482E-09	6.00613534419665E-12
0.0093	6.04411734464481E-06	6.02497206487694E-09	6.02336933739484E-12
0.0094	6.06204209326673E-06	6.04242123959604E-09	6.04078671981714E-12
0.0095	6.08015503774927E-06	6.06005387868191E-09	6.05838742918207E-12
0.0096	6.09845616998437E-06	6.07786999148795E-09	6.07617158251962E-12
0.0097	6.11694548327729E-06	6.09586958901992E-09	6.09413911983867E-12
0.0098	6.1356229723636E-06	6.11405268368183E-09	6.11229007235894E-12
0.0099	6.15448863342615E-06	6.1324192894721E-09	6.1306244734391E-12
0.01	6.17354246411226E-06	6.15096942209535E-09	6.14914235860044E-12
0.0101	6.19278446355093E-06	6.16970309879488E-09	6.16784376555062E-12
0.0102	6.21221463237016E-06	6.18862033846283E-09	6.18672863858576E-12
0.0103	6.23183297271396E-06	6.20772116165845E-09	6.20579711455884E-12
0.0104	6.25163948826001E-06	6.22700559052908E-09	6.22504914039358E-12
0.0105	6.27163418423697E-06	6.24647364892332E-09	6.24448476093158E-12
0.0106	6.29181706744189E-06	6.26612536240966E-09	6.26410402332249E-12
0.0107	6.31218814625792E-06	6.28596075819489E-09	6.28390697704875E-12
0.0108	6.33274743067174E-06	6.30597986534158E-09	6.30389357273791E-12
0.0109	6.35349493229132E-06	6.32618271458645E-09	6.3240638627647E-12
0.011	6.37443066436363E-06	6.34656933835559E-09	6.34441800498391E-12
