t	wld	wld	wld
0	0	0	0
0.0001	0	0	0
0.0002	0	0	0
0.0003	0	0	0
0.0004	0	0	0
0.0005	0	0	0
0.0006	0	0	0
0.0007	0	0	0
0.0008	0	0	0
0.0009	0	0	0
0.001	0	0	0
0.0011	0	0	0
0.0012	0	0	0
0.0013	0	0	0
0.0014	0	0	0
0.0015	0	0	0
0.0016	0	0	0
0.0017	0	0	0
0.0018	0	0	0
0.0019	0	0	0
0.002	0	0	0
0.0021	0	0	0
0.0022	0	0	0
0.0023	0	0	0
0.0024	2.32492216197575E-08	2.32492216197575E-08	2.32492216197575E-08
0.0025	2.56267728197954E-08	2.57423686871373E-08	2.57424844345441E-08
0.0026	2.82570794553253E-08	2.83848727612672E-08	2.83850007471255E-08
0.0027	3.1042622992914E-08	3.11790860309333E-08	3.11792226621593E-08
0.0028	3.39819355818936E-08	3.41274007379227E-08	3.41275463422254E-08
0.0029	3.70773500956142E-08	3.7232160480697E-08	3.72323153962373E-08
0.003	4.03311496816477E-08	4.0495659446163E-08	4.04958240219338E-08
0.0031	4.37455706318415E-08	4.39201452646484E-08	4.39203198605572E-08
0.0032	4.73228049953021E-08	4.75078216091861E-08	4.75080065965682E-08
0.0033	5.10650029652478E-08	5.12608505704192E-08	5.126104633214E-08
0.0034	5.49742750656226E-08	5.5181354832055E-08	5.51815617629461E-08
0.0035	5.90526941601852E-08	5.92714196700139E-08	5.92716381769504E-08
0.0036	6.330229730337E-08	6.35330947942616E-08	6.35333252963645E-08
0.0037	6.77250874494063E-08	6.79683960494716E-08	6.79686389785776E-08
0.0038	7.23230350344618E-08	7.25793069896217E-08	7.25795627903094E-08
0.0039	7.70980794445435E-08	7.73677803388536E-08	7.73680494687093E-08
0.004	8.20521303797978E-08	8.23357393494721E-08	8.23360222793536E-08
0.0041	8.71870691257652E-08	8.74850790671134E-08	8.74853762813373E-08
0.0042	9.25047497394342E-08	9.28176675110263E-08	9.28179795075947E-08
0.0043	9.80070001581523E-08	9.83353467782782E-08	9.83356740689264E-08
0.0044	1.03695623237916E-07	1.04039934077217E-07	1.04040277187561E-07
0.0045	1.09572397727667E-07	1.09933222696626E-07	1.09933582166806E-07
0.0046	1.15639079183905E-07	1.16016982917058E-07	1.16017359301349E-07
0.0047	1.21897400831799E-07	1.22292962867021E-07	1.22293356734461E-07
0.0048	1.28349074375866E-07	1.28762889330826E-07	1.28763301265235E-07
0.0049	1.3499579076449E-07	1.35428468509633E-07	1.35428899109406E-07
0.005	1.4183922091269E-07	1.42291386740171E-07	1.4229183661901E-07
0.0051	1.48881016385384E-07	1.49353311175556E-07	1.49353780962268E-07
0.0052	1.56122810043855E-07	1.56615890428337E-07	1.56616380767504E-07
0.0053	1.63566216658839E-07	1.64080755181473E-07	1.64081266732931E-07
0.0054	1.71212833492008E-07	1.71749518766694E-07	1.7175005220604E-07
0.0055	1.79064138592659E-07	1.79623777714633E-07	1.7962433373359E-07
0.0056	1.87016313702939E-07	1.87705111855629E-07	1.87705691583285E-07
0.0057	1.95279859080422E-07	1.95994972277492E-07	1.95995690129364E-07
0.0058	2.03752862798377E-07	2.04495133937112E-07	2.0449587877844E-07
0.0059	2.12436843874984E-07	2.13207019182705E-07	2.13207791744157E-07
0.006	2.21333306764455E-07	2.22132147900754E-07	2.22132948928278E-07
0.0061	2.30443741769729E-07	2.31272025964887E-07	2.31272856219578E-07
0.0062	2.39769625438435E-07	2.40628145629884E-07	2.40629005888145E-07
0.0063	2.49312420940196E-07	2.50201985907096E-07	2.50202876960558E-07
0.0064	2.59073578428837E-07	2.59995012925057E-07	2.59995935580672E-07
0.0065	2.69054535388737E-07	2.70008680273595E-07	2.7000963535447E-07
0.0066	2.79256716967128E-07	2.80244429335047E-07	2.80245417679909E-07
0.0067	2.89681536292411E-07	2.90703689601356E-07	2.90704712064564E-07
0.0068	3.00330394779788E-07	3.01387878977407E-07	3.01388936430036E-07
0.00690000000000001	3.11204682424617E-07	3.12298404074449E-07	3.12299497403131E-07
0.00700000000000001	3.22305778085147E-07	3.2343666048978E-07	3.23437790597507E-07
0.00710000000000001	3.33635049753092E-07	3.34804033077194E-07	3.34805200883652E-07
0.00720000000000001	3.45193854814917E-07	3.46401896206431E-07	3.46403102647683E-07
0.00730000000000001	3.56983540302224E-07	3.58231614013307E-07	3.58232860042004E-07
0.00740000000000001	3.69005443134598E-07	3.70294540640354E-07	3.70295827226273E-07
0.00750000000000001	3.81260890351678E-07	3.82592020468798E-07	3.82593348598324E-07
0.00760000000000001	3.93751199338487E-07	3.95125388342513E-07	3.95126759018754E-07
0.00770000000000001	4.06477678041704E-07	4.07895969782719E-07	4.07897384026594E-07
0.00780000000000001	4.19441625178892E-07	4.20905081197215E-07	4.20906540046541E-07
0.00790000000000001	4.32644330440271E-07	4.34154030081225E-07	4.34155534590908E-07
0.00800000000000001	4.46087074684182E-07	4.4764411521062E-07	4.47645666453717E-07
0.00810000000000001	4.59771130124339E-07	4.6137662683082E-07	4.61378225897329E-07
0.00820000000000001	4.73697760513518E-07	4.75352846837232E-07	4.75354494834736E-07
0.00830000000000001	4.87868221318652E-07	4.89574048950417E-07	4.89575747005168E-07
0.0084	5.02283759891167E-07	5.04041498887103E-07	5.0404324814246E-07
0.0085	5.16945615632917E-07	5.18756454523302E-07	5.18758256141135E-07
0.0086	5.31855020155101E-07	5.33720166053459E-07	5.33722021213668E-07
0.0087	5.47013197433353E-07	5.48933876145565E-07	5.48935786045997E-07
0.0088	5.62421363957977E-07	5.64398820089547E-07	5.64400785946766E-07
0.0089	5.78080728878184E-07	5.80116225942198E-07	5.80118248990822E-07
0.009	5.9399249414423E-07	5.96087314667464E-07	5.96089396161098E-07
0.0091	6.10157854643895E-07	6.12313300273728E-07	6.12315441484599E-07
0.0092	6.26577998335532E-07	6.28795389944689E-07	6.28797592163491E-07
0.0093	6.43254106375336E-07	6.4553478416834E-07	6.45537048704554E-07
0.0094	6.60187353244425E-07	6.62532676861089E-07	6.62535005044038E-07
0.0095	6.77378906869286E-07	6.79790255489899E-07	6.79792648667159E-07
0.0096	6.94829928740037E-07	6.97308701188905E-07	6.97311160727217E-07
0.0097	7.12541574024717E-07	7.15089188873714E-07	7.15091716159923E-07
0.0098	7.30514991682138E-07	7.33132887353654E-07	7.33135483793204E-07
0.0099	7.48751324568629E-07	7.51440959438953E-07	7.51443626456751E-07
0.01	7.67251709544621E-07	7.70014562045631E-07	7.70017301087025E-07
0.0101	7.86017277577647E-07	7.88854846299444E-07	7.88857658828585E-07
0.0102	8.05049153841571E-07	8.07962957633473E-07	8.07965845134766E-07
0.0103	8.24348457814366E-07	8.27340035886794E-07	8.2734299986496E-07
0.0104	8.43916303372296E-07	8.46987215398743E-07	8.46990257377591E-07
0.0105	8.63753798882934E-07	8.66905625099716E-07	8.66908746623529E-07
0.0106	8.8386204729497E-07	8.87096388602203E-07	8.87099591236038E-07
0.0107	9.04242146225076E-07	9.07560624287798E-07	9.07563909616461E-07
0.0108	9.24895188044252E-07	9.28299445392446E-07	9.2830281502154E-07
0.0109	9.45822259961E-07	9.49313960089389E-07	9.49317415644595E-07
0.011	9.67024444102655E-07	9.70605271569974E-07	9.70608814697972E-07
