t	fs
0	0	0
0.002	6.19271457540134E-06	0
0.0041	6.19444179805505E-06	5.37262E-09
0.006	6.19767890810127E-06	5.5521E-09
0.00800000000000001	6.20282223035473E-06	5.81483E-09
0.0101	6.21015784393776E-06	6.1697E-09
0.0121	6.21900539865169E-06	6.58296E-09
0.0141	6.22975439973928E-06	7.06996999999999E-09
0.0161	6.2465745693311E-06	7.52778999999999E-09
0.0180999999999999	6.27856207185781E-06	7.99430999999999E-09
0.0200999999999999	6.32399990288772E-06	8.51225999999998E-09
0.0220999999999999	6.37526394589439E-06	9.08357999999998E-09
0.0240999999999999	6.43268308019471E-06	9.71073999999997E-09
0.0260999999999999	6.49661671870277E-06	1.03969E-08
0.0280999999999999	6.56745558370389E-06	1.11457E-08
0.0300999999999999	6.64562317187346E-06	1.19619999999999E-08
0.0320999999999999	6.73157775273623E-06	1.28513E-08
0.0341	6.82581529030214E-06	1.38201E-08
0.036	6.92350340842368E-06	1.48213E-08
0.0380000000000001	7.03548713888971E-06	1.5969E-08
0.0400000000000001	7.15748793928875E-06	1.72235000000001E-08
0.0420000000000002	7.29020422763265E-06	1.85969000000001E-08
0.0440000000000002	7.43440456221985E-06	2.01037000000002E-08
0.0460000000000003	7.59094323251917E-06	2.17601000000003E-08
0.0480000000000003	7.76076306151831E-06	2.35849000000003E-08
0.0500000000000004	7.94489967880217E-06	2.55996000000004E-08
0.0520000000000005	8.14449140092071E-06	2.78285000000005E-08
0.0540000000000005	8.36079026649645E-06	3.02991000000007E-08
0.0560000000000006	8.59517420222803E-06	3.30425000000008E-08
0.0580000000000006	8.8491604043527E-06	3.6093500000001E-08
0.0600000000000007	9.12442001961413E-06	3.94913000000012E-08
0.0620000000000007	9.42279421274797E-06	4.32794000000015E-08
0.0640000000000008	9.74631174672507E-06	4.75066000000018E-08
0.0660000000000009	1.00972083837958E-05	5.22270000000022E-08
0.0680000000000009	1.04779479323105E-05	5.75009000000026E-08
0.070000000000001	1.08912448549319E-05	6.3395500000003E-08
0.072000000000001	1.13400893052012E-05	6.99855000000036E-08
0.0740000000000011	1.18277740731806E-05	7.73544000000043E-08
0.0760000000000012	1.23579238587857E-05	8.5595500000005E-08
0.0780000000000012	1.29345269387681E-05	9.48132000000059E-08
0.0800000000000013	1.35619693715503E-05	1.05125000000007E-07
0.0820000000000013	1.4245071885259E-05	1.16662000000008E-07
0.0840000000000014	1.49891295942611E-05	1.29575000000009E-07
0.0860000000000014	1.5799954688261E-05	1.44030000000011E-07
0.0880000000000015	1.66839222355261E-05	1.60217000000013E-07
0.0900000000000016	1.76480192380531E-05	1.78351000000015E-07
0.0920000000000016	1.86998970714239E-05	1.98676000000017E-07
0.0940000000000017	1.98479274356709E-05	2.2146700000002E-07
0.0960000000000017	2.11012619355924E-05	2.47036000000024E-07
0.0980000000000018	2.24698953995115E-05	2.75738000000027E-07
0.100000000000002	2.39647330343181E-05	3.07973000000031E-07
0.102000000000002	2.55976615015757E-05	3.44198000000036E-07
0.104000000000002	2.73816239843263E-05	3.84927000000042E-07
0.106000000000002	2.93306992967267E-05	4.30746000000049E-07
0.108000000000002	3.14601850685504E-05	4.82318000000057E-07
0.110000000000002	3.37866850135975E-05	5.40393000000066E-07
0.112000000000002	3.63282002648711E-05	6.05822000000075E-07
0.114000000000002	3.91042247296914E-05	6.79566000000088E-07
0.116000000000002	4.2135844384376E-05	7.62714000000102E-07
0.118000000000002	4.54458403904096E-05	8.56496000000118E-07
0.120000000000002	4.90587958717784E-05	9.62305000000137E-07
0.122000000000002	5.30012061460444E-05	1.08171000000016E-06
0.124000000000003	5.73015921494222E-05	1.21649000000018E-06
0.126000000000002	6.1990616738285E-05	1.3686400000002E-06
0.128000000000002	6.71012034858863E-05	1.5404100000002E-06
0.130000000000002	7.26686575233728E-05	1.73435000000021E-06
0.132000000000002	7.8730787898196E-05	1.95332000000021E-06
0.134000000000002	8.53280308406966E-05	2.20052000000021E-06
0.136000000000001	9.25035732408837E-05	2.4795700000002E-06
0.138000000000001	0.000100303475542377	2.79452000000019E-06
0.140000000000001	0.00010877679315934	3.14991000000017E-06
0.142000000000001	0.000117975695415394	3.55084000000015E-06
0.144	0.000127955580891585	4.00301000000012E-06
0.146	0.000138775187954233	4.51279000000007E-06
0.148	0.000150496699114034	5.08730000000001E-06
0.1501	0.000163846923229497	5.76890999999992E-06
0.1521	0.000177626776670104	6.50195999999983E-06
0.154099999999999	0.000192520417235925	7.32692999999972E-06
0.156099999999999	0.000208604860096027	8.25485999999958E-06
0.158099999999999	0.000225960940207502	9.29799999999941E-06
0.160099999999999	0.000244673343756486	1.04699999999992E-05
0.162099999999998	0.00026483062062887	1.17858999999989E-05
0.164099999999998	0.000286525175717538	1.32623999999986E-05
0.166099999999998	0.000309853236826647	1.49180999999983E-05
0.168099999999998	0.000335346605403755	1.67732999999979E-05
0.170099999999998	0.000363189599070966	1.88506999999974E-05
0.172099999999997	0.000393430847030951	2.11751999999968E-05
0.174099999999997	0.000426010661714596	2.37739999999961E-05
0.176099999999997	0.000460699331214673	2.66774999999953E-05
0.178099999999997	0.000497726326311219	2.99185999999944E-05
0.180099999999996	0.000536827892686929	3.35338999999933E-05
0.182099999999996	0.000577894232083513	3.7562999999992E-05
0.184099999999996	0.000620359451241766	4.20497999999907E-05
0.186099999999996	0.000664124394709383	4.70417999999891E-05
0.188099999999996	0.000709749604649403	5.25910999999871E-05
0.190099999999995	0.000758370719155275	5.87545999999851E-05
0.192099999999995	0.000812010736292059	6.55941999999826E-05
0.194099999999995	0.000873487623637442	7.31770999999799E-05
0.196099999999995	0.000940870360579408	8.15762999999768E-05
0.198099999999995	0.00101504274162484	9.08711999999731E-05
0.200099999999994	0.00109439424028795	0.000101146999999969
0.202099999999994	0.00118146201938636	0.000112497999999965
0.204099999999994	0.00127668729748787	0.00012502199999996
0.206099999999994	0.00138590756916317	0.000138828999999954
0.208099999999993	0.00149832789993244	0.000154032999999947
0.210099999999993	0.00161265082509114	0.00017075999999994
0.212099999999993	0.00172913849074886	0.000189140999999933
0.214099999999993	0.00184928645423857	0.000209320999999923
0.216099999999993	0.00197373957019194	0.000231450999999914
0.218099999999992	0.00210373917435107	0.000255690999999903
0.220099999999992	0.00224126908073792	0.00028221499999989
0.222099999999992	0.00238910579062201	0.000311202999999877
0.224099999999992	0.00254511906080694	0.000342846999999862
0.226099999999991	0.00270918184817145	0.000377349999999847
0.228099999999991	0.00287899917849282	0.000414921999999827
0.230099999999991	0.00305324529641728	0.000455786999999808
0.232099999999991	0.00323143198837581	0.000500172999999787
0.234099999999991	0.00341606010503669	0.000548322999999762
0.23609999999999	0.00360426156293904	0.000600481999999738
0.23809999999999	0.00379354182902281	0.00065690799999971
0.24009999999999	0.00398467290319498	0.00071786199999968
0.24209999999999	0.00418347761390491	0.000783609999999648
0.244099999999989	0.00438565610173165	0.000854424999999612
0.246099999999989	0.00459410949324288	0.000930577999999575
0.248099999999989	0.00480931112929658	0.00101
0.250099999999989	0.00502849581150321	0.0011
0.252099999999989	0.00525715852565388	0.00119
0.254099999999988	0.00549227901845942	0.00129
0.256099999999988	0.00573248080102382	0.0014
0.258099999999988	0.00597840171938986	0.00151
0.260099999999988	0.00622989621972888	0.00163999999999877
0.262099999999987	0.00648256689317919	0.00176
0.264099999999987	0.00673878595247011	0.00189999999999872
0.266099999999987	0.00699513810439852	0.00204
0.268099999999987	0.0072504755279332	0.00219
0.270099999999987	0.00750542895147508	0.00235
0.272099999999986	0.00776119235772718	0.00251999999999863
0.274099999999986	0.00801667157026708	0.00269999999999861
0.276099999999986	0.00827260237074356	0.00287999999999859
0.278099999999986	0.00853178016863659	0.00306999999999857
0.280099999999985	0.00879300436945122	0.00326999999999854
0.282099999999985	0.00905426269653399	0.00347999999999852
0.284099999999985	0.00931899364473662	0.0036999999999985
0.286099999999985	0.00958492664524339	0.00391999999999848
0.288099999999985	0.00985333611456601	0.00415999999999692
0.290099999999984	0.0101216215819046	0.00439999999999687
0.292099999999984	0.0103931801688616	0.00463999999999841
0.294099999999984	0.0106640184341004	0.0048999999999984
0.296099999999984	0.0109353839922914	0.00515999999999837
0.298099999999983	0.0112096855242557	0.0054299999999967
0.300099999999983	0.0114841556522499	0.00569999999999833
0.302099999999983	0.0117579420570118	0.00597999999999831
0.304099999999983	0.0120310631057434	0.00626999999999656
0.306099999999983	0.0123054904618273	0.00655999999999826
0.308099999999982	0.0125773112009119	0.00685999999999648
0.310099999999982	0.0128498609252572	0.00715999999999644
0.312099999999982	0.0131228019975416	0.0074599999999982
0.314099999999982	0.0133944432044451	0.00776999999999817
0.316099999999982	0.0136657147205658	0.0080899999999963
0.318099999999981	0.0139381816779669	0.00839999999999813
0.320099999999981	0.0142121225455474	0.00871999999999811
0.322099999999981	0.0144847732061282	0.00904999999999617
0.324099999999981	0.0147573937686485	0.00936999999999806
0.32609999999998	0.0150284725755834	0.00969999999999609
0.32809999999998	0.0153010882607261	0.010029999999996
0.33009999999998	0.0155729017309255	0.010359999999996
0.33209999999998	0.0158427468374417	0.010689999999998
0.33409999999998	0.0161103866945489	0.0110299999999959
0.336099999999979	0.0163797710988326	0.0113599999999959
0.338099999999979	0.0166469990820031	0.0116899999999979
0.340099999999979	0.0169119967796637	0.0120299999999958
0.342099999999979	0.0171780892841665	0.0123699999999957
0.344099999999978	0.0174451794206661	0.0126999999999957
0.346099999999978	0.0177130086065282	0.0130399999999956
0.348099999999978	0.017978602011437	0.0133699999999978
0.350099999999978	0.0182443642786855	0.0137099999999956
0.352099999999978	0.0185109028830435	0.0140399999999977
0.354099999999977	0.0187751647547911	0.0143799999999955
0.356099999999977	0.0190377054530276	0.0147099999999954
0.358099999999977	0.0192982659872654	0.0150399999999977
0.360099999999977	0.0195589455531036	0.0153799999999953
0.362099999999976	0.0198195971029204	0.0157099999999953
0.364099999999976	0.0200782130781257	0.0160399999999952
0.366099999999976	0.0203354042394565	0.0163699999999952
0.368099999999976	0.0205923469765678	0.0166899999999976
0.370099999999976	0.0208485726258394	0.0170199999999951
0.372099999999975	0.021103403055284	0.0173499999999951
0.374099999999975	0.0213564110983137	0.0176699999999975
0.376099999999975	0.0216099313066984	0.017999999999995
0.378099999999975	0.0218645604812534	0.0183199999999949
0.380099999999974	0.022118536035183	0.0186399999999949
0.382099999999974	0.0223721661667169	0.0189599999999948
0.384099999999974	0.0226249390008472	0.0192799999999948
0.386099999999974	0.0228760308661232	0.0195899999999974
0.388099999999974	0.0231255816019903	0.0199099999999947
0.390099999999973	0.0233746277376485	0.0202199999999973
0.392099999999973	0.0236265380412265	0.0205399999999946
0.394099999999973	0.0238777328125853	0.0208499999999946
0.396099999999973	0.0241273011195169	0.0211599999999945
0.398099999999972	0.0243769094223884	0.0214699999999945
0.400099999999972	0.0246260572002729	0.0217799999999944
0.402099999999972	0.0248738655096308	0.0220799999999972
0.404099999999972	0.02512133490748	0.0223899999999944
0.406099999999972	0.0253683461230232	0.0226899999999972
0.408099999999971	0.0256142050769615	0.0229999999999943
0.410099999999971	0.0258591457251666	0.0232999999999942
0.412099999999971	0.0261039895335709	0.0235999999999942
0.414099999999971	0.0263495495234836	0.0238999999999941
0.41609999999997	0.0265935586929469	0.0241999999999941
0.41809999999997	0.0268362157084939	0.024489999999997
0.42009999999997	0.027078113340638	0.024789999999997
0.42209999999997	0.0273189312660502	0.025079999999997
0.42409999999997	0.0275591285543711	0.0253799999999939
0.426099999999969	0.0277992383850136	0.0256699999999969
0.428099999999969	0.0280385589562998	0.0259599999999969
0.430099999999969	0.028278698806846	0.0262499999999969
0.432099999999969	0.0285176640142317	0.0265399999999969
0.434099999999969	0.0287561825550106	0.0268299999999969
0.436099999999968	0.0289943654395189	0.0271199999999937
0.438099999999968	0.0292336640478546	0.0273999999999968
0.440099999999968	0.0294729226816177	0.0276899999999968
0.442099999999968	0.0297119201668469	0.0279699999999968
0.444099999999967	0.0299497823948422	0.0282599999999935
0.446099999999967	0.0301869983773598	0.0285399999999967
0.448099999999967	0.0304243070178881	0.0288199999999967
0.450099999999967	0.0306616127628366	0.0290999999999967
0.452099999999967	0.0308992333587515	0.0293799999999967
0.454099999999966	0.031136672566533	0.0296599999999966
0.456099999999966	0.0313734100280173	0.0299399999999966
0.458099999999966	0.0316092799466832	0.0302199999999932
0.460099999999966	0.031844460583566	0.0304899999999966
0.462099999999965	0.0320801888574386	0.0307699999999965
0.464099999999965	0.0323164824624305	0.031049999999993
0.466099999999965	0.0325529795939363	0.0313199999999965
0.468099999999965	0.0327892830807432	0.0315899999999965
0.470099999999965	0.0330245781722202	0.0318699999999929
0.472099999999964	0.0332592613681524	0.0321399999999929
0.474099999999964	0.0334934202924702	0.0324099999999964
0.476099999999964	0.0337267269990974	0.0326799999999964
0.478099999999964	0.0339594859380802	0.0329499999999964
0.480099999999963	0.0341922889314928	0.0332199999999963
0.482099999999963	0.0344256050400369	0.0334899999999927
