t	nv
0	0	0
0.001	0	0
0.002	0	131311.483636364
0.0031	90450156.8197834	1766377.41818181
0.0041	90450156.8197834	13558639.9999999
0.005	90450156.8197834	42617209.0909091
0.006	90450156.8197834	99498481.818182
0.00700000000000001	255831676.986622	201761363.636364
0.00800000000000001	469992801.493313	365548909.09091
0.009	723601254.558268	609110000
0.0091	723601254.558268	638868000
0.0101	1011263496.12276	993620272.727271
0.0111	1675160346.94358	1790406363.63636
0.0121	2442154234.13415	2491549999.99999
0.0131	3299881556.4003	3371927272.72725
0.0141	4239594817.73735	4440642727.27269
0.0151	5788810036.46614	5714081818.18177
0.0161	7490998767.092	7207585454.54538
0.0171	9333474502.57228	9038018181.81799
0.0180999999999999	11306269602.4729	12119309090.909
0.0190999999999999	14125581037.8651	14518309090.9089
0.0200999999999999	17146687543.9344	17193918181.818
0.0210999999999999	20356912516.2301	20154772727.2725
0.0220999999999999	23745707247.9067	23408590909.0906
0.0230999999999999	27304114395.3145	26962099999.9997
0.0240999999999999	31978959623.3278	30838081818.1815
0.0250999999999999	35892190480.8367	37460299999.9996
0.0260999999999999	40990889409.5694	42137236363.6359
0.0270999999999999	46310480291.7291	47132672727.2722
0.0280999999999999	52973221423.3959	52448436363.6357
0.0290999999999999	58749100186.6641	58094527272.7266
0.0300999999999999	64720863751.8566	64071336363.6356
0.0310999999999999	72136821259.581	70369854545.4537
0.0320999999999999	78518394831.8786	78385854545.4531
0.0330999999999999	86410581068.8159	87883699999.9994
0.0341	94550789861.7856	95316099999.9996
0.0351	102931682346.555	103080072727.273
0.036	110094747859.16	110335363636.364
0.037	118899818928.18	118684818181.818
0.0380000000000001	129453830497.859	127340090909.091
0.0390000000000001	138735238664.518	136304636363.637
0.0400000000000001	148228435411.125	145575272727.274
0.0410000000000001	157928797111.743	155139000000.001
0.0420000000000002	169501952834.266	164992000000.002
0.0430000000000002	179636652970.033	175129272727.275
0.0440000000000002	189965657983.253	185547000000.003
0.0450000000000003	202256966711.484	196253909090.912
0.0460000000000003	212994909314.434	207231545454.549
0.0470000000000003	223916428658.038	218474000000.004
0.0480000000000003	236886180535.239	229976090909.095
0.0490000000000004	248195230313.486	241733272727.277
0.0500000000000004	259678729899.491	253746909090.914
0.0510000000000004	273293154370.05	266011363636.369
0.0520000000000005	285145822930.916	274730000000
0.0530000000000005	297165053136.99	284216727272.734
0.0540000000000005	309348567983.787	297055636363.643
0.0550000000000005	321694181379.28	310120000000
0.0560000000000006	332104499572.133	316079636363.644
0.0570000000000006	344741894297.861	329473272727.281
0.0580000000000006	355392570656.504	339650000000
0.0590000000000007	366150725582.439	349268636363.646
0.0600000000000007	377015295853.301	355498181818.191
0.0610000000000007	385782876425.517	362470000000
