t	fd_A	fd_V
0	0	0	0
0.002	0	0	0
0.0041	0	0	1.65436122510606E-24
0.006	0	0	2.01422999999995E-10
0.00800000000000001	0	0	4.06226999999974E-10
0.0101	0	0	3.97046694025453E-23
0.0121	0	0	1.85288457211878E-22
0.0141	0	0	4.76456032830544E-22
0.0161	0	0	8.99972506457694E-22
0.0180999999999999	0	0	1.58818677610181E-21
0.0200999999999999	0	0	2.43521972335611E-21
0.0220999999999999	0	0	3.81164826264435E-21
0.0240999999999999	0	0	5.50571415715295E-21
0.0260999999999999	0	0	7.6232965252887E-21
0.0280999999999999	0	0	9.74087889342445E-21
0.0300999999999999	0	0	1.35525271560688E-20
0.0320999999999999	0	0	1.35525271560688E-20
0.0341	0	0	6.7762635780344E-21
0.036	0	0	1.74871999999987E-08
0.0380000000000001	0	0	2.03730999999865E-08
0.0400000000000001	0	0	2.36372999999715E-08
0.0420000000000002	0	0	2.73322999999521E-08
0.0440000000000002	0	0	3.1519699999925E-08
0.0460000000000003	0	0	3.62718999998951E-08
0.0480000000000003	0	0	4.16731999998536E-08
0.0500000000000004	0	0	4.78220999998085E-08
0.0520000000000005	0	0	5.48335999997474E-08
0.0540000000000005	0	0	6.28412999996772E-08
0.0560000000000006	0	0	7.20009999995847E-08
0.0580000000000006	0	0	8.24932999994785E-08
0.0600000000000007	0	0	9.45278999993449E-08
0.0620000000000007	0	0	1.08347999999185E-07
0.0640000000000008	0	0	1.24233999998998E-07
0.0660000000000009	0	0	1.42509999998775E-07
0.0680000000000009	3.81106976941954E-08	0	1.63551999998504E-07
0.070000000000001	2.40371031561531E-06	0	1.87788999998192E-07
0.072000000000001	3.88011916141594E-05	3.64905110624036E-07	2.15716999997783E-07
0.0740000000000011	8.98735781215609E-05	1.62380407898225E-06	2.47902999997299E-07
0.0760000000000012	0.000154868262847228	4.10094948908604E-06	2.84997999996689E-07
0.0780000000000012	0.000173751659217248	2.99226493553484E-06	3.27741999996058E-07
0.0800000000000013	0.000202974492011454	2.61785842260777E-06	1.57322000000315E-07
0.0820000000000013	0.00025182773884233	3.83604613075004E-06	1.05672000000092E-06
0.0840000000000014	0.000326372928071872	7.34079977704451E-06	2.97054000000175E-06
0.0860000000000014	0.000493563430930836	1.98270711306576E-05	6.18897000000289E-06
0.0880000000000015	0.000661166297592413	3.31269453484867E-05	1.10603000000044E-05
0.0900000000000016	0.000840134540377504	4.82509146718876E-05	1.79994000000064E-05
0.0920000000000016	0.00101294568694335	6.33549514413665E-05	2.74969000000089E-05
0.0940000000000017	0.00123596052743579	8.47048412532959E-05	4.0129400000012E-05
0.0960000000000017	0.00155182253623618	0.000118033168987546	5.6569800000016E-05
0.0980000000000018	0.00183778852233638	0.000149273177835055	7.7598300000021E-05
0.100000000000002	0.00218173049191968	0.000189273965808338	0.000104114000000027
0.102000000000002	0.00259498390609681	0.000240413982671913	0.000137145000000035
0.104000000000002	0.00303337503451393	0.000297544011807084	0.000177863000000044
0.106000000000002	0.00347482736922105	0.000357528024217108	0.000227587000000056
0.108000000000002	0.00399690469695083	0.000432242100002903	0.000287801000000068
0.110000000000002	0.00469523558989957	0.000538580852584646	0.000360153000000084
0.112000000000002	0.00530620395456333	0.000635195007530632	0.000446466000000104
0.114000000000002	0.00598563080968093	0.000747490252541192	0.000548739000000124
0.116000000000002	0.0067996370790755	0.000888848184393249	0.00066914000000015
0.118000000000002	0.00768031154050838	0.00104892547054342	0.000810007000000178
0.120000000000002	0.00860155448993746	0.00122368387190042	0.000973827000000213
0.122000000000002	0.00966467960731886	0.00143482896597056	0.00116000000000025
0.124000000000003	0.0107055262400339	0.00164982323658009	0.00138000000000025
0.126000000000002	0.0119043203912334	0.00190823530230978	0.00163000000000024
0.128000000000002	0.0130693412747564	0.00216880444128604	0.00191000000000044
0.130000000000002	0.0144238975111833	0.00248419054137866	0.0022300000000004
0.132000000000002	0.0159467007430396	0.00285355926998521	0.00259000000000036
0.134000000000002	0.0173396949473344	0.00320324881160339	0.00299000000000031
0.136000000000001	0.0189345522718033	0.00361865014225171	0.00344000000000027
0.138000000000001	0.0205346852185317	0.00404980290789147	0.00393000000000034
0.140000000000001	0.0223458016351138	0.00455554013313484	0.00447000000000027
0.142000000000001	0.0240932806727856	0.00505933403954891	0.00507000000000021
0.144	0.0260350779326801	0.00563794015046445	0.00571000000000019
0.146	0.0279552080806867	0.00622772246274109	0.0064100000000001
0.148	0.0298972415643007	0.00684174955776662	0.00716000000000001
0.1501	0.0321488746058207	0.00757594771298795	0.00799999999999991
0.1521	0.0342786628521727	0.00829052419040752	0.00885999999999982
0.154099999999999	0.0365095284878226	0.00905977287029113	0.00976999999999974
0.156099999999999	0.0386611622581572	0.00982039651394881	0.0107299999999996
0.158099999999999	0.0410079214207426	0.0106718028427922	0.0117399999999995
0.160099999999999	0.0432197587779411	0.0114928962595363	0.0127999999999992
0.162099999999998	0.045589081901329	0.0123934370475307	0.0138899999999992
0.164099999999998	0.0480071974929171	0.0133337148323982	0.0150299999999991
0.166099999999998	0.0503576886634395	0.0142670061133044	0.0162099999999988
0.168099999999998	0.0528005461762236	0.0152576295791751	0.0174299999999985
0.170099999999998	0.055192847009498	0.0162468697161777	0.0186699999999985
0.172099999999997	0.0576491484372039	0.0172824835105429	0.0199499999999982
0.174099999999997	0.0601691216079918	0.0183654462153817	0.0212499999999983
