t	fs_A	fs_V
0	0	0	0
0.002	0	0	0
0.0041	2.50538862069525E-05	8.9650834178404E-08	5.27485E-06
0.006	2.80706762591593E-05	1.31846452329062E-07	5.2677E-06
0.00800000000000001	3.05993177401818E-05	1.52364970542169E-07	5.27067E-06
0.0101	3.6294511646572E-05	2.01651792705747E-07	5.2972E-06
0.0121	4.46677082551685E-05	2.81319159219806E-07	5.31025E-06
0.0141	5.58327662860662E-05	3.99645733642373E-07	5.32774999999999E-06
0.0161	6.98280467819089E-05	5.65496060561892E-07	5.35080999999999E-06
0.0180999999999999	9.01131758165235E-05	8.36475806270535E-07	5.38063999999998E-06
0.0200999999999999	0.000123090701760964	1.34471242243919E-06	5.41856999999997E-06
0.0220999999999999	0.000159398491085282	1.98943709852507E-06	5.46601999999996E-06
0.0240999999999999	0.000199175048681789	2.78570615305537E-06	5.52452999999995E-06
0.0260999999999999	0.000235784253082197	3.59355218740186E-06	5.59578999999994E-06
0.0280999999999999	0.000271550179726184	4.44632911834172E-06	5.68163999999993E-06
0.0300999999999999	0.000327327994687439	5.88746059833067E-06	5.78411999999992E-06
0.0320999999999999	0.000374084524403026	7.19845031551696E-06	5.90546999999993E-06
0.0341	0.000425578351906048	8.74018299714051E-06	6.04818999999997E-06
0.036	0.000478845688252656	1.04364179511368E-05	6.13550000000001E-06
0.0380000000000001	0.000539454467953836	1.24844562480937E-05	6.32432000000006E-06
0.0400000000000001	0.000611882810641246	1.50865571427965E-05	6.54379000000011E-06
0.0420000000000002	0.000689115802305063	1.80364616866876E-05	6.79795000000017E-06
0.0440000000000002	0.000758518597716928	2.08320491524057E-05	7.09137000000025E-06
0.0460000000000003	0.000825973301481764	2.3676804956658E-05	7.42931000000032E-06
0.0480000000000003	0.00089890188660738	2.68857860597029E-05	7.81781000000041E-06
0.0500000000000004	0.000981383439784572	3.06748708184272E-05	8.2638100000005E-06
0.0520000000000005	0.00108325052011618	3.55773509354624E-05	8.77532000000061E-06
0.0540000000000005	0.0011803534233414	4.04380632164727E-05	9.36156000000074E-06
0.0560000000000006	0.00127762611713263	4.55479246435884E-05	1.00332000000009E-05
0.0580000000000006	0.00136930648020055	5.05244934054684E-05	1.0802600000001E-05
0.0600000000000007	0.00146922609725201	5.61658606240922E-05	1.16841000000012E-05
0.0620000000000007	0.00158637805020081	6.30277874888697E-05	1.26941000000014E-05
0.0640000000000008	0.00169898975387435	6.98678370241222E-05	1.38519000000016E-05
0.0660000000000009	0.00183127247735969	7.87704201197588E-05	1.51794000000019E-05
0.0680000000000009	0.00197148044341334	8.90048326577715E-05	1.67025000000021E-05
0.070000000000001	0.0021174799607225	0.000100040917097293	1.84506000000024E-05
0.072000000000001	0.00226934250534061	0.000111929213149294	2.04580000000027E-05
0.0740000000000011	0.0024276485760961	0.000124760119672145	2.27642000000031E-05
0.0760000000000012	0.00259297407898141	0.000138646165537622	2.54147000000035E-05
0.0780000000000012	0.00276517383109462	0.000153648441264331	2.8462000000004E-05
0.0800000000000013	0.00294447448367589	0.000169853473552204	3.44579000000047E-05
0.0820000000000013	0.00313193948188106	0.000187452071787067	4.23885000000056E-05
0.0840000000000014	0.00332781105965155	0.000206555607528143	5.13595000000066E-05
0.0860000000000014	0.00353229901528683	0.000227300145672513	6.15045000000078E-05
0.0880000000000015	0.0037462560422154	0.000249896422909779	7.29740000000092E-05
0.0900000000000016	0.00396982042053577	0.000274474079851848	8.59366000000107E-05
0.0920000000000016	0.00420402353541684	0.000301297677845048	0.000100582000000013
0.0940000000000017	0.00444928032761298	0.000330561706323367	0.000117120000000015
0.0960000000000017	0.00470626640233211	0.000362513260228403	0.000135789000000017
0.0980000000000018	0.00497564698013741	0.000397436909898804	0.00015685200000002
0.100000000000002	0.00525809156592658	0.000435628145312319	0.000180599000000023
0.102000000000002	0.00555436557239898	0.00047739296100047	0.000207354000000027
0.104000000000002	0.00586512796545974	0.000523053335977854	0.000237473000000031
0.106000000000002	0.00619091508744801	0.000572953627521523	0.000271346000000036
0.108000000000002	0.00653257216743212	0.000627507219621707	0.000309399000000042
0.110000000000002	0.00689066684775073	0.000687069166206964	0.000352095000000048
0.112000000000002	0.00726585999296507	0.000752104180471751	0.000399931000000056
0.114000000000002	0.00765873635739664	0.000823031990251786	0.000453440000000063
0.116000000000002	0.00807007086708086	0.000900377681497954	0.000513186000000073
0.118000000000002	0.00850002462540652	0.000984527336934509	0.000579762000000083
0.120000000000002	0.00894908219308811	0.00107596316507821	0.000653783000000094
0.122000000000002	0.00941741576221556	0.00117514820327147	0.000735879000000107
0.124000000000003	0.00990524953148683	0.00128254691218578	0.000826686000000121
0.126000000000002	0.0104126297216906	0.00139861307700213	0.000926833000000129
0.128000000000002	0.010939217273524	0.00152367820494164	0.00104
0.130000000000002	0.011484853162094	0.00165817626059364	0.00116
0.132000000000002	0.0120490389110489	0.00180239672137891	0.00129000000000018
0.134000000000002	0.0126310557803345	0.00195661269247727	0.00143000000000016
0.136000000000001	0.0132299563784009	0.00212096082944391	0.00159000000000013
0.138000000000001	0.0138446716028473	0.00229551096549302	0.00175000000000011
0.140000000000001	0.0144742020864914	0.00248037279488957	0.00193000000000009
0.142000000000001	0.0151172741001955	0.00267558817707849	0.00213000000000007
0.144	0.0157722881275249	0.00288089302946466	0.00233000000000005
0.146	0.0164377446531739	0.00309609903181554	0.00255000000000003
0.148	0.0171120463004202	0.00332091525161019	0.00278
