t	fg_A
0	0	0
0.002	0	0
0.0041	1.03844603925722E-06	3.03014E-06
0.006	1.06264460323515E-06	3.02756E-06
0.00800000000000001	1.10654648338524E-06	3.02877E-06
0.0101	1.17343623904127E-06	3.0386E-06
0.0121	1.25732373542678E-06	3.04356E-06
0.0141	1.36122070439115E-06	3.05022E-06
0.0161	1.48539265876063E-06	3.05899999999999E-06
0.0180999999999999	1.63006338321652E-06	3.07034999999999E-06
0.0200999999999999	1.79542197609242E-06	3.08475999999999E-06
0.0220999999999999	1.98163009882876E-06	3.10274999999999E-06
0.0240999999999999	2.18882859604286E-06	3.12487999999998E-06
0.0260999999999999	2.41714306078055E-06	3.15171999999998E-06
0.0280999999999999	2.66668824091731E-06	3.18391999999998E-06
0.0300999999999999	2.93757137409835E-06	3.22214999999998E-06
0.0320999999999999	3.22989462378765E-06	3.26712999999998E-06
0.0341	3.54375680686737E-06	3.31965999999999E-06
0.036	3.86196437667777E-06	3.35835E-06
0.0380000000000001	4.21810426938858E-06	3.42789000000002E-06
0.0400000000000001	4.59606484162235E-06	3.50782000000003E-06
0.0420000000000002	4.99594009308438E-06	3.59925000000004E-06
0.0440000000000002	5.41782370813637E-06	3.70338000000006E-06
0.0460000000000003	5.86180916303223E-06	3.82153000000007E-06
0.0480000000000003	6.32798977258314E-06	3.95516000000009E-06
0.0500000000000004	6.81645869805131E-06	4.1058600000001E-06
0.0520000000000005	7.32730893123015E-06	4.27542000000012E-06
0.0540000000000005	7.86063326483872E-06	4.46577000000013E-06
0.0560000000000006	8.41652425598368E-06	4.67908000000014E-06
0.0580000000000006	8.99507418710345E-06	4.91773000000015E-06
0.0600000000000007	9.59637502720234E-06	5.18435000000016E-06
0.0620000000000007	1.02205183950887E-05	5.48187000000016E-06
0.0640000000000008	1.08675955255933E-05	5.81349000000016E-06
0.0660000000000009	1.15376972392547E-05	6.18279000000016E-06
0.0680000000000009	1.22309139156371E-05	6.59367000000015E-06
0.070000000000001	1.29474536375656E-05	7.05048000000014E-06
0.072000000000001	1.53141802620162E-05	7.55798000000012E-06
0.0740000000000011	1.78063432942169E-05	8.12141000000009E-06
0.0760000000000012	2.04296991927019E-05	8.74655000000006E-06
0.0780000000000012	2.31906306773029E-05	9.43974000000001E-06
0.0800000000000013	2.60960261346853E-05	1.08421000000011E-05
0.0820000000000013	2.91532883152613E-05	1.26201000000013E-05
0.0840000000000014	3.23703506387709E-05	1.46585000000015E-05
0.0860000000000014	3.57556991214526E-05	1.69893000000018E-05
0.0880000000000015	3.93183987982993E-05	1.96483000000021E-05
0.0900000000000016	4.30681239968329E-05	2.26746000000025E-05
0.0920000000000016	4.70151921043638E-05	2.6110800000003E-05
0.0940000000000017	5.11706006475752E-05	3.00040000000034E-05
0.0960000000000017	5.55460676169438E-05	3.4405300000004E-05
0.0980000000000018	6.01540750419667E-05	3.93706000000047E-05
0.100000000000002	6.50079158666801E-05	4.49608000000054E-05
0.102000000000002	7.01217441910273E-05	5.12417000000064E-05
0.104000000000002	7.55106289333386E-05	5.82854000000073E-05
0.106000000000002	8.11906109474141E-05	6.61694000000084E-05
0.108000000000002	8.71787636673098E-05	7.49779000000097E-05
0.110000000000002	9.3493257704385E-05	8.48019000000111E-05
0.112000000000002	0.000100153431220097	9.57396000000125E-05
0.114000000000002	0.000107179867588171	0.000107897000000014
0.116000000000002	0.000114663578570117	0.000121387000000016
0.118000000000002	0.000122752058716388	0.000136334000000019
0.120000000000002	0.000132830305359112	0.000152869000000021
0.122000000000002	0.000144320160198013	0.000171132000000024
0.124000000000003	0.000156860070205764	0.000191276000000027
0.126000000000002	0.000170534882863921	0.000213463000000028
0.128000000000002	0.000185435199827847	0.000237866000000028
0.130000000000002	0.000201657680877039	0.000264670000000028
0.132000000000002	0.000219305358765543	0.000294074000000027
0.134000000000002	0.000238487965068348	0.000326289000000026
0.136000000000001	0.000259322267088775	0.000361539000000025
0.138000000000001	0.000281932415855687	0.000400064000000022
0.140000000000001	0.000306450305184525	0.00044211800000002
0.142000000000001	0.000339553063978081	0.000487974000000016
0.144	0.000390131593085386	0.000537918000000013
0.146	0.000445164417581005	0.000592255000000007
0.148	0.000504979323704793	0.000651309000000001
0.1501	0.000573311839057641	0.000718767999999992
0.1521	0.000644037524119103	0.000788584999999984
0.154099999999999	0.000720668397908887	0.000864227999999976
0.156099999999999	0.000803616103406111	0.000946103999999963
0.158099999999999	0.000884448750535767	0.00103
0.160099999999999	0.000956068080350175	0.00113
0.162099999999998	0.00103384916171758	0.00123
0.164099999999998	0.00111821507985393	0.00134
0.166099999999998	0.00122440513364473	0.00146
0.168099999999998	0.00137968782295426	0.00159
0.170099999999998	0.00149830205950257	0.00173
0.172099999999997	0.00162760685865348	0.00187999999999974
0.174099999999997	0.00176832128551186	0.00203999999999972
0.176099999999997	0.00192120019235425	0.00221
0.178099999999997	0.00208703526216368	0.00239999999999967
0.180099999999996	0.00227672106334197	0.00259999999999965
0.182099999999996	0.00249870655869287	0.00280999999999963
0.184099999999996	0.00273323807918111	0.0030299999999996
0.186099999999996	0.00295209421666443	0.00327999999999917
0.188099999999996	0.00316040008550666	0.00353999999999912
0.190099999999995	0.00338751500503078	0.00380999999999954
0.192099999999995	0.00363460358374667	0.00410999999999902
0.194099999999995	0.00392632372854783	0.00441999999999899
0.196099999999995	0.00428332665062185	0.00474999999999947
0.198099999999995	0.00463267800145566	0.0051099999999989
0.200099999999994	0.0049880181321587	0.00548999999999886
0.202099999999994	0.00534072966320249	0.00588999999999881
0.204099999999994	0.00570310630407074	0.00631999999999815
0.206099999999994	0.00615695040666845	0.00676999999999809
0.208099999999993	0.00662241370093827	0.00724999999999802
0.210099999999993	0.00708265400983989	0.00775999999999795
0.212099999999993	0.00758451208693223	0.00829999999999788
0.214099999999993	0.00811356640383579	0.00886999999999782
0.216099999999993	0.00870714040447581	0.00946999999999776
0.218099999999992	0.0093058906040628	0.0101099999999977
0.220099999999992	0.00989308932260355	0.0107799999999976
0.222099999999992	0.0105223062339786	0.0114899999999976
0.224099999999992	0.0112823229638295	0.0122399999999967
0.226099999999991	0.0120832475155373	0.0130299999999966
0.228099999999991	0.0128074652979379	0.0138599999999965
0.230099999999991	0.0135842479177182	0.0147299999999964
0.232099999999991	0.0144526295131856	0.0156499999999963
0.234099999999991	0.0154259348024548	0.0166199999999953
0.23609999999999	0.0163535804961748	0.0176299999999952
0.23809999999999	0.0173118644386571	0.0186899999999941
0.24009999999999	0.0184401145826853	0.0197999999999939
0.24209999999999	0.0194842120026331	0.0209599999999938
0.244099999999989	0.0205830972343733	0.0221799999999926
0.246099999999989	0.0217810068520516	0.0234399999999935
0.248099999999989	0.0230144453674414	0.0247699999999923
0.250099999999989	0.0242498213412802	0.0261499999999922
0.252099999999989	0.02556711300025	0.027579999999992
0.254099999999988	0.027047081561229	0.0290699999999919
0.256099999999988	0.0285325170406679	0.0306299999999905
0.258099999999988	0.0299557564071835	0.0322399999999891
0.260099999999988	0.0315343154630544	0.0338999999999902
0.262099999999987	0.0331983367330497	0.0356299999999887
0.264099999999987	0.0348502725291392	0.0374199999999885
0.266099999999987	0.0365837213203466	0.0392599999999883
0.268099999999987	0.0384164760623327	0.0411699999999868
0.270099999999987	0.040148588313255	0.0431299999999866
0.272099999999986	0.0421090600290618	0.0451499999999863
0.274099999999986	0.0441110969398762	0.0472299999999847
0.276099999999986	0.0460035173168584	0.0493599999999845
0.278099999999986	0.0480431798913052	0.0515499999999842
0.280099999999985	0.0502227980134516	0.0537899999999825
0.282099999999985	0.0522769929750876	0.0560799999999823
0.284099999999985	0.0544798045138988	0.058419999999982
0.286099999999985	0.0567775802092865	0.0607999999999818
0.288099999999985	0.0589546393755263	0.0632399999999815
0.290099999999984	0.0612840601910666	0.0657199999999796
0.292099999999984	0.0637354225126551	0.0682399999999794
0.294099999999984	0.0660587549618609	0.0707999999999792
0.296099999999984	0.0685291687888718	0.0733899999999789
0.298099999999983	0.0710522577797843	0.0760299999999769
0.300099999999983	0.0735050114444676	0.0786899999999783
0.302099999999983	0.0760149460071496	0.081379999999978
0.304099999999983	0.0786027964241781	0.084109999999976
0.306099999999983	0.0811266521392913	0.0868499999999774
0.308099999999982	0.0836679910807888	0.0896299999999754
0.310099999999982	0.0862980027091998	0.092419999999975
0.312099999999982	0.0889433960991402	0.0952299999999748
0.314099999999982	0.0916903876081831	0.0980499999999744
0.316099999999982	0.0943686296291428	0.100899999999972
0.318099999999981	0.0969495042872312	0.103749999999974
0.320099999999981	0.0995535159501733	0.106609999999974
0.322099999999981	0.102312663305368	0.109479999999973
0.324099999999981	0.105085001209898	0.112359999999973
0.32609999999998	0.107740053091586	0.115239999999973
0.32809999999998	0.110399196146118	0.118129999999972
0.33009999999998	0.11307280334899	0.12101999999997
0.33209999999998	0.115784051995751	0.12390999999997
0.33409999999998	0.11859442636594	0.126789999999971
0.336099999999979	0.121319818758455	0.129679999999969
0.338099999999979	0.124041076282425	0.132559999999969
0.340099999999979	0.126687521575996	0.13542999999997
0.342099999999979	0.129359085733079	0.13829999999997
0.344099999999978	0.132063535613395	0.14115999999997
0.346099999999978	0.134746818352598	0.144019999999969
0.348099999999978	0.137347276496639	0.146869999999969
0.350099999999978	0.140023396399482	0.149709999999967
0.352099999999978	0.14272530424771	0.152539999999966
0.354099999999977	0.145447348004001	0.155349999999968
0.356099999999977	0.148087722251968	0.158159999999968
0.358099999999977	0.150697623790433	0.160959999999968
0.360099999999977	0.15334228659665	0.16373999999997
0.362099999999976	0.155946478740818	0.166519999999967
0.364099999999976	0.158523649580989	0.169279999999967
0.366099999999976	0.161122489030848	0.172029999999966
0.368099999999976	0.163759661383442	0.174769999999966
